name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Synaty Artificial Succulent Faux Plant (Multiple Colors, 8 Pieces) (Spring Green, 8)  ",,Sponsored,,"₹1,199",₹799,Save ₹400 (33%),4.2 out of 5 stars,25,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0865049215ZM8SY16T2H&url=%2FSynaty-Artificial-Succulent-Multiple-Colors%2Fdp%2FB08TVCV5NY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626321385%26sr%3D8-1-spons%26psc%3D1&qualifier=1626321385&id=6521581788556705&widgetName=sp_atf
Artificial vase Stick 3 feet Height (Light Green)  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0527905RKL2GN84A8R5&url=%2FArtificial-vase-Stick-feet-Height%2Fdp%2FB08ZKH61KS%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626321385%26sr%3D8-2-spons%26psc%3D1&qualifier=1626321385&id=6521581788556705&widgetName=sp_atf
Cheeksi's Garden Ceramic plants Living Room & Gardening Gift Purpose Miniature Garden  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06323141VE4T7ORDWP62&url=%2FCheeksis-Ceramic-Gardening-Purpose-Miniature%2Fdp%2FB097F4HWF2%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626321385%26sr%3D8-3-spons%26psc%3D1&qualifier=1626321385&id=6521581788556705&widgetName=sp_atf
Cheeksi's Garden Real Plant Decoration Gardening Gifts Plant  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06376422OAZURXXVD8NH&url=%2FCheeksis-Garden-Plant-Decoration-Gardening%2Fdp%2FB097DWWK9P%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626321385%26sr%3D8-4-spons%26psc%3D1&qualifier=1626321385&id=6521581788556705&widgetName=sp_atf
"Litleo Bonsai Wild Artificial Plant with Pot (Green, 4 Piece)  ",Best seller,,,₹499,₹399,Save ₹100 (20%),4.1 out of 5 stars,918,https://www.amazon.in/gp/bestsellers/kitchen/1380416031/ref=sr_bs_4_1380416031_1
"Heart Home Artificial Plants with Plastic Pot (Green,Pack of 1)  ",,,Only 1 left in stock.,,₹299,,4.1 out of 5 stars,521,https://www.amazon.in/Heart-Home-Artificial-Plants-Plastic/dp/B08VGMLCVF/ref=sr_1_6?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-6
"Fancy Mart Artificial Bamboo Leaves Plant with Wood Pot (Green, 1 Piece)  ",,,,₹800,₹356,Save ₹444 (56%),4.2 out of 5 stars,"7,044",https://www.amazon.in/Fancy-Mart-Artificial-Hexagun-Pot-0235-888/dp/B01LHNLJT4/ref=sr_1_7?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-7
"Litleo Mini All Green Different for Home Office Or Decoration Bonsai Wild Artificial Plant with Pot (Set of 4 , 15 cm, Green)  ",,,,₹699,₹380,Save ₹319 (46%),4.0 out of 5 stars,16,https://www.amazon.in/Litleo-Different-Decoration-Artificial-Set/dp/B08ZYW5HXH/ref=sr_1_8?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-8
DecoratingLives Artificial Plant with Pot (Green)  ,,,,₹999,₹299,Save ₹700 (70%),3.7 out of 5 stars,950,https://www.amazon.in/HYPERBOLE-Artificial-Plant-Gift-White/dp/B075RJBKPN/ref=sr_1_9?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-9
Sofix Artificial Plant Big Palm Tree (Green)  ,,,,"₹1,999",₹879,"Save ₹1,120 (56%)",4.1 out of 5 stars,296,https://www.amazon.in/Sofix-Indoor-Artificial-Natural-Looking/dp/B07DBLYHDP/ref=sr_1_10?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-10
"Ikea Artificial Plant with Plastic Pot (Off-White, 3 Piece)  ",,,,₹999,₹590,Save ₹409 (41%),3.6 out of 5 stars,"1,679",https://www.amazon.in/Ikea-KNALLA-Artificial-Outdoor-Succulent/dp/B07FYC8PPV/ref=sr_1_11?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-11
YTC Artificial Plants for Home Decor | Pack of 4 | (2 Grass & 2 Green Plant)  ,,,,₹799,₹399,Save ₹400 (50%),4.0 out of 5 stars,13,https://www.amazon.in/YTC-Artificial-Plants-Decor-Grass/dp/B096QC1VRB/ref=sr_1_12?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-12
"PINDIA Artificial Money Plant with Melamine Pot (Green, 1Pc)  ",,,,₹774,₹361,Save ₹413 (53%),4.2 out of 5 stars,667,https://www.amazon.in/Pindia-Plastic-Miniature-Artificial-Decorative/dp/B079GZ7TDB/ref=sr_1_13?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-13
"Dekorly Artificial Bonsai Wild Plant with Pot (Yellow, Green, Red, Maroon, Set Of 4)  ",,,,₹999,₹449,Save ₹550 (55%),3.7 out of 5 stars,52,https://www.amazon.in/Dekorly-Artificial-Bonsai-Yellow-Maroon/dp/B08ZYJQXTX/ref=sr_1_14?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-14
Realistic Artificial Bamboo & Grass Plant Pot for Home and Decoration ( Set of 6 Small )  ,,,,₹999,₹389,Save ₹610 (61%),,,https://www.amazon.in/Realistic-Artificial-Bamboo-Grass-Decoration/dp/B098LGJYGY/ref=sr_1_15?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-15
"Planters Artificial Plant with Plastic Pot (Green, White, 2 Piece)  ",,,,"₹1,063",₹709,Save ₹354 (33%),4.3 out of 5 stars,556,https://www.amazon.in/PlantersTM-Artificial-Plant-Pots-Set/dp/B07HTCCPWM/ref=sr_1_16?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-16
"DecoratingLives Artificial Plant with Plastic Pot (Green, 1 Piece)  ",,,,₹999,₹299,Save ₹700 (70%),3.7 out of 5 stars,"1,304",https://www.amazon.in/DecoratingLives-Artificial-Potted-Plants-Height/dp/B07Y57PYVS/ref=sr_1_17?dchild=1&keywords=artificial+plants&qid=1626321385&sr=8-17
