name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Tdas Artificial Ivy Garlands Leaves Greenery Hanging Vine Creeper Plants (Green, Pack Of 12 Strings,6.7 feet Each)  ",,Sponsored,,"₹1,890",₹899,Save ₹991 (52%),4.2 out of 5 stars,929,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A069795822DY5CGP9ZXE2&url=%2FArtificial-Garlands-Greenery-maindoor-Decoration%2Fdp%2FB07X28ZMD6%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-1-spons%26psc%3D1&qualifier=1624810626&id=614360631354102&widgetName=sp_atf
"Planters Artificial Plant with Plastic Pot (Green, White, 2 Piece)  ",,Sponsored,,"₹1,063",₹709,Save ₹354 (33%),4.3 out of 5 stars,516,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0485818J9R6ZW9RDGHX&url=%2FPlantersTM-Artificial-Plant-Pots-Set%2Fdp%2FB07HTCCPWM%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-2-spons%26psc%3D1%26smid%3DA1PVAF3YLKCON3&qualifier=1624810626&id=614360631354102&widgetName=sp_atf
"Electomania Artificial Succulent Plants, Pack of 10 - Artificial Succulents Flocking Plants, DIY Mini Fake Succulents Plant for Garden, Office, Home Decor Decoration Arrangements  ",,Sponsored,,"₹1,999",₹799,"Save ₹1,200 (60%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0271496T75WNR08CMK5&url=%2FElectomania-Artificial-Succulent-Plants-Pack%2Fdp%2FB096ZZST27%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-3-spons%26psc%3D1&qualifier=1624810626&id=614360631354102&widgetName=sp_atf
"Planters Ceramic Pot With Artificial Plant, Orange, 8 inches in height, 1 Piece  ",,Sponsored,,₹747.60,₹498.75,Save ₹248.85 (33%),3.5 out of 5 stars,26,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A048613024A86PLPZS8L7&url=%2FPLANTERS-Artificial-Plant-Ceramic-Pot%2Fdp%2FB07M5SRMTG%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-4-spons%26psc%3D1&qualifier=1624810626&id=614360631354102&widgetName=sp_atf
"Litleo Bonsai Wild Artificial Plant with Pot (Green, 4 Piece)  ",,,,₹499,₹415,Save ₹84 (17%),4.1 out of 5 stars,735,https://www.amazon.in/Litleo-Bonsai-Artificial-Plant-Green/dp/B08Q4FNYL6/ref=sr_1_5?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-5
"Heart Home Artificial Plants with Plastic Pot (Green,Pack of 1)  ",,,,,₹299,,4.1 out of 5 stars,384,https://www.amazon.in/Heart-Home-Artificial-Plants-Plastic/dp/B08VGMLCVF/ref=sr_1_6?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-6
YTC Artificial Plants for Home Decor | Pack of 4 | (2 Grass & 2 Green Plant)  ,,,,₹799,₹399,Save ₹400 (50%),3.8 out of 5 stars,5,https://www.amazon.in/YTC-Artificial-Plants-Decor-Grass/dp/B096QC1VRB/ref=sr_1_7?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-7
"Fancy Mart Artificial Bamboo Leaves Plant with Wood Pot (Green, 1 Piece)  ",,,,,₹356,,4.2 out of 5 stars,"6,549",https://www.amazon.in/Fancy-Mart-Artificial-Hexagun-Pot-0235-888/dp/B01LHNLJT4/ref=sr_1_8?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-8
"Dekorly Artificial Bonsai Wild Plant with Pot (Yellow, Green, Red, Maroon, Set Of 4)  ",,,,₹999,₹398,Save ₹601 (60%),3.8 out of 5 stars,21,https://www.amazon.in/Dekorly-Artificial-Bonsai-Yellow-Maroon/dp/B08ZYJQXTX/ref=sr_1_9?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-9
DecoreBugs Artificial Bamboo Leaves with Pot (Green)  ,,,,,₹446,,4.3 out of 5 stars,69,https://www.amazon.in/DecoreBugs-Artificial-Bamboo-Leaves-Green/dp/B08W1VJ7C4/ref=sr_1_10?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-10
"Artificial Succulent Plants with Plastic Pot (Green, 3 Pieces,10 x 5 x 10 cms)  ",,,,₹899,₹459,Save ₹440 (49%),3.3 out of 5 stars,78,https://www.amazon.in/Artificial-Succulent-Plants-Plastic-Pieces/dp/B08RJ57PKL/ref=sr_1_11?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-11
Dekorly 2 Packs Artificial Plants Potted Fake Grass Home Office Desktop Decor Greenery Mini Green Plants  ,,,,₹999,₹299,Save ₹700 (70%),3.9 out of 5 stars,4,https://www.amazon.in/Dekorly-Artificial-Plants-Desktop-Greenery/dp/B096M5VWFK/ref=sr_1_12?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-12
"Artificial Plants Bonsai with Plastic Pot (Green And White, Set Of 2 )  ",,,,₹650,₹199,Save ₹451 (69%),3.6 out of 5 stars,187,https://www.amazon.in/Artificial-Plants-Bonsai-Green-White/dp/B08MXZPDCZ/ref=sr_1_13?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-13
"Planters Artificial Plant with Plastic Pot (Green, White, 2 Piece)  ",,,,"₹1,063",₹709,Save ₹354 (33%),4.3 out of 5 stars,516,https://www.amazon.in/PlantersTM-Artificial-Plant-Pots-Set/dp/B07HTCCPWM/ref=sr_1_14?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-14
"DecoreBugs Artificial Hanging Plant with Wood Pot (Green, 1 Piece)  ",,,,,₹334,,4.0 out of 5 stars,358,https://www.amazon.in/DecoreBugs-Artificial-Falling-Hanging-Plastic/dp/B08BCLJMD9/ref=sr_1_15?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-15
"Dekorly Fake Plants Potted, Faux Green Plant Bonsai with White Square Pot Artificial Green Plants in Pot for Office Table Bathroom Greenery Room Home Decor  ",,,,₹999,₹299,Save ₹700 (70%),,,https://www.amazon.in/Dekorly-Plants-Artificial-Bathroom-Greenery/dp/B096KJ141M/ref=sr_1_16?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-16
Fourwalls Artificial Plant (Multicolour)  ,Limited time deal,,,"₹1,500",₹563,Save ₹937 (62%),4.2 out of 5 stars,26,https://www.amazon.in/Four-Walls-Artificial-Plant-Green/dp/B07PC7PSBH/ref=sr_1_17?dchild=1&keywords=artificial+plants&qid=1624810626&smid=AT95IG9ONZD7S&sr=8-17
DecoratingLives Artificial Plant with Pot (Green)  ,,,,₹999,₹299,Save ₹700 (70%),3.7 out of 5 stars,898,https://www.amazon.in/HYPERBOLE-Artificial-Plant-Gift-White/dp/B075RJBKPN/ref=sr_1_18?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-18
"Artificial Plants Bonsai Faux Grass Decorations With Plastic Pot (Green;White, 3 Pieces)  ",,,,₹650,₹299,Save ₹351 (54%),3.5 out of 5 stars,41,https://www.amazon.in/Artificial-Plants-Bonsai-Decorations-Plastic/dp/B08T6M99J2/ref=sr_1_19?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-19
HYPERBOLES Artificial Bonsai Plant with Pot - Green - 6 Inch/15 cm  ,,,,₹699,₹199,Save ₹500 (72%),,,https://www.amazon.in/HYPERBOLES-Artificial-Bonsai-Plant-Pot/dp/B0979KGJ9D/ref=sr_1_20?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-20
"Chumbak Artificial Plant With Planter (Green, 1 Piece)  ",,Sponsored,,"₹1,295","₹1,036",Save ₹259 (20%),3.3 out of 5 stars,4,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08061182U9GKEHKE1AVI&url=%2FChumbak-August-Artificial-Plant-Planter%2Fdp%2FB08DV9MCFN%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-21-spons%26psc%3D1&qualifier=1624810626&id=614360631354102&widgetName=sp_mtf
"MY HEART Artificial Flower with Ceramic Vase (Multicolour, 1 Piece)  ",,Sponsored,,₹999,₹449,Save ₹550 (55%),2.9 out of 5 stars,7,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08685833I8ODB82T762V&url=%2FMYHEARTTM-Decoration-Brightness-Sunflower-Artificial%2Fdp%2FB083JCG7B5%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-22-spons%26psc%3D1&qualifier=1624810626&id=614360631354102&widgetName=sp_mtf
HOMY DECOR Artificial Grass Decorations(Green)  ,,Sponsored,,"₹2,495","₹1,098","Save ₹1,397 (56%)",5.0 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A100307537RPVRQK8NPY3&url=%2FHOMY-DECOR-Artificial-Grass-Decorations%2Fdp%2FB08P36CDVY%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-23-spons%26psc%3D1&qualifier=1624810626&id=614360631354102&widgetName=sp_mtf
"F2L™ Fresh Artificial Grass Mats Carpet for Balcony - for Home Decoration - Floor Mat for Living Room Bedroom, Office - Summer Use (Size- 2 x 5 Feet - Green Color)  ",,Sponsored,,"₹1,600",₹822,Save ₹778 (49%),3.9 out of 5 stars,130,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A097834134PM5TB2XSKWI&url=%2FF2LTM-Fresh-Artificial-Carpet-Balcony%2Fdp%2FB08Q8F35QG%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1624810626%26sr%3D8-24-spons%26psc%3D1&qualifier=1624810626&id=614360631354102&widgetName=sp_mtf
"Litleo Artificial Table Top Mini Bonsai with Pot (Green, Set Of 2)  ",,,,₹399,₹199,Save ₹200 (50%),3.4 out of 5 stars,60,https://www.amazon.in/Litleo-Office-Decoration-Birthday-Bonsai/dp/B08KLXFFKB/ref=sr_1_25?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-25
"Fancy Mart Artificial Money Plant with Wood Pot (Green, 1 Piece)  ",,,,,₹388,,3.5 out of 5 stars,63,https://www.amazon.in/Fancymart-Artificial-Money-Plant-pot-1834/dp/B07BN2T3N5/ref=sr_1_26?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-26
"Tdas Artificial Ivy Vine Creeper Plants (Green, Pack Of 6)  ",,,,₹990,₹469,Save ₹521 (53%),4.2 out of 5 stars,929,https://www.amazon.in/Artificial-Garlands-Greenery-maindoor-Decoration/dp/B07X1FJVD3/ref=sr_1_27?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-27
CAPPL Bushy Dieffenbachia Amy Green Yellow Color Plant (Pot Included) with Fertilizer Free  ,,,,,₹369,,5.0 out of 5 stars,1,https://www.amazon.in/CAPPL-Nursery-Dieffenbachia-Included-Fertilizer/dp/B075MYRYL3/ref=sr_1_28?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-28
"Fourwalls Artificial Berry Leaves Flowering Plant with Wood Hexagon Pot (20 cm x 20 cm x 20 cm, Blue)  ",,,,₹900,₹530,Save ₹370 (41%),3.9 out of 5 stars,9,https://www.amazon.in/Fourwalls-Artificial-Leaves-Flowering-Hexagon/dp/B08KH8YCZC/ref=sr_1_29?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-29
FancyMart Artificial Rubber Plant Big in Apple Pot (Height 35 cm)  ,,,,₹940,₹449,Save ₹491 (52%),3.9 out of 5 stars,8,https://www.amazon.in/FancyMart-Artificial-Rubber-Plant-Height/dp/B08VYKPYNZ/ref=sr_1_30?dchild=1&keywords=artificial+plants&qid=1624810626&sr=8-30
