name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Cheeksi's Garden Decorative attractive Ceramic plants Living Room & Gardening Gift Purpose  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A063197033VVFJ5KEP4VI&url=%2FCheeksis-Decorative-attractive-Ceramic-Gardening%2Fdp%2FB097F221KC%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626240769%26sr%3D8-1-spons%26psc%3D1&qualifier=1626240769&id=3708647355184046&widgetName=sp_atf
Cheeksi's Garden Decorative Ceramic plants Living Room & Gardening Gift Purpose Pack Of 2  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0631758IODW1KWTSKXD&url=%2FCheeksis-Decorative-Ceramic-Gardening-Purpose%2Fdp%2FB097F2HVGH%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626240769%26sr%3D8-2-spons%26psc%3D1&qualifier=1626240769&id=3708647355184046&widgetName=sp_atf
Cheeksi's Garden Ceramic plants Living Room & Gardening Gift Purpose (orange)  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06316342SDGB9ZYP3MDH&url=%2FCheeksis-Garden-Ceramic-Gardening-Purpose%2Fdp%2FB097DZVPJY%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626240769%26sr%3D8-3-spons%26psc%3D1&qualifier=1626240769&id=3708647355184046&widgetName=sp_atf
Cheeksi's Garden Real Plant Decoration Gardening Gifts Beutiful Plant  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06378861AOZGMRS8TBKV&url=%2FCheeksis-Garden-Decoration-Gardening-Beutiful%2Fdp%2FB097DW84GT%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dartificial%2Bplants%26qid%3D1626240769%26sr%3D8-4-spons%26psc%3D1&qualifier=1626240769&id=3708647355184046&widgetName=sp_atf
"Litleo Bonsai Wild Artificial Plant with Pot (Green, 4 Piece)  ",Best seller,,,₹499,₹399,Save ₹100 (20%),4.1 out of 5 stars,906,https://www.amazon.in/gp/bestsellers/kitchen/1380416031/ref=sr_bs_4_1380416031_1
"Heart Home Artificial Plants with Plastic Pot (Green,Pack of 1)  ",,,Only 1 left in stock.,,₹299,,4.1 out of 5 stars,512,https://www.amazon.in/Heart-Home-Artificial-Plants-Plastic/dp/B08VGMLCVF/ref=sr_1_6?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-6
"Fancy Mart Artificial Bamboo Leaves Plant with Wood Pot (Green, 1 Piece)  ",,,,₹800,₹356,Save ₹444 (56%),4.2 out of 5 stars,"7,013",https://www.amazon.in/Fancy-Mart-Artificial-Hexagun-Pot-0235-888/dp/B01LHNLJT4/ref=sr_1_7?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-7
"Litleo Mini All Green Different for Home Office Or Decoration Bonsai Wild Artificial Plant with Pot (Set of 4 , 15 cm, Green)  ",,,,₹699,₹380,Save ₹319 (46%),4.0 out of 5 stars,16,https://www.amazon.in/Litleo-Different-Decoration-Artificial-Set/dp/B08ZYW5HXH/ref=sr_1_8?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-8
"Dekorly Artificial Bonsai Wild Plant with Pot (Yellow, Green, Red, Maroon, Set Of 4)  ",,,,₹999,₹449,Save ₹550 (55%),3.7 out of 5 stars,48,https://www.amazon.in/Dekorly-Artificial-Bonsai-Yellow-Maroon/dp/B08ZYJQXTX/ref=sr_1_9?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-9
DecoratingLives Artificial Plant with Pot (Green)  ,,,,₹999,₹299,Save ₹700 (70%),3.7 out of 5 stars,948,https://www.amazon.in/HYPERBOLE-Artificial-Plant-Gift-White/dp/B075RJBKPN/ref=sr_1_10?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-10
YTC Artificial Plants for Home Decor | Pack of 4 | (2 Grass & 2 Green Plant)  ,,,,₹799,₹425,Save ₹374 (47%),4.0 out of 5 stars,13,https://www.amazon.in/YTC-Artificial-Plants-Decor-Grass/dp/B096QC1VRB/ref=sr_1_11?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-11
"Ikea Artificial Plant with Plastic Pot (Off-White, 3 Piece)  ",,,,"₹1,099",₹590,Save ₹509 (46%),3.6 out of 5 stars,"1,674",https://www.amazon.in/Ikea-KNALLA-Artificial-Outdoor-Succulent/dp/B07FYC8PPV/ref=sr_1_12?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-12
"Fancy Mart Artificial Money Plant with Wood Pot (Green, 1 Piece)  ",,,,₹830,₹388,Save ₹442 (53%),3.5 out of 5 stars,76,https://www.amazon.in/Fancymart-Artificial-Money-Plant-pot-1834/dp/B07BN2T3N5/ref=sr_1_13?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-13
"Planters Artificial Plant with Plastic Pot (Green, White, 2 Piece)  ",,,,"₹1,063",₹709,Save ₹354 (33%),4.3 out of 5 stars,553,https://www.amazon.in/PlantersTM-Artificial-Plant-Pots-Set/dp/B07HTCCPWM/ref=sr_1_14?dchild=1&keywords=artificial+plants&qid=1626240769&sr=8-14
