name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
VR Lil Baby Boy's & Girl's Cotton Regular Half Sleeve Tee & Shorts Set (White & Grey)  ,,Sponsored,Only 2 left in stock.,₹650,₹475,Save ₹175 (27%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0371385GY4H8E3ZSG54&url=%2FGirls-Cotton-Regular-Sleeve-Shorts%2Fdp%2FB096PKRQL6%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bboy%2Bclothes%26qid%3D1626322104%26sr%3D8-1-spons%26psc%3D1&qualifier=1626322104&id=5614879471194404&widgetName=sp_atf
VR Lil Baby Boy's & Girl's Printed Cotton Regular Half Sleeve Tee & Shorts Set (Light Yellow & Light Blue)  ,,Sponsored,Only 2 left in stock.,₹650,₹475,Save ₹175 (27%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03721212Y942TN627IA4&url=%2FPrinted-Cotton-Regular-Sleeve-Shorts%2Fdp%2FB09716K6J7%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bboy%2Bclothes%26qid%3D1626322104%26sr%3D8-2-spons%26psc%3D1&qualifier=1626322104&id=5614879471194404&widgetName=sp_atf
VR Lil Baby Boy's & Girl's Printed Cotton Regular Half Sleeve Tee & Shorts Set (Blue & White)  ,,Sponsored,Only 2 left in stock.,₹650,₹475,Save ₹175 (27%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0371697295JBG14EHC6C&url=%2FPrinted-Cotton-Regular-Sleeve-Shorts%2Fdp%2FB096PJVP7P%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bboy%2Bclothes%26qid%3D1626322104%26sr%3D8-3-spons%26psc%3D1&qualifier=1626322104&id=5614879471194404&widgetName=sp_atf
Tedbae Kids T- Shirt & Shorts set ( Red & Navy Blue Color Combo) Organic Cotton Ultra Soft Premium Quality  ,,Sponsored,,₹899,₹599,Save ₹300 (33%),5.0 out of 5 stars,4,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02209752OQ5DJY5OOPQE&url=%2FTedbae-Shorts-Organic-Premium-Quality%2Fdp%2FB096NXRL4L%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bboy%2Bclothes%26qid%3D1626322104%26sr%3D8-4-spons%26psc%3D1&qualifier=1626322104&id=5614879471194404&widgetName=sp_atf
Bold N Elegant - Be Bold Inside & Elegant Outside Baby Girl's T-Shirt Knee Length Dress  ,,,,"₹1,999",₹599,"Save ₹1,400 (70%)",3.7 out of 5 stars,640,https://www.amazon.in/Bold-Elegant-Outside-Knee-Length-Clothing/dp/B08JV8GB2V/ref=sr_1_5?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-5
TENDERCARE Baby boy & Baby Girl Teddy Bear Dungaree Set with Tshirt 0-1 Year || Baby Boy Dresses for 0-6 Months || Clothes for Baby boy and Girl  ,,,,₹999,₹369,Save ₹630 (63%),3.9 out of 5 stars,823,https://www.amazon.in/Tendercare-Dungaree-Tshirt-Dresses-Clothes/dp/B091BHVT4Q/ref=sr_1_6?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-6
GigglePlum Baby Boys and Girls Cotton Blazer Style Shirt and Pant Set  ,,,,"₹1,699",₹649,"Save ₹1,050 (62%)",4.3 out of 5 stars,31,https://www.amazon.in/GigglePlum-Cotton-Blazer-Months-GP-CS-001-Red-00051/dp/B091B9ZBY3/ref=sr_1_7?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-7
EASYBUY Boy's Regular Baby and Toddler T-Shirt Set  ,,,,,₹169,,4.3 out of 5 stars,74,https://www.amazon.in/EASYBUY-Regular-Toddler-T-Shirt-SU21GE09BZ_Orange/dp/B08ZJHSTRP/ref=sr_1_8?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-8
BABY STATION Unisex Long Sleeve Cotton Sleep Suit/Romper Set of 3pcs  ,,,,₹999,₹599,Save ₹400 (40%),4.0 out of 5 stars,"1,412",https://www.amazon.in/Station-Sleeve-Cotton-Rompers-Multicolour/dp/B07MNPBLL8/ref=sr_1_9?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-9
Jimmy Jammy Baby Boy & Girl Dress Soft Hosiery Cotton Blend T-shirt and Shorts Pack 4 T-shirt + 4 Shorts Multi colored  ,,,,"₹1,389",₹439,Save ₹950 (68%),3.1 out of 5 stars,30,https://www.amazon.in/Jimmy-Jammy-Hosiery-T-shirt-colored/dp/B096WGNC8S/ref=sr_1_10?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-10
EIO New-Born Baby Boys and Baby Girls Kids Combo Packs  ,,,,₹649,₹399,Save ₹250 (39%),4.0 out of 5 stars,"1,779",https://www.amazon.in/Newborn-Multi-Color-Jumpsuit-Bodysuit-Outfits/dp/B07QHWBVFV/ref=sr_1_11?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-11
Shyamcollections Shyamcollections Baby Boy and Baby Girl Dress Soft Hosiery Cotton Multicolour Half Sleeve T-Shirt and Shorts Set (Pack of 6) Size 0 Months Up to 6 Years (9-12 Months)  ,,,,"₹1,299",₹499,Save ₹800 (62%),4.1 out of 5 stars,38,https://www.amazon.in/Shyamcollections-Hosiery-Cotton-Multicolour-T-Shirt/dp/B093WW4GPS/ref=sr_1_12?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-12
Bold N Elegant - Be Bold Inside & Elegant Outside Bold N Elegant Cool Printed Bear Giraffe Car Cartoon Printed Baby Boy Girl Two Piece Clothing Set Full Length Tshirt Pant Set for Infant Toddler Kids  ,,,,"₹1,999",₹619,"Save ₹1,380 (69%)",3.7 out of 5 stars,"1,016",https://www.amazon.in/Bold-Elegant-Printed-Scooby-Cartoon/dp/B07CW1KBKM/ref=sr_1_13?dchild=1&keywords=baby+boy+clothes&qid=1626322104&sr=8-13
