name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Papimo Baby Pants Diapers with Aloe Vera, Large (9 - 14 kg), 64 Count  ",,Sponsored,,₹999,₹649,Save ₹350 (35%),3.6 out of 5 stars,"13,097",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0209130YOVX664FGQUD&url=%2FPapimo-Pants-Diapers-Large-Count%2Fdp%2FB086N68QR1%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bdiaper%26qid%3D1626888259%26sr%3D8-1-spons%26psc%3D1&qualifier=1626888259&id=1869464353247727&widgetName=sp_atf
"Pampers All round Protection Pants, New Born, Extra Small size baby diapers (NB,XS) 86 Count, Anti Rash Diapers, Lotion with Aloe Vera  ",,Sponsored,,"₹1,149",₹643,Save ₹506 (44%),4.3 out of 5 stars,"9,417",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A045696730EHPI8O5VO6V&url=%2FPampers-Diapers-Pants-X-Small-Count%2Fdp%2FB07DP27JKB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bdiaper%26qid%3D1626888259%26sr%3D8-2-spons%26psc%3D1&qualifier=1626888259&id=1869464353247727&widgetName=sp_atf
"Pampers All round Protection Pants, Small size baby diapers (SM) 86 Count, Anti Rash diapers, Lotion with Aloe Vera  ",,Sponsored,,"₹1,149",₹758,Save ₹391 (34%),4.3 out of 5 stars,"18,402",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0264721HF3LJG2RYX6Q&url=%2FPampers-Diapers-Pants-Small-Count%2Fdp%2FB07DP27MF4%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bdiaper%26qid%3D1626888259%26sr%3D8-3-spons%26psc%3D1&qualifier=1626888259&id=1869464353247727&widgetName=sp_atf
"Huggies Wonder Pants Extra Large (XL) Size Baby Diaper Pants, 56 count, with Bubble Bed Technology for comfort  ",Best seller,Sponsored,,"₹1,099",₹769,Save ₹330 (30%),4.3 out of 5 stars,"109,528",https://www.amazon.in/gp/bestsellers/baby/ref=sr_bs_3_baby_1
"Supples Baby Pants Diapers, Large (9-14 kg), 62 Count  ",Amazon's ChoiceLimited time deal,,,₹949,₹635,Save ₹314 (33%),4.0 out of 5 stars,"83,134",https://www.amazon.in/Supples-Pants-Diapers-Large-Count/dp/B07Q2BRTV7/ref=ice_ac_b_dpb?dchild=1&keywords=baby+diaper&qid=1626888259&smid=AT95IG9ONZD7S&sr=8-5
"Supples Baby Pants Diapers, Medium (7-12 kg), 72 Count  ",,,,₹939,₹625,Save ₹314 (33%),4.0 out of 5 stars,"83,134",https://www.amazon.in/Supples-Pants-Diapers-Medium-Count/dp/B07Q2F37JN/ref=sr_1_6?dchild=1&keywords=baby+diaper&qid=1626888259&sr=8-6
"Papimo Baby Pants Diapers with Aloe Vera, Medium (7 - 12 kg), 76 Count  ",,,,₹999,₹649,Save ₹350 (35%),3.6 out of 5 stars,"13,097",https://www.amazon.in/Papimo-Pants-Diapers-Medium-Count/dp/B086N5L728/ref=sr_1_7?dchild=1&keywords=baby+diaper&qid=1626888259&sr=8-7
"Papimo Baby Pants Diapers with Aloe Vera, Large (9 - 14 kg), 64 Count  ",,,,₹999,₹649,Save ₹350 (35%),3.6 out of 5 stars,"13,097",https://www.amazon.in/Papimo-Pants-Diapers-Large-Count/dp/B086N68QR1/ref=sr_1_8?dchild=1&keywords=baby+diaper&qid=1626888259&sr=8-8
"Supples Baby Pants Diapers, X-Large (12-17 kg), 54 Count  ",Limited time deal,,,₹943,₹635,Save ₹308 (33%),4.0 out of 5 stars,"83,134",https://www.amazon.in/Supples-Pants-Diapers-X-Large-Count/dp/B07Q2CS1BC/ref=sr_1_9?dchild=1&keywords=baby+diaper&qid=1626888259&smid=AT95IG9ONZD7S&sr=8-9
"MamyPoko Pants Extra Absorb Baby Diapers, New Born (Upto 5 kgs) 99 Count  ",,,,₹999,₹759,Save ₹240 (24%),4.4 out of 5 stars,"95,776",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diapers/dp/B07TCNCX4F/ref=sr_1_10?dchild=1&keywords=baby+diaper&qid=1626888259&sr=8-10
