name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Supples Baby Pants Diapers, Medium (7-12 kg), 72 Count  ",Amazon's ChoiceLimited time deal,Sponsored,,₹939,₹549,Save ₹390 (42%),4.0 out of 5 stars,"87,094",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A046174235SBLHE622825&url=%2FSupples-Pants-Diapers-Medium-Count%2Fdp%2FB07Q2F37JN%2Fref%3Dice_ac_b_dpb_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bdiaper%26qid%3D1628401009%26smid%3DAT95IG9ONZD7S%26sr%3D8-1-spons%26psc%3D1&qualifier=1628401009&id=2271231620548218&widgetName=sp_atf
"Papimo Baby Pants Diapers with Aloe Vera, Medium (7 - 12 kg), 76 Count  ",Limited time deal,Sponsored,,₹999,₹579,Save ₹420 (42%),3.7 out of 5 stars,"14,666",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0563921VKXHV6WJO68R&url=%2FPapimo-Pants-Diapers-Medium-Count%2Fdp%2FB086N5L728%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bdiaper%26qid%3D1628401009%26smid%3DAT95IG9ONZD7S%26sr%3D8-2-spons%26psc%3D1&qualifier=1628401009&id=2271231620548218&widgetName=sp_atf
"Himalaya Baby Diapers, Small (Upto 7 kg), 54 Count  ",,Sponsored,,₹650,₹469,Save ₹181 (28%),4.1 out of 5 stars,"6,430",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03614953HKXIIZDN79X5&url=%2FHimalaya-Baby-Small-Diapers-Count%2Fdp%2FB00YHC53A4%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bdiaper%26qid%3D1628401009%26sr%3D8-3-spons%26psc%3D1&qualifier=1628401009&id=2271231620548218&widgetName=sp_atf
"Himalaya Total Care Baby Pants Diapers, Large (9 - 14 kg), 76 Count  ",Limited time deal,Sponsored,,"₹1,100",₹720,Save ₹380 (35%),4.2 out of 5 stars,"12,875",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A036198715N5HYXG7S4ML&url=%2FHimalaya-Total-Pants-Diapers-Large%2Fdp%2FB07MJ5PBNH%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bdiaper%26qid%3D1628401009%26smid%3DAT95IG9ONZD7S%26sr%3D8-4-spons%26psc%3D1&qualifier=1628401009&id=2271231620548218&widgetName=sp_atf
"Supples Baby Pants Diapers, Large (9-14 kg), 62 Count  ",Limited time deal,,,₹949,₹549,Save ₹400 (42%),4.0 out of 5 stars,"87,094",https://www.amazon.in/Supples-Pants-Diapers-Large-Count/dp/B07Q2BRTV7/ref=sr_1_5?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-5
"Himalaya Total Care Baby Pants Diapers, Extra Large (12 - 17 kg), 74 Count  ",Deal of the Day ,,,"₹1,150",₹798,Save ₹352 (31%),4.1 out of 5 stars,"38,088",https://www.amazon.in/Himalaya-Total-Pants-Diapers-Large/dp/B07MBYCL5Z/ref=sr_1_6?dchild=1&keywords=baby+diaper&qid=1628401009&sr=8-6
"MamyPoko Pants Extra Absorb Baby Diapers, New Born (Upto 5 kgs) 99 Count  ",Limited time deal,,,₹999,₹699,Save ₹300 (30%),4.4 out of 5 stars,"101,922",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diapers/dp/B07TCNCX4F/ref=sr_1_7?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-7
"Himalaya Total Care Baby Pants Diapers, Large (9 - 14 kg), 76 Count  ",Limited time deal,,,"₹1,100",₹720,Save ₹380 (35%),4.2 out of 5 stars,"12,875",https://www.amazon.in/Himalaya-Total-Pants-Diapers-Large/dp/B07MJ5PBNH/ref=sr_1_8?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-8
"MamyPoko Pants Standard Baby Diapers, Small (4 - 8 kg) 46 Count  ",Deal of the Day ,,,₹399,₹319,Save ₹80 (20%),4.2 out of 5 stars,"52,903",https://www.amazon.in/MamyPoko-Pants-Standard-Style-Diapers/dp/B00KAUFEEM/ref=sr_1_9?dchild=1&keywords=baby+diaper&qid=1628401009&sr=8-9
"Little's Baby Pants Diapers with Wetness Indicator and 12 Hours Absorption, Large (L), 9-14 kg, 60 Count  ",,,,₹798,₹588,Save ₹210 (26%),4.1 out of 5 stars,"17,227",https://www.amazon.in/Littles-Diapers-Wetness-Indicator-Absorption/dp/B08J126QF9/ref=sr_1_10?dchild=1&keywords=baby+diaper&qid=1628401009&sr=8-10
"Little Angel Baby Diaper Pants, Large (2 X Pack of 48 Pcs)  ",,,,"₹1,398",₹849,Save ₹549 (39%),4.0 out of 5 stars,"16,647",https://www.amazon.in/Little-Angel-Diaper-Pants-Large/dp/B07NKLDNL4/ref=sr_1_11?dchild=1&keywords=baby+diaper&qid=1628401009&sr=8-11
"Pampers All round Protection Pants, Small size baby diapers (SM) 86 Count, Anti Rash diapers, Lotion with Aloe Vera  ",Limited time deal,,,₹949,₹689,Save ₹260 (27%),4.3 out of 5 stars,"19,552",https://www.amazon.in/Pampers-Diapers-Pants-Small-Count/dp/B07DP27MF4/ref=sr_1_12?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-12
"Huggies Wonder Pants Extra Small / New Born (XS / NB) Size Diaper Pants Combo Pack of 2, 24 Count, With Bubble Bed Technology For Comfort  ",Best sellerDeal of the Day ,,,₹420,₹260,Save ₹160 (38%),4.3 out of 5 stars,"115,321",https://www.amazon.in/gp/bestsellers/baby/ref=sr_bs_12_baby_1
"Huggies Dry Pants, Small (S) Size Baby Diaper Pants, 36 count, with Bubble Bed Technology for comfort  ",Limited time deal,,,₹349,₹257,Save ₹92 (26%),4.1 out of 5 stars,"10,264",https://www.amazon.in/Huggies-Pants-Small-Diapers-Count/dp/B083F8DBNH/ref=sr_1_14?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-14
"Mama Bear Baby Diaper Pants, Medium (M) - 72 Count  ",Deal of the Day ,,,"₹1,099",₹549,Save ₹550 (50%),3.8 out of 5 stars,453,https://www.amazon.in/Amazon-Brand-Diaper-Pants-Medium/dp/B07WQW984W/ref=sr_1_15?dchild=1&keywords=baby+diaper&qid=1628401009&sr=8-15
"Pampers All round Protection Pants, New Born, Extra Small size baby diapers (NB,XS) 66 Count, Anti Rash diapers, Lotion with Aloe Vera  ",Limited time deal,,,₹599,₹496,Save ₹103 (17%),4.3 out of 5 stars,"10,271",https://www.amazon.in/Pampers-Diapers-Pants-Born-Count/dp/B0868H7PGG/ref=sr_1_16?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-16
"Papimo Diapers With Aloe Vera , X-Large, Blue, 56 Count  ",Limited time deal,,,₹999,₹579,Save ₹420 (42%),3.7 out of 5 stars,"14,666",https://www.amazon.in/Papimo-Diapers-Aloe-X-Large-Count/dp/B086N68W4P/ref=sr_1_17?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-17
"Pampers All round Protection Pants, Extra Large size baby diapers (XL) 56 Count, Anti Rash diapers, Lotion with Aloe Vera  ",Deal of the Day ,,,"₹1,149",₹873,Save ₹276 (24%),4.4 out of 5 stars,"32,700",https://www.amazon.in/Pampers-New-Diapers-Pants-Count/dp/B07CXGJKXL/ref=sr_1_18?dchild=1&keywords=baby+diaper&qid=1628401009&sr=8-18
"Pampers All round Protection Pants, Large size baby diapers (LG) 42 Count, Anti Rash diapers, Lotion with Aloe Vera  ",Limited time deal,,,₹699,₹538,Save ₹161 (23%),4.4 out of 5 stars,"37,073",https://www.amazon.in/Pampers-Diapers-Pants-Large-Count/dp/B0868HPSSX/ref=sr_1_19?dchild=1&keywords=baby+diaper&qid=1628401009&smid=AT95IG9ONZD7S&sr=8-19
"Amazon Brand - Mama Bear Baby Diaper Pants, Large (L) - 34 Count  ",Deal of the Day ,,,₹599,₹269,Save ₹330 (55%),2.9 out of 5 stars,4,https://www.amazon.in/Amazon-Brand-Diaper-Pants-Large/dp/B084MS8ND6/ref=sr_1_20?dchild=1&keywords=baby+diaper&qid=1628401009&sr=8-20
