name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Mom's Darling Mom's Darling Pack of 4 Pair, Unisex Newborn Baby Booties | Baby First Walking Shoes | Baby Shoes | Baby Sandals with Anti Slip Sole | Baby Footwear | Toe to Heel Length=12cm(0 to 6 Months) | Multi_6  ",,Sponsored,,₹999,₹450,Save ₹549 (55%),3.0 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A100604832S2I4ITMRM2L&url=%2FMoms-Darling-Newborn-Booties-Footwear%2Fdp%2FB094ZYXYZM%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bfootwear%26qid%3D1625419800%26sr%3D8-1-spons%26psc%3D1&qualifier=1625419800&id=6641315162975334&widgetName=sp_atf
NEW AMERICAN Kids Unisex-Baby Clogs  ,Best sellerDeal of the Day ,,,₹999,₹299,Save ₹700 (70%),4.0 out of 5 stars,"2,047",https://www.amazon.in/gp/bestsellers/shoes/1983448031/ref=sr_bs_1_1983448031_1
NEW AMERICAN Baby Boy's Clog  ,Deal of the Day ,,,₹499,₹349,Save ₹150 (30%),4.1 out of 5 stars,"1,501",https://www.amazon.in/NEW-AMERICAN-Attractive-Clogs-Years/dp/B07XNHMFFN/ref=sr_1_3?dchild=1&keywords=baby+footwear&qid=1625419800&sr=8-3
CHIU Chu-Chu Black Shoes with Double Strap for Baby Boys & Baby Girls  ,Best seller,,,₹499,₹299,Save ₹200 (40%),4.0 out of 5 stars,"4,078",https://www.amazon.in/gp/bestsellers/shoes/1953273031/ref=sr_bs_3_1953273031_1
Kids choice Baby Shoes & Sandal for Boy's and Girl's Canvas with Anti-Slip Sole Combo of 3 Pair -  ,,,,₹999,₹389,Save ₹610 (61%),3.6 out of 5 stars,47,https://www.amazon.in/Kids-Choice-Sandal-Canvas-Anti-Slip/dp/B08FXMSRXV/ref=sr_1_5?dchild=1&keywords=baby+footwear&qid=1625419800&sr=8-5
SMARTOTS Baby Boy's Casual Shoes  ,Deal of the Day ,,,,₹252,,3.8 out of 5 stars,222,https://www.amazon.in/SMARTOTS-Girls-Green-Synthetic-Shoes/dp/B07PBQYKCT/ref=sr_1_6?dchild=1&keywords=baby+footwear&qid=1625419800&sr=8-6
NEW AMERICAN Baby Boy's Slippers  ,Best sellerDeal of the Day ,,,₹499,₹254,Save ₹245 (49%),3.9 out of 5 stars,553,https://www.amazon.in/gp/bestsellers/shoes/1983453031/ref=sr_bs_6_1983453031_1
CHIU Unisex-Baby's Fashion Sandal  ,,,,₹499,₹299,Save ₹200 (40%),3.6 out of 5 stars,241,https://www.amazon.in/CHiU-Fashion-Sandals-9-12-Months-ML8-star-black-5/dp/B07D6T497Z/ref=sr_1_8?dchild=1&keywords=baby+footwear&qid=1625419800&sr=8-8
"Basics21 Unisex Child Bootie 3-12 months, Toe to heel length -12 cm  ",,,,₹599,₹549,Save ₹50 (8%),4.3 out of 5 stars,61,https://www.amazon.in/Basics21-Babys-Bootie-Heel-Length/dp/B08GKY3LZN/ref=sr_1_9?dchild=1&keywords=baby+footwear&qid=1625419800&sr=8-9
NEOBABY Kids LED Light Shoes for Boys & Girls  ,Deal of the Day ,,,,₹339.15,,3.6 out of 5 stars,388,https://www.amazon.in/NEOBABY-Girls-Turquoise-Green-Formal/dp/B08XBB4J5C/ref=sr_1_10?dchild=1&keywords=baby+footwear&qid=1625419800&sr=8-10
