name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Shreem Kids Baby Girl's Tunic Midi Dress  ,,Sponsored,,"₹1,299",₹699,Save ₹600 (46%),3.6 out of 5 stars,9,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09051531EMJY15R7U2R1&url=%2FShreem-Kids-Girls-Tunic-SK020S1_Blue_6-7%2Fdp%2FB08F9NKFF2%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bgirl%2Bdresses%26qid%3D1628530385%26sr%3D8-1-spons%26psc%3D1&qualifier=1628530385&id=7376894034380905&widgetName=sp_atf
"Happykid Happykid Baby Girls Cute A-line Dress (Pink, 0-3 Months)  ",,Sponsored,,,₹379,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09817012TTKL3G1CQ1Q1&url=%2FHappykid-Girls-line-Dress-Months%2Fdp%2FB09B5JSZRC%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bgirl%2Bdresses%26qid%3D1628530385%26sr%3D8-2-spons%26psc%3D1&qualifier=1628530385&id=7376894034380905&widgetName=sp_atf
Amazon Brand - Jam & Honey Polyester Skater Dress  ,,Sponsored,,"₹1,499",₹273,"Save ₹1,226 (82%)",3.9 out of 5 stars,117,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0977981FGNQJF6SEN7V&url=%2FAmazon-Brand-Polyester-Skater-AVIPG-DR07_Black_3-6%2Fdp%2FB08DNWWKC5%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bgirl%2Bdresses%26qid%3D1628530385%26sr%3D8-3-spons%26psc%3D1&qualifier=1628530385&id=7376894034380905&widgetName=sp_atf
Shreem Kids Blue Small Floral Kids Girl Dress/Baby Girl Dress/Kids Dress  ,,Sponsored,,"₹1,049",₹579,Save ₹470 (45%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0913589N4D57YY21JTA&url=%2FShreem-Kids-Small-Floral-Dress%2Fdp%2FB08T9ZL45G%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bgirl%2Bdresses%26qid%3D1628530385%26sr%3D8-4-spons%26psc%3D1&qualifier=1628530385&id=7376894034380905&widgetName=sp_atf
Wish Karo Baby Girl's A-Line Knee Length Dress  ,Deal of the Day ,,,"₹3,299",₹949,"Save ₹2,350 (71%)",3.8 out of 5 stars,419,https://www.amazon.in/Wish-Karo-Girls-Tissue-Months/dp/B07F9ZV9F7/ref=sr_1_5?dchild=1&keywords=baby+girl+dresses&qid=1628530385&sr=8-5
Hopscotch Girl's Fit & Flare Long Dress with Hat  ,,,,₹969,₹550,Save ₹419 (43%),3.4 out of 5 stars,148,https://www.amazon.in/Hopscotch-Girls-Dress-Yng-3085826_Pink_12-21-Months/dp/B08FBKL9XC/ref=sr_1_6?dchild=1&keywords=baby+girl+dresses&qid=1628530385&sr=8-6
Wish Karo Baby Girl's A-line Knee Length Frock  ,Deal of the Day ,,,"₹2,135",₹549,"Save ₹1,586 (74%)",4.1 out of 5 stars,"4,436",https://www.amazon.in/Wish-Karo-Girls-Birthday-Lycra/dp/B07L6G3YLX/ref=sr_1_7?dchild=1&keywords=baby+girl+dresses&qid=1628530385&sr=8-7
GREEN TEE Baby Girl's A-Line Knee Length Frock (Pack of 5) (RKVM110_Multicolored_6-12 Months)  ,Amazon's Choice,,,₹849,₹408,Save ₹441 (52%),4.0 out of 5 stars,"1,428",https://www.amazon.in/GREEN-TEE-Baby-Cotton-Frocks/dp/B07MZ93S34/ref=ice_ac_b_dpb?dchild=1&keywords=baby+girl+dresses&qid=1628530385&sr=8-8
NammaBaby Baby Girls' A-Line Mini Frock Dress  ,Limited time deal,,,₹999,₹329,Save ₹670 (67%),4.3 out of 5 stars,136,https://www.amazon.in/NammaBaby-Premium-Sleeves-Dungaree-Pocket/dp/B0863BM2TS/ref=sr_1_9?dchild=1&keywords=baby+girl+dresses&qid=1628530385&smid=A2UREW1K66QAXD&sr=8-9
Generic Fashion Fly Girl's Maxi Dress  ,,,,₹999,₹389,Save ₹610 (61%),3.9 out of 5 stars,29,https://www.amazon.in/Garments-Designer-casualuse-Birthday-MEHROOM/dp/B08VJJM5R3/ref=sr_1_10?dchild=1&keywords=baby+girl+dresses&qid=1628530385&sr=8-10
