name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Johnson's Baby Shampoo For New Born With No More Tears Formula, 500ml  ",,Sponsored,,₹330,₹302,Save ₹28 (8%),4.5 out of 5 stars,"6,585",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07941241E9VOJDCM6TZ5&url=%2FJohnsons-Baby-Tears-Shampoo-500ml%2Fdp%2FB07F38B4W9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-1-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_atf
The Moms Co. Tear-Free Natural Baby Shampoo | Australia-Certified Toxin-Free | with Conditioners and USDA-Certified Organic Argan Oil (200 ml)  ,,Sponsored,,₹393,₹330,Save ₹63 (16%),4.3 out of 5 stars,"1,003",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03422853NKOMY30HN8CX&url=%2FMoms-Co-Tear-Free-Natural-USDA-Certified%2Fdp%2FB07931W44F%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-2-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_atf
"Johnson's Baby No More Tears Shampoo, 500ml with Baby Lotion, 100ml  ",,Sponsored,,₹360,₹341,Save ₹19 (5%),4.4 out of 5 stars,"2,808",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0415958UUQXWNXOHNNB&url=%2FJohnsons-Tears-Shampoo-500ml-Lotion%2Fdp%2FB07L34LCS8%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-3-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_atf
Himalaya Baby Shampoo (400 ml)  ,Amazon's Choice,Sponsored,,₹300,₹252,Save ₹48 (16%),4.4 out of 5 stars,"20,577",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03703521PWD2JGL2343B&url=%2FHimalaya-Baby-Shampoo-400-ml%2Fdp%2FB00H5NMNXC%2Fref%3Dice_ac_b_dpb_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-4-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_atf
Himalaya Baby Shampoo (400 ml)  ,Amazon's Choice,,,₹300,₹252,Save ₹48 (16%),4.4 out of 5 stars,"20,577",https://www.amazon.in/Himalaya-Baby-Shampoo-400-ml/dp/B00H5NMNXC/ref=ice_ac_b_dpb?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-5
"Johnson's Baby Shampoo For New Born With No More Tears Formula, 500ml  ",,,,₹330,₹302,Save ₹28 (8%),4.5 out of 5 stars,"6,585",https://www.amazon.in/Johnsons-Baby-Tears-Shampoo-500ml/dp/B07F38B4W9/ref=sr_1_6?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-6
Dabur Baby Gentle Nourishing Shampoo: pH 5.5 balanced with No Harmful Chemicals & Tear Free Formula |Contains Aloe Vera & Gooseberry | Hypoallergenic & Dermatologically Tested with No Paraben & Phthalates - 200 ml  ,,,,₹150,₹120,Save ₹30 (20%),4.2 out of 5 stars,"1,962",https://www.amazon.in/Dabur-Baby-Shampoo-Hypoallergenic-Dermatologically/dp/B08CG7RQS9/ref=sr_1_7?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-7
Mee Mee Mild Baby Shampoo (with Fruit Extracts - 500 ml)  ,,,,₹299,₹224,Save ₹75 (25%),4.4 out of 5 stars,"4,134",https://www.amazon.in/Mee-Shampoo-Fruit-Extracts-500ml/dp/B075HHXPV1/ref=sr_1_8?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-8
Mamaearth Gentle Cleansing Shampoo for Babies (200 ml)  ,,,,₹199,₹172,Save ₹27 (14%),4.3 out of 5 stars,"9,700",https://www.amazon.in/Mamaearth-Gentle-Cleansing-Shampoo-babies/dp/B01NBEF38B/ref=sr_1_9?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-9
Mamaearth Gentle Cleansing Natural Baby Shampoo (400 ml)  ,,,,,₹349,,4.3 out of 5 stars,"9,700",https://www.amazon.in/Mamaearth-Gentle-Cleansing-Natural-Shampoo/dp/B077HZHB45/ref=sr_1_10?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-10
Johnson's Baby No More Tears Baby Shampoo 200ml  ,,,,,₹155,,4.4 out of 5 stars,"2,808",https://www.amazon.in/Johnsons-Baby-Tears-Shampoo-200ml/dp/B07F3KSHG9/ref=sr_1_11?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-11
"Baby Dove Rich Moisture Shampoo- Tear Free, Hypoallergenic, No Parabens, No Sulphates, No Phthalates, 400 ml  ",,,,₹350,₹280,Save ₹70 (20%),4.4 out of 5 stars,"1,160",https://www.amazon.in/Baby-Dove-Moisture-Shampoo-400ml/dp/B071GWV52P/ref=sr_1_12?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-12
Dabur Baby Gentle Nourishing Shampoo: pH 5.5 balanced with No Harmful Chemicals & Tear Free Formula |Contains Aloe Vera & Gooseberry | Hypoallergenic & Dermatologically Tested with No Paraben & Phthalates -500 ml  ,,,,₹375,₹296,Save ₹79 (21%),4.2 out of 5 stars,"1,962",https://www.amazon.in/Dabur-Baby-Shampoo-Hypoallergenic-Dermatologically/dp/B08CGCXF5R/ref=sr_1_13?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-13
Himalaya Gentle Baby Shampoo (200ml)  ,Best seller,,,₹170,₹168,Save ₹2 (1%),4.4 out of 5 stars,"20,577",https://www.amazon.in/gp/bestsellers/baby/1953130031/ref=sr_bs_13_1953130031_1
"Sebamed Baby (Children) Shampoo, 150ml  ",,,,₹427,₹365,Save ₹62 (15%),4.5 out of 5 stars,"6,005",https://www.amazon.in/Sebamed-Baby-children-shampoo-150ml/dp/B00ED003U0/ref=sr_1_15?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-15
"Chicco No-tears Shampoo for Soft and Tangle-free Baby Hair, Dermatologically tested, Paraben free (500 ml)  ",,,,₹449,₹391,Save ₹58 (13%),4.4 out of 5 stars,"1,188",https://www.amazon.in/Chicco-00003821000000-No-Tears-Shampoo-500ml/dp/B00AW99YG0/ref=sr_1_16?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-16
"Chicco Baby Moments Gentle Body Wash and Shampoo for Soft Skin and Hair, Dermatologically tested, Paraben free (500 ml)  ",,,,₹449,₹417,Save ₹32 (7%),4.4 out of 5 stars,"2,646",https://www.amazon.in/Chicco-Moments-Gentle-Shampoo-500ml/dp/B00EY7SW64/ref=sr_1_17?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-17
"Johnson's Baby Active Kids Shiny Drops Shampoo, 100ml  ",,,,₹110,₹108,Save ₹2 (2%),4.4 out of 5 stars,"1,641",https://www.amazon.in/Johnsons-Active-Shiny-Drops-Shampoo/dp/B07F3KS9KF/ref=sr_1_18?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-18
"Spoo Baby Shampoo | Gentle & No Tears Shampoo | For Newborns and Infants (0-2 Years), 125ml  ",,,,₹258,₹207,Save ₹51 (20%),4.5 out of 5 stars,"1,663",https://www.amazon.in/Spoo-Baby-Shampoo-125-ml/dp/B07BCXYBYV/ref=sr_1_19?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-19
"Johnson's Baby No More Tears Baby Shampoo, 500ml  ",,,,₹360,₹323,Save ₹37 (10%),4.5 out of 5 stars,"1,422",https://www.amazon.in/Johnsons-Baby-Tears-Shampoo-500ml/dp/B07F5RCP3T/ref=sr_1_20?dchild=1&fpw=pantry&keywords=baby+shampoo&qid=1626023977&s=pantry&sr=8-20
"Cetaphil Baby Shampoo and Wash, 230 ml  ",,Sponsored,,,₹575,,4.5 out of 5 stars,"1,407",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07856892HF1GXJTP5QUV&url=%2FCetaphil-Baby-Shampoo-Wash-230%2Fdp%2FB01MUBLEV5%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-21-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_mtf
"Lotus Herbals Baby+ Gentle Cleansing Shampoo, Ph 5.5, Sulphate- Free, Chamomile & Calendula Extracts,Pediatrician Recommended, (0-5 Yrs)  ",,Sponsored,,,,,4.3 out of 5 stars,17,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0280763DQVKEO776MX7&url=%2FLotus-Herbals-Baby-Pediatrician-Recommended%2Fdp%2FB085P2CYB5%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-22-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_mtf
"Cetaphil Baby Shampoo, 200 ml  ",,Sponsored,,₹585,₹499,Save ₹86 (15%),4.4 out of 5 stars,325,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0785845VK8YGAP7DJQ0&url=%2FCetaphil-Baby-Shampoo-200-ml%2Fdp%2FB01F8TXC7A%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-23-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_mtf
"Mom & World Tear Free Baby Shampoo with Organic Moroccan Argan Oil and Oats Extract, 200 ml (NMOMWLD11)  ",,Sponsored,,₹599,₹399,Save ₹200 (33%),4.3 out of 5 stars,290,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09350632N63XS9EXZTGE&url=%2FMom-World-Shampoo-Organic-Moroccan%2Fdp%2FB07BKQDNB5%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dbaby%2Bshampoo%26qid%3D1626023977%26sr%3D8-24-spons%26psc%3D1&qualifier=1626023977&id=85737595909394&widgetName=sp_mtf
"Johnson's Baby No More Tears Shampoo, 500ml with Baby Lotion, 100ml  ",,,,₹360,₹341,Save ₹19 (5%),4.4 out of 5 stars,"2,808",https://www.amazon.in/Johnsons-Tears-Shampoo-500ml-Lotion/dp/B07L34LCS8/ref=sr_1_25?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-25
"Baby Dove Rich Moisture Shampoo, Tear Free, Hypoallergenic, No Parabens, No Sulphates, No Phthalates, 200 ml  ",,,,₹215,₹175,Save ₹40 (19%),4.4 out of 5 stars,921,https://www.amazon.in/Baby-Dove-Moisture-Shampoo-200ml/dp/B072JF5RMP/ref=sr_1_26?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-26
"Cetaphil Baby Shampoo, 200 ml  ",,,,₹585,₹499,Save ₹86 (15%),4.4 out of 5 stars,325,https://www.amazon.in/Cetaphil-Baby-Shampoo-200-ml/dp/B01F8TXC7A/ref=sr_1_27?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-27
"Sebamed Childrens' Shampoo, 500ml  ",,,,₹927,₹768,Save ₹159 (17%),4.5 out of 5 stars,"6,005",https://www.amazon.in/SebaMed-Sebamed-Childrens-Shampoo-500ml/dp/B00VFJ6FEU/ref=sr_1_28?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-28
Himalaya Gentle Baby Shampoo (200ml)  ,,,,₹170,₹153,Save ₹17 (10%),4.4 out of 5 stars,"1,208",https://www.amazon.in/Himalaya-Herbals-Gentle-Shampoo-200ml/dp/B01CI1RUR4/ref=sr_1_29?dchild=1&fpw=pantry&keywords=baby+shampoo&qid=1626023977&s=pantry&sr=8-29
"Johnson's Baby Active Kids Shiny Drops Shampoo, 200ml  ",,,,,₹200,,4.4 out of 5 stars,"1,641",https://www.amazon.in/Johnsons-Active-Shiny-Drops-Shampoo/dp/B07F39SFS8/ref=sr_1_30?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-30
Himalaya Baby Shampoo (400 ml)  ,,,,₹300,₹288,Save ₹12 (4%),4.5 out of 5 stars,"4,981",https://www.amazon.in/Himalaya-Baby-Shampoo-400-ml/dp/B01CI1TJMI/ref=sr_1_31?dchild=1&fpw=pantry&keywords=baby+shampoo&qid=1626023977&s=pantry&sr=8-31
"Mamaearth Milky Soft Baby Shampoo with Oats, Milk and Calendula for Babies – 400 ml  ",,,,,₹399,,4.8 out of 5 stars,4,https://www.amazon.in/Mamaearth-Milky-Shampoo-Calendula-Babies/dp/B097YVV54Z/ref=sr_1_32?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-32
The Moms Co. Tear-Free Natural Baby Shampoo | Australia-Certified Toxin-Free | with Conditioners and USDA-Certified Organic Argan Oil (200 ml)  ,,,,₹393,₹330,Save ₹63 (16%),4.3 out of 5 stars,"1,003",https://www.amazon.in/Moms-Co-Tear-Free-Natural-USDA-Certified/dp/B07931W44F/ref=sr_1_33?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-33
Himalaya Gentle Baby Shampoo (100ml)  ,Best seller,,,,,,4.4 out of 5 stars,"20,577",https://www.amazon.in/gp/bestsellers/baby/1953130031/ref=sr_bs_33_1953130031_1
"Mom & World Tear Free Baby Shampoo with Organic Moroccan Argan Oil and Oats Extract, 200 ml (NMOMWLD11)  ",,,,₹599,₹399,Save ₹200 (33%),4.3 out of 5 stars,290,https://www.amazon.in/Mom-World-Shampoo-Organic-Moroccan/dp/B07BKQDNB5/ref=sr_1_35?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-35
Pigeon Baby Conditioning Shampoo (500 ml)  ,,,,₹395,₹309,Save ₹86 (22%),4.2 out of 5 stars,564,https://www.amazon.in/Pigeon-Baby-Conditioning-Shampoo-500/dp/B07TKL4CR5/ref=sr_1_36?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-36
Himalaya Gentle Baby Shampoo (200ml)  ,,,,,₹170,,4.5 out of 5 stars,102,https://www.amazon.in/Himalaya-Gentle-Baby-Shampoo-200ml/dp/B08HLNQPRT/ref=sr_1_37?dchild=1&keywords=baby+shampoo&qid=1626023977&sr=8-37
