name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Amazon Brand - Solimo Floral Breeze 144 TC 100% Cotton Double Bedsheet with 2 Pillow Covers, Purple  ",,Sponsored,,"₹1,400",₹799,Save ₹601 (43%),4.3 out of 5 stars,"2,646",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02795721LXF3WCKXRU8Y&url=%2FAmazon-Brand-Solimo-Floral-Bedsheet%2Fdp%2FB076ZPWDL9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbedsheet%26qid%3D1626846539%26sr%3D8-1-spons%26psc%3D1&qualifier=1626846539&id=1649666180280387&widgetName=sp_atf
"Amazon Brand - Solimo Abstract Waves 144 TC 100% Cotton Double Bedsheet with 2 Pillow Covers, Red  ",Limited time deal,Sponsored,,"₹1,400",₹759,Save ₹641 (46%),4.4 out of 5 stars,"3,157",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0710697AEQ92HN77LIR&url=%2FAmazon-Brand-Solimo-Abstract-Bedsheet%2Fdp%2FB06Y56DZ1N%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbedsheet%26qid%3D1626846539%26smid%3DAT95IG9ONZD7S%26sr%3D8-2-spons%26psc%3D1&qualifier=1626846539&id=1649666180280387&widgetName=sp_atf
"Amazon Brand - Solimo Floral Spurt 144 TC 100% Cotton Double Bedsheet with 2 Pillow Covers, Purple  ",Limited time deal,Sponsored,,"₹1,400",₹759,Save ₹641 (46%),4.4 out of 5 stars,819,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02943082FB0UI72FUA7B&url=%2FAmazon-Brand-Solimo-Floral-Bedsheet%2Fdp%2FB076ZTZ2TT%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dbedsheet%26qid%3D1626846539%26smid%3DAT95IG9ONZD7S%26sr%3D8-3-spons%26psc%3D1&qualifier=1626846539&id=1649666180280387&widgetName=sp_atf
Beautiful Homes Pure Cotton Queen Bedsheet 90X108 in inch ( 245X275 in cm ) with 2 Pillow Cover 17X27 in inch ( 43X68 in cm) (Urbana-Blue-Ac)  ,,Sponsored,,"₹1,575",₹999,Save ₹576 (37%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00310781K4FKVPO8EC62&url=%2FBeautiful-Homes-Bedsheet-245X275-Urbana-Blue-Ac%2Fdp%2FB098PG5JWM%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dbedsheet%26qid%3D1626846539%26sr%3D8-4-spons%26psc%3D1&qualifier=1626846539&id=1649666180280387&widgetName=sp_atf
"haus & kinder Victorian Summer Dream, 100% Cotton Double Bedsheet with 2 Pillow Covers, 186 TC (Pink: White Pillows, Modern)  ",,,,"₹1,299",₹889,Save ₹410 (32%),4.2 out of 5 stars,"4,724",https://www.amazon.in/haus-kinder-Victorian-Summer-Bedsheet/dp/B07HRL5532/ref=sr_1_5?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-5
AC FASHION Rajasthani Jaipuri Traditional Sanganeri Print 144 TC 100% Cotton Double Size Bedsheet with 2 Pillow Covers Sold by Friendship Creation(Multicolor)  ,,,,"₹1,999",₹395,"Save ₹1,604 (80%)",3.5 out of 5 stars,374,https://www.amazon.in/AC-FASHION-Rajasthani-Traditional-Friendship/dp/B094N532NJ/ref=sr_1_6?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-6
"CG HOMES Microfiber Double Bedsheet with Two Pillow Covers (Red, Queen)  ",,,,₹999,₹399,Save ₹600 (60%),3.6 out of 5 stars,109,https://www.amazon.in/CG-HOMES-Microfiber-Double-Bedsheet/dp/B0968VTQHG/ref=sr_1_7?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-7
"Just Muralidhar & Sons Polly Cotton Double Bedsheet with 2 Pillow Covers for Bed Room, Home, Hotel, (Multi color 27)  ",,,,₹999,₹379,Save ₹620 (62%),2.9 out of 5 stars,13,https://www.amazon.in/Just-Muralidhar-Sons-Cotton-Bedsheet/dp/B09527GBVH/ref=sr_1_8?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-8
"YATIN FAB Home Furnishing 144 TC Microfiber Box Printed Double Bedsheet with 2 Pillow Cover (Brown, 228 cm X 226 cm)  ",,,,₹999,₹295,Save ₹704 (70%),3.2 out of 5 stars,231,https://www.amazon.in/YATIN-FAB-Furnishing-Microfiber-Bedsheet/dp/B094VFG4LX/ref=sr_1_9?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-9
"ADHIYAGYA Presents Jaipuri Printed 144 TC Cotton Double Bedsheet for Double Bed with 2 Pillow Covers Set, (King Size Yellow)  ",,,,"₹1,999",₹420,"Save ₹1,579 (79%)",5.0 out of 5 stars,2,https://www.amazon.in/ADHIYAGYA-Presents-Jaipuri-Printed-Bedsheet/dp/B098L3TDL9/ref=sr_1_10?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-10
"VAS COLLECTIONS Single Bedsheets Combo Pack of 4-144 TC Soft Brushed Microfiber - Set of 4 bedsheets with 4 Pillow Cover - Breathable & Wrinkle Free - 8 Pcs Set | Grey, Blue, Yellow & Red  ",,,,"₹2,499",₹659,"Save ₹1,840 (74%)",3.2 out of 5 stars,21,https://www.amazon.in/VAS-COLLECTIONS-Bedsheets-Brushed-Microfiber/dp/B097DSB73P/ref=sr_1_11?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-11
PATWAHOUSE 180 TC Glace Cotton King Size Coffee Carpet Design Luxury Double Bedsheet with 2 Pillow Covers  ,,,,₹999,₹399,Save ₹600 (60%),3.7 out of 5 stars,143,https://www.amazon.in/PATWAHOUSE-Cotton-Coffee-Carpet-Bedsheet/dp/B08TMS1HTP/ref=sr_1_12?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-12
"Just Muralidhar & Sons Polly Cotton Double Bedsheet with 2 Pillow Covers for Bed Room, Home, Hotel, (Multi color 8)  ",,,,₹999,₹379,Save ₹620 (62%),3.1 out of 5 stars,8,https://www.amazon.in/Just-Muralidhar-Sons-Cotton-Bedsheet/dp/B09527XZX6/ref=sr_1_13?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-13
BEVI - Home Super Solid Slate Grey 144 Tc Microfiber Double King Bedsheet with 2 Pillow Cover- (Slate Grey)  ,,,,"₹1,299",₹449,Save ₹850 (65%),3.9 out of 5 stars,"1,705",https://www.amazon.in/BEVI-Microfiber-Double-Bedsheet-Pillow/dp/B08HCM97WR/ref=sr_1_14?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-14
PLEDGE CREATIONS® 210 TC Glace Cotton King Size Luxury Double Bed Sheet with 2 Pillow Covers  ,,,,₹999,₹399,Save ₹600 (60%),3.3 out of 5 stars,22,https://www.amazon.in/PLEDGE-CREATIONS%C2%AE-Cotton-Luxury-Double/dp/B0967XHH95/ref=sr_1_15?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-15
"jeluxa 104 TC bedsheets Double Bed Cotton with 2 Pillow Cover ,Green  ",,,,"₹1,450",₹350,"Save ₹1,100 (76%)",4.4 out of 5 stars,7,https://www.amazon.in/jeluxa-bedsheets-Double-Cotton-Pillow/dp/B096KB2V2Q/ref=sr_1_16?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-16
PUREHUB 100% Pure Cotton 144 TC Rajasthani Jaipuri Traditional Blue Color King Size Double Bedsheet with 2 Pillow Covers : Bedsheet Size: - 84 inch x 96 inch Pu-8  ,,,,"₹1,999",₹399,"Save ₹1,600 (80%)",3.7 out of 5 stars,10,https://www.amazon.in/PUREHUB-Rajasthani-Jaipuri-Traditional-Bedsheet/dp/B0974P7DRZ/ref=sr_1_17?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-17
"Just Muralidhar & Sons Polly Cotton Double Bedsheet with 2 Pillow Covers for Bed Room, Home, Hotel, (Multi color 28)  ",,,,₹999,₹280,Save ₹719 (72%),,,https://www.amazon.in/Just-Muralidhar-Sons-Cotton-Bedsheet/dp/B09529DHHR/ref=sr_1_18?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-18
Coolstar Home Glace Cotton 160TC King Size Soft Touch Bedsheet for Double Bed with 2 Pillow Covers (Multicolor)  ,,,,"₹1,098",₹499,Save ₹599 (55%),,,https://www.amazon.in/Coolstar-Cotton-Bedsheet-Double-Multicolor/dp/B099NRDX99/ref=sr_1_19?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-19
"Just Muralidhar & Sons Pure Cotton Single Bedsheet with 1 Pillow Cover for Home, Bedroom, Kids Bedsheet (60 x 90 Inch, Multi 10)  ",,,,₹999,₹259,Save ₹740 (74%),,,https://www.amazon.in/Just-Muralidhar-Sons-Single-Bedsheet/dp/B098NV8SYD/ref=sr_1_20?dchild=1&keywords=bedsheet&qid=1626846539&sr=8-20
