name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"AmazonBasics Metal, Leather Guest Chair, Black  ",Best seller,Sponsored,,"₹11,000","₹6,879","Save ₹4,121 (37%)",4.3 out of 5 stars,"2,970",https://www.amazon.in/gp/bestsellers/kitchen/5689414031/ref=sr_bs_0_5689414031_1
Petals Swiss Choco Brown Color Plastic Arm Chair for Home and Garden Set of Six  ,,Sponsored,,"₹13,499","₹8,999","Save ₹4,500 (33%)",4.3 out of 5 stars,18,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02280337SLBBPLTKBEY&url=%2FPetals-Swiss-Choco-Plastic-Garden%2Fdp%2FB08C6K62W3%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dchair%26qid%3D1627105566%26sr%3D8-2-spons%26psc%3D1&qualifier=1627105566&id=7163402473408147&widgetName=sp_atf
Petals Royal Choco Brown Color Plastic Arm Chair for Home and Garden Set of Four  ,,Sponsored,,"₹5,199","₹4,079","Save ₹1,120 (22%)",4.5 out of 5 stars,87,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02214132O72HO3OGYJXM&url=%2FPetals-Royal-Arm-Chair-Brown%2Fdp%2FB07M63SB9F%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dchair%26qid%3D1627105566%26sr%3D8-3-spons%26psc%3D1&qualifier=1627105566&id=7163402473408147&widgetName=sp_atf
Amazon Brand - Solimo Tigris Plastic Chair Set of 4 (Red)  ,,Sponsored,Only 1 left in stock.,"₹6,000","₹2,799","Save ₹3,201 (53%)",5.0 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08361712JSGJ773U3V5P&url=%2FAmazon-Brand-Solimo-Tigris-Plastic%2Fdp%2FB08F8NCD1T%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dchair%26qid%3D1627105566%26sr%3D8-4-spons%26psc%3D1&qualifier=1627105566&id=7163402473408147&widgetName=sp_atf
Nilkamal European Plastic Chair (Brown)  ,,,,"₹3,499","₹3,198",Save ₹301 (9%),3.8 out of 5 stars,544,https://www.amazon.in/Nilkamal-Back-Plastic-Chair-Brown/dp/B07V87LYYW/ref=sr_1_5?dchild=1&keywords=chair&qid=1627105566&sr=8-5
"Ikea Modern Chair (Steel , White)  ",Best seller,,,"₹1,648","₹1,275",Save ₹373 (23%),4.2 out of 5 stars,"1,508",https://www.amazon.in/gp/bestsellers/kitchen/5689456031/ref=sr_bs_5_5689456031_1
AVRO FURNITURE 2581 Plastic Modern Ergonomic Chairs (Beige) - Set of 2 Pieces  ,Best seller,,,"₹2,499","₹1,699",Save ₹800 (32%),3.8 out of 5 stars,686,https://www.amazon.in/gp/bestsellers/kitchen/5689449031/ref=sr_bs_6_5689449031_1
"Supreme Futura Plastic Chairs for Home and Office (Set of 2, Brown)  ",,,,"₹2,400","₹1,659",Save ₹741 (31%),4.0 out of 5 stars,215,https://www.amazon.in/Supreme-Futura-Stacking-Chair-Brown/dp/B07MBQX6MZ/ref=sr_1_8?dchild=1&keywords=chair&qid=1627105566&sr=8-8
Nilkamal Plastic Ergonomic Chair (Brown)  ,,,,"₹1,999",₹999,"Save ₹1,000 (50%)",3.5 out of 5 stars,419,https://www.amazon.in/Nilkamal-2155-Plastic-Chair-Brown/dp/B07LB2XBHS/ref=sr_1_9?dchild=1&keywords=chair&qid=1627105566&sr=8-9
AVRO 9100 Sturdy Plastic Chair Pettern Set of 4  ,,,,"₹4,999","₹2,300","Save ₹2,699 (54%)",3.6 out of 5 stars,4,https://www.amazon.in/AVRO-Sturdy-Plastic-Chair-Pettern/dp/B0968D5D4K/ref=sr_1_10?dchild=1&keywords=chair&qid=1627105566&sr=8-10
"Supreme Futura Plastic Chair (Wenge, Dcd)  ",,,,"₹2,000",₹950,"Save ₹1,050 (53%)",4.2 out of 5 stars,22,https://www.amazon.in/Supreme-Futura-Plastic-Chair-Wenge/dp/B08PSVX2YF/ref=sr_1_11?dchild=1&keywords=chair&qid=1627105566&sr=8-11
"GTB BT-221 Folding Chair with Foam , Black  ",,,,"₹2,999","₹1,586","Save ₹1,413 (47%)",4.1 out of 5 stars,273,https://www.amazon.in/GTB-Folding-Chair-FOAM-BT-221-Black/dp/B07T4SP6B4/ref=sr_1_12?dchild=1&keywords=chair&qid=1627105566&sr=8-12
"Chetan Plast Plastic Futura Chair | Set of 1| Glossy Finish | for Dining Room, Bedroom, Kitchen, Living Room Bearing Capacity up to 3.00 Kg Approx, Strong & Study Structure Multicolor  ",,,,"₹1,099",₹498,Save ₹601 (55%),3.1 out of 5 stars,4,https://www.amazon.in/Chetan-Plast-Capacity-Structure-Multicolor/dp/B09814JRG6/ref=sr_1_13?dchild=1&keywords=chair&qid=1627105566&sr=8-13
AVRO 9100 Sturdy Plastic Chair Pettern Set of 2  ,,,,"₹2,999","₹1,190","Save ₹1,809 (60%)",3.3 out of 5 stars,6,https://www.amazon.in/AVRO-Sturdy-Plastic-Chair-Pettern/dp/B0968BMJFL/ref=sr_1_14?dchild=1&keywords=chair&qid=1627105566&sr=8-14
"Livshine Plastic Chair for Home, Office and Garden Set of 2 (Eeezy, Dark Brown)  ",,,,"₹4,999","₹1,234","Save ₹3,765 (75%)",3.5 out of 5 stars,13,https://www.amazon.in/Livshine-Plastic-Chair-Office-Garden/dp/B0949KP14W/ref=sr_1_15?dchild=1&keywords=chair&qid=1627105566&sr=8-15
RW REST WELL N Type Comfortable Visitor/Study Black Metal Chair with Cushion | ISO Certified Company  ,,,Only 2 left in stock.,"₹2,999","₹1,799","Save ₹1,200 (40%)",3.9 out of 5 stars,180,https://www.amazon.in/RW-REST-WELL-Comfortable-Certified/dp/B085VY23MQ/ref=sr_1_16?dchild=1&keywords=chair&qid=1627105566&sr=8-16
Chetan Plast Virgn Plastic Toofan Chair Set of 1 Matt and Gloss Pattern for Dining Room Bedroom Kitchen Living Room Bearing Capacity up to 3.500 Kg Strong & Sturdy Structure Color Mulicolor  ,,,,"₹1,599",₹697,Save ₹902 (56%),5.0 out of 5 stars,2,https://www.amazon.in/Chetan-Plast-Capacity-Structure-Mulicolor/dp/B098J87HCF/ref=sr_1_17?dchild=1&keywords=chair&qid=1627105566&sr=8-17
"Restomatt Kitechen Bathroom Balcony Stool Chair Matt and Gloss Pattern Plastic Chair Bearing Capacity up to 150Kg, Assorted Colour Set of 2  ",,,,"₹1,499",₹950,Save ₹549 (37%),5.0 out of 5 stars,1,https://www.amazon.in/Restomatt-Kitechen-Bathroom-Capacity-Assorted/dp/B0978X15JD/ref=sr_1_18?dchild=1&keywords=chair&qid=1627105566&sr=8-18
Home Centre Emma Solid Metal Folding Chair - White  ,,,,,₹995,,4.0 out of 5 stars,43,https://www.amazon.in/Home-Centre-Solid-Folding-Chair/dp/B089G7ZK3J/ref=sr_1_19?dchild=1&keywords=chair&qid=1627105566&sr=8-19
