name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Swisse Skincare Olive Leaf Deep Cleansing Gel Face Wash for Glowing Skin- 125ml  ,,Sponsored,,₹799,₹489,Save ₹310 (39%),4.4 out of 5 stars,18,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02845193ULOIVY8MJS0A&url=%2FSwisse-Skincare-Olive-Cleansing-125ml%2Fdp%2FB089R873KY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dcleanser%26qid%3D1624529899%26sr%3D8-1-spons%26psc%3D1&qualifier=1624529899&id=92857171117034&widgetName=sp_atf
Swisse Skincare Manuka Honey Daily Glow Foaming Cleanser Face Wash for Glowing Skin with Vitamin C and Papaya Enzymes - 120 ml (Normal Skin)  ,,Sponsored,,₹799,₹519,Save ₹280 (35%),4.3 out of 5 stars,93,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02840271VF8JAYCQVQ96&url=%2FSwisse-Skincare-Foaming-Cleanser-Vitamin%2Fdp%2FB084M6JT69%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dcleanser%26qid%3D1624529899%26sr%3D8-2-spons%26psc%3D1&qualifier=1624529899&id=92857171117034&widgetName=sp_atf
Swisse Skincare Bamboo Skin Refining Exfoliator for with Witch Hazel & Rice Bran Water - 125g for oily & combination skin types  ,,Sponsored,,₹799,₹403,Save ₹396 (50%),4.1 out of 5 stars,8,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02843632DMOYN57SNPRM&url=%2FSwisse-Skincare-Bamboo-Refining-Exfoliator%2Fdp%2FB089RS5PFD%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dcleanser%26qid%3D1624529899%26sr%3D8-3-spons%26psc%3D1&qualifier=1624529899&id=92857171117034&widgetName=sp_atf
"Neutrogena Liquid Mild Facial Cleanser, 150ml  ",,Sponsored,,₹360,₹355,Save ₹5 (1%),4.3 out of 5 stars,"1,269",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0853706E19JPBYFBW0J&url=%2FNeutrogena-Liquid-Facial-Cleanser-150ml%2Fdp%2FB006LX962S%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dcleanser%26qid%3D1624529899%26sr%3D8-4-spons%26psc%3D1&qualifier=1624529899&id=92857171117034&widgetName=sp_atf
"Biotique Bio Honey Gel Refreshing Foaming Face Cleanser, 120ml  ",Amazon's Choice,,,₹149,₹112,Save ₹37 (25%),4.2 out of 5 stars,"3,260",https://www.amazon.in/Biotique-Honey-Refreshing-Foaming-Cleanser/dp/B00791D13Q/ref=ice_ac_b_dpb?dchild=1&keywords=cleanser&qid=1624529899&sr=8-5
Dermavive Hydra Cleanser - 120 mL  ,,,,,₹900,,4.2 out of 5 stars,"1,387",https://www.amazon.in/Dermavive-Hydra-Cleanser-120-mL/dp/B00GSXY9NW/ref=sr_1_6?dchild=1&keywords=cleanser&qid=1624529899&sr=8-6
"Cetaphil Gentle Skin Cleanser, 250ml  ",,,,₹515,₹464,Save ₹51 (10%),4.4 out of 5 stars,"7,400",https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-250ml/dp/B01CCGW4LC/ref=sr_1_7?dchild=1&keywords=cleanser&qid=1624529899&sr=8-7
"Biotique Bio Berberry Hydrating Cleanser For All Skin Types, 120Ml  ",,,,₹170,₹127,Save ₹43 (25%),4.1 out of 5 stars,"1,810",https://www.amazon.in/Biotique-Berberry-Hydrating-Cleanser-Types/dp/B00791CR9U/ref=sr_1_8?dchild=1&keywords=cleanser&qid=1624529899&sr=8-8
"Garnier Skin Naturals, Micellar Cleansing Water, 125ml  ",Best seller,,,₹175,₹122,Save ₹53 (30%),4.4 out of 5 stars,"10,161",https://www.amazon.in/gp/bestsellers/beauty/1374420031/ref=sr_bs_8_1374420031_1
"Lakme Gentle & Soft Deep Pore Cleanser, With Avocado, Removes Makeup And Impurities, Cleansing Milk For Soft And Glowing Skin, 60 ml  ",,,,₹140,₹112,Save ₹28 (20%),4.2 out of 5 stars,"1,669",https://www.amazon.in/Lakme-Gentle-Soft-Deep-Cleanser/dp/B00CS1J5FA/ref=sr_1_10?dchild=1&keywords=cleanser&qid=1624529899&sr=8-10
