name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Maybelline New York Colossal Bold Eyeliner, Black, 3g  ",Amazon's Choice,Sponsored,,₹249,₹187,Save ₹62 (25%),4.3 out of 5 stars,"10,187",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10457832CNANB9H628E9&url=%2FMaybelline-York-Colossal-Eyeliner-Black%2Fdp%2FB07S141T2R%2Fref%3Dice_ac_b_dpb_sspa%3Fdchild%3D1%26keywords%3Deyeliner%26qid%3D1626500380%26sr%3D8-1-spons%26psc%3D1&qualifier=1626500380&id=4127370154367667&widgetName=sp_atf
"Maybelline New York The Colossal Liner, 1.2ml (Black)  ",,Sponsored,,₹420,₹252,Save ₹168 (40%),4.0 out of 5 stars,"9,144",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10457271K9QM3MT6CKGY&url=%2FMaybelline-York-Colossal-Liner-1-2mL%2Fdp%2FB00S4R5RGI%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Deyeliner%26qid%3D1626500380%26sr%3D8-2-spons%26psc%3D1&qualifier=1626500380&id=4127370154367667&widgetName=sp_atf
"LAKMÉ Eyeconic Liquid Eyeliner, Black, 4.5 ml  ",,Sponsored,,₹250,₹212.50,Save ₹37.50 (15%),4.2 out of 5 stars,"1,200",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A094498427OWIKU164MBH&url=%2FLAKM%25C3%2589-Eyeconic-Liquid-Eyeliner-Black%2Fdp%2FB08N7Y9VYX%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Deyeliner%26qid%3D1626500380%26sr%3D8-3-spons%26psc%3D1&qualifier=1626500380&id=4127370154367667&widgetName=sp_atf
"Lakmé Absolute Shine Liquid Eye Liner, Intense Color, Long Lasting, Glossy Texture, Black, 4.5 ml  ",,Sponsored,,₹450,₹296,Save ₹154 (34%),4.2 out of 5 stars,"4,913",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1018402PKFUERGS572Q&url=%2FLakme-Absolute-Shine-Liquid-Liner%2Fdp%2FB008KH2VU2%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Deyeliner%26qid%3D1626500380%26sr%3D8-4-spons%26psc%3D1&qualifier=1626500380&id=4127370154367667&widgetName=sp_atf
"Maybelline New York Colossal Bold Eyeliner, Black, 3g  ",Amazon's Choice,,,₹249,₹187,Save ₹62 (25%),4.3 out of 5 stars,"10,187",https://www.amazon.in/Maybelline-York-Colossal-Eyeliner-Black/dp/B07S141T2R/ref=ice_ac_b_dpb?dchild=1&keywords=eyeliner&qid=1626500380&sr=8-5
"Lakme Insta Eye Liner, Black, Water Resistant, Long-Lasting, 9 ml  ",Best seller,,,₹120,₹97,Save ₹23 (19%),4.1 out of 5 stars,"19,421",https://www.amazon.in/gp/bestsellers/beauty/1374368031/ref=sr_bs_5_1374368031_1
"Blue Heaven Line And Design Sketch Eyeliner, Black  ",,,,,₹150,,3.9 out of 5 stars,"2,897",https://www.amazon.in/Blue-Heaven-Design-Sketch-Eyeliner/dp/B00QQU0HF6/ref=sr_1_7?dchild=1&keywords=eyeliner&qid=1626500380&sr=8-7
"Maybelline New York Lasting Drama Gel Eyeliner ,Blackest Black, 2.5g  ",,,,₹500,₹450,Save ₹50 (10%),4.2 out of 5 stars,"16,230",https://www.amazon.in/Maybelline-Lasting-Drama-Liner-Black/dp/B00K3U2DAM/ref=sr_1_8?dchild=1&keywords=eyeliner&qid=1626500380&sr=8-8
"Blue Heaven Get Bold Eyeliner, Black, 7 ml  ",,,,,₹55,,4.1 out of 5 stars,769,https://www.amazon.in/Blue-Heaven-Water-Regular-Eyeliner/dp/B084S9WXD9/ref=sr_1_9?dchild=1&keywords=eyeliner&qid=1626500380&sr=8-9
Faces Canada Magneteyes Eyeliner Black 01 3.5 ml (Black)  ,,,,₹249,₹174,Save ₹75 (30%),4.2 out of 5 stars,"2,253",https://www.amazon.in/Faces-Magneteyes-Eyeliner-Black-3-5ml/dp/B078HJPBLP/ref=sr_1_10?dchild=1&keywords=eyeliner&qid=1626500380&sr=8-10
