name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Arata Natural Lip balm (10 gm) for dry, chapped lips with Intense Moisturizing || Power of Cardamom oil || Cocoa & Mango butter  ",Limited time deal,Sponsored,,₹249,₹186.75,Save ₹62.25 (25%),3.7 out of 5 stars,"2,128",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0329045PHKT1Y9PGTET&url=%2FArata-Zero-Chemicals-Lip-Balm%2Fdp%2FB0797LJBBX%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlip%2Bbalm%26qid%3D1628693269%26smid%3DAJZVRGJTZSSIP%26sr%3D8-1-spons%26psc%3D1&qualifier=1628693269&id=679092557188036&widgetName=sp_atf
Plum Candy Melts Vegan Lip Balm for Softer Lips | Red Velvet Love | With Natural UV Protection | Enriched with Shea Butter | 100% Cruelty Free | 12g  ,,Sponsored,,₹295,₹236,Save ₹59 (20%),4.2 out of 5 stars,626,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05527832TSECGPBCYWBA&url=%2FPlum-Velvet-Tinted-Fruity-Cruelty%2Fdp%2FB08MC5MJ33%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlip%2Bbalm%26qid%3D1628693269%26sr%3D8-2-spons%26psc%3D1&qualifier=1628693269&id=679092557188036&widgetName=sp_atf
"Juicy Chemistry Organic Lip Balm, Blood Orange & Rosehip Lip Care for Dry and Chapped Lips, 5 gm Moisturizing Natural Lip Butter for Men & Women  ",,Sponsored,,,₹350,,4.3 out of 5 stars,"1,305",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0029258SDG65EYX175D&url=%2FJuicy-Chemistry-Organic-Rosehip-Orange%2Fdp%2FB01N2LYRWX%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dlip%2Bbalm%26qid%3D1628693269%26sr%3D8-3-spons%26psc%3D1&qualifier=1628693269&id=679092557188036&widgetName=sp_atf
"Juicy Chemistry Organic Lip Balm, Tuscany Lemon & Green Tea Lip Care for Chapped Lips, 5 gm Natural Lip Balm for Tanned Lips  ",Deal of the Day ,Sponsored,,₹310,₹248,Save ₹62 (20%),4.0 out of 5 stars,71,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0029414270TMGKYLOSYC&url=%2FJuicy-Chemistry-Organic-Spearmint-Butter%2Fdp%2FB01MRPJD8B%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dlip%2Bbalm%26qid%3D1628693269%26sr%3D8-4-spons%26psc%3D1&qualifier=1628693269&id=679092557188036&widgetName=sp_atf
"Maybelline New York Baby Lips Lip Balm, Pink Lolita, 4g  ",Best seller,,,₹175,₹123,Save ₹52 (30%),4.2 out of 5 stars,"11,925",https://www.amazon.in/gp/bestsellers/beauty/1374439031/ref=sr_bs_4_1374439031_1
"Biotique Bio Fruit Whitening Lip Balm, 12g  ",Amazon's Choice,,,₹175,₹114,Save ₹61 (35%),4.2 out of 5 stars,"11,945",https://www.amazon.in/Biotique-Fruit-Whitening-Lightens-Evens-Out/dp/B008TO6I1E/ref=ice_ac_b_dpb?dchild=1&keywords=lip+balm&qid=1628693269&sr=8-6
"Lakmé Lip Love Chapstick Cherry, Lip Balm With Spf 15, 4.5 g  ",,,,₹150,₹99,Save ₹51 (34%),4.1 out of 5 stars,"16,599",https://www.amazon.in/Lakme-Lip-Love-Chapstick-Cherry/dp/B07HB28NFV/ref=sr_1_7?dchild=1&keywords=lip+balm&qid=1628693269&sr=8-7
"NIVEA Lip Balm, Fruity Cherry Shine, 4.8g  ",,,,₹185,₹140,Save ₹45 (24%),4.3 out of 5 stars,"6,115",https://www.amazon.in/Nivea-Care-Fruity-Shine-Cherry/dp/B00791D3QG/ref=sr_1_8?dchild=1&keywords=lip+balm&qid=1628693269&sr=8-8
"NIVEA Lip Balm, Fruity Berry Shine, 4.8g  ",,,,₹185,₹129,Save ₹56 (30%),4.3 out of 5 stars,"6,710",https://www.amazon.in/Nivea-Care-Fruity-Shine-Blackberry/dp/B01LXLSEE6/ref=sr_1_9?dchild=1&keywords=lip+balm&qid=1628693269&sr=8-9
"NIVEA Lip Balm, Original Care, 4.8g  ",,,,₹140,₹112,Save ₹28 (20%),4.3 out of 5 stars,"4,290",https://www.amazon.in/Nivea-Lip-Balm-Original-Care/dp/B007E9JC7W/ref=sr_1_10?dchild=1&keywords=lip+balm&qid=1628693269&sr=8-10
