name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Lakmé Enrich Matte Lipstick, Shade PM15, 4.7g  ",,Sponsored,,₹295,₹221,Save ₹74 (25%),4.1 out of 5 stars,"1,502",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0372272323TTDA9QJC48&url=%2FLakme-Enrich-Matte-Lipstick-Shade%2Fdp%2FB01GT8JCCI%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlipstick%26qid%3D1625240044%26sr%3D8-1-spons%26psc%3D1&qualifier=1625240044&id=4528701002401419&widgetName=sp_atf
"Lakmé Enrich Matte Lipstick, Shade WM10, 4.7g  ",,Sponsored,,₹295,₹214,Save ₹81 (27%),4.0 out of 5 stars,"1,090",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03713803MFRKZHB2G4OD&url=%2FLakme-Enrich-Matte-Lipstick-Shade%2Fdp%2FB01GT8JH50%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlipstick%26qid%3D1625240044%26sr%3D8-2-spons%26psc%3D1&qualifier=1625240044&id=4528701002401419&widgetName=sp_atf
"Maybelline New York Color Sensational Creamy Matte Lipstick, 695 Divine Wine, 3.9g  ",Best seller,Sponsored,,₹299,₹224,Save ₹75 (25%),4.1 out of 5 stars,"30,097",https://www.amazon.in/gp/bestsellers/beauty/1374384031/ref=sr_bs_2_1374384031_1
"Faces Canada HD Intense Matte Lipstick, Feather light comfort, 10 hrs stay, Primer infused, Flawless HD finish, Purple Lip Color, Bold Wine , 1.4 gm  ",,Sponsored,,₹799,₹639,Save ₹160 (20%),4.2 out of 5 stars,998,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01369421G60YKSV3BUHY&url=%2FFacescanada-Ultime-Intense-Matte-Primer%2Fdp%2FB07J23PVCR%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dlipstick%26qid%3D1625240044%26sr%3D8-4-spons%26psc%3D1&qualifier=1625240044&id=4528701002401419&widgetName=sp_atf
RENEE FAB 5 Matte Finish 5 in 1 Lipstick 7.5G  ,Amazon's ChoiceLimited time deal,,,₹750,₹569,Save ₹181 (24%),4.1 out of 5 stars,"4,826",https://www.amazon.in/RENEE-FAB5-FAB-Lipstick-7-5g/dp/B08HRZ9QPH/ref=ice_ac_b_dpb?dchild=1&keywords=lipstick&qid=1625240044&smid=AT95IG9ONZD7S&sr=8-5
Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit 38gm ( Pack of 16)  ,,,,₹575,₹489,Save ₹86 (15%),3.8 out of 5 stars,"1,684",https://www.amazon.in/Just-Herbs-Ayurvedic-Lipstick-Micro-Mini/dp/B08QZKCWG6/ref=sr_1_6?dchild=1&keywords=lipstick&qid=1625240044&sr=8-6
"Insight Non Transfer Lip Color, 4ml (01 Joyfull)  ",,,,,₹81,,4.0 out of 5 stars,"5,028",https://www.amazon.in/Insight-Non-Transfer-Color-Joyfull/dp/B081H9TN6N/ref=sr_1_7?dchild=1&keywords=lipstick&qid=1625240044&sr=8-7
"Blue Heaven Intense Matte Lipstick, Pink Rose, 301 (14gm)  ",,,,₹85,₹51,Save ₹34 (40%),3.5 out of 5 stars,"1,302",https://www.amazon.in/Blue-Heaven-Intense-Matte-Lipstick/dp/B08M498JD3/ref=sr_1_8?dchild=1&keywords=lipstick&qid=1625240044&sr=8-8
"Elle18 Color Pops Matte Lipstick P212, Fiery Pink, 4.3 g  ",,,,,₹75,,3.8 out of 5 stars,70,https://www.amazon.in/Elle18-Color-Matte-Lipstick-Fiery/dp/B07QCC8R29/ref=sr_1_9?dchild=1&keywords=lipstick&qid=1625240044&sr=8-9
"Elle18 Color Pops Matte Lip Color, Berry Bestie, 4.3 g  ",,,,₹75,₹63,Save ₹12 (16%),3.9 out of 5 stars,"2,925",https://www.amazon.in/Elle18-Color-Matte-Berry-Bestie/dp/B08D6R59KJ/ref=sr_1_10?dchild=1&keywords=lipstick&qid=1625240044&sr=8-10
