name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Simple Kind To Skin Micellar Cleansing Water Micellar Water For Sensitive Skin No Added Perfume, No Harsh Chemicals, No Artificial Color, No Alcohol And Parabens, 200 ml  ",,Sponsored,,₹375,₹318.75,Save ₹56.25 (15%),4.4 out of 5 stars,87,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04541993KAGVJW86KQ89&url=%2FSimple-Micellar-Cleansing-Water-200Ml%2Fdp%2FB00X3OQ6N0%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmakeup%2Bremovers%26qid%3D1625893936%26sr%3D8-1-spons%26psc%3D1&qualifier=1625893936&id=5132622077609424&widgetName=sp_atf
"Garnier Skin Naturals, Micellar Cleansing Water, 125ml  ",Amazon's Choice,Sponsored,,₹175,₹123,Save ₹52 (30%),4.4 out of 5 stars,"10,749",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07676903CL7SG2XA9V56&url=%2FGarnier-Naturals-Micellar-Cleansing-Water%2Fdp%2FB06ZZ5XVR7%2Fref%3Dice_ac_b_dpb_sspa%3Fdchild%3D1%26keywords%3Dmakeup%2Bremovers%26qid%3D1625893936%26sr%3D8-2-spons%26psc%3D1&qualifier=1625893936&id=5132622077609424&widgetName=sp_atf
"Garnier Skin Naturals, Micellar Oil-Infused Cleansing Water, 125ml  ",Best seller,Sponsored,,₹225,₹146,Save ₹79 (35%),4.5 out of 5 stars,"4,417",https://www.amazon.in/gp/bestsellers/beauty/1374387031/ref=sr_bs_2_1374387031_1
"Bioderma Sensibio H2O Daily Soothing Cleanser, Make up Pollution & Impurities Remover Face Eyes Sensitive skin, 500ml  ",,Sponsored,,,"₹1,695",,4.7 out of 5 stars,"15,149",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00411893Q27O2CSUMTNH&url=%2FBioderma-Sensibio-Crealine-Solution-Sensitive%2Fdp%2FB002XZLAWM%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmakeup%2Bremovers%26qid%3D1625893936%26sr%3D8-4-spons%26psc%3D1&qualifier=1625893936&id=5132622077609424&widgetName=sp_atf
"Garnier Skin Naturals, Micellar Cleansing Water, 125ml  ",Amazon's Choice,,,₹175,₹123,Save ₹52 (30%),4.4 out of 5 stars,"10,749",https://www.amazon.in/Garnier-Naturals-Micellar-Cleansing-Water/dp/B06ZZ5XVR7/ref=ice_ac_b_dpb?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-5
"Garnier Skin Naturals, Micellar Oil-Infused Cleansing Water, 125ml  ",Best seller,,,₹225,₹146,Save ₹79 (35%),4.5 out of 5 stars,"4,417",https://www.amazon.in/gp/bestsellers/beauty/1374387031/ref=sr_bs_5_1374387031_1
"Blue Heaven Bi-Phase Makeup Remover + Micellar Cleansing Water, Clear, 125 ml  ",,,,₹150,₹90,Save ₹60 (40%),4.3 out of 5 stars,593,https://www.amazon.in/Blue-Heaven-Bi-Phase-Micellar-Cleansing/dp/B07Z6MHXBJ/ref=sr_1_7?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-7
"Lakmé 9To5 Naturale Gel Makeup Remover, 50 g  ",,,,₹175,₹157,Save ₹18 (10%),4.4 out of 5 stars,254,https://www.amazon.in/Lakme-9To5-Naturale-Makeup-Remover/dp/B07YVHVL4V/ref=sr_1_8?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-8
Blue Heaven Makeup Remover Cleansing Wipes (30 Count)  ,,,,₹150,₹90,Save ₹60 (40%),4.3 out of 5 stars,537,https://www.amazon.in/Blue-Heaven-Makeup-Remover-Cleansing/dp/B0757P7P72/ref=sr_1_9?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-9
Colorbar Cosmetics On The Go Makeup Remover Wipes (10 Pieces)  ,,,,₹95,₹76,Save ₹19 (20%),4.1 out of 5 stars,200,https://www.amazon.in/Colorbar-Cosmetics-Makeup-Remover-Pieces/dp/B07P22K1XL/ref=sr_1_10?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-10
"L'Oreal Paris Dermo Expertise Lip and Eye Make-Up Remover, 125ml  ",,,,₹390,₹312,Save ₹78 (20%),4.3 out of 5 stars,461,https://www.amazon.in/LOreal-Paris-Expertise-Make-Up-Remover/dp/B0068ZXZA8/ref=sr_1_11?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-11
Sanas 2 Piece Reusable Makeup Removal Pads 2pc Microfiber Sponge Pads For Deep Cleansing Facial Make up Remover Wipes For Mascara Eye Shadow Exfoliating Facial Sponge – 2 Piece  ,,,,₹425,₹300,Save ₹125 (29%),4.0 out of 5 stars,30,https://www.amazon.in/Sanas-Makeup-Pads-Microfiber-Remover/dp/B08QVYCXJV/ref=sr_1_12?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-12
"Lakmé Absolute Bi Phased Makeup Remover, 60ml  ",,,,₹300,₹225,Save ₹75 (25%),4.2 out of 5 stars,908,https://www.amazon.in/Lakme-Absolute-Phased-Makeup-Remover/dp/B00CWAI2SS/ref=sr_1_13?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-13
"Biotique Bio Almond Oil Soothing Face and Eye Makeup Cleanser, 120ml  ",,,,₹172,₹133,Save ₹39 (23%),4.1 out of 5 stars,508,https://www.amazon.in/Biotique-Almond-Soothing-Makeup-Cleanser/dp/B000VL1Z0M/ref=sr_1_14?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-14
REHTRAD Pack of 2 Reusable Makeup Remover Cotton pads，Cotton Pads for Face Cleansing Removes Heavy Eyeshadow and Makeup，Double Sided Makeup Remover pads（Black and White）  ,,,,₹999,₹289,Save ₹710 (71%),4.3 out of 5 stars,41,https://www.amazon.in/REHTRAD-pads%EF%BC%8CCotton-Cleansing-Makeup%EF%BC%8CDouble-pads%EF%BC%88Black/dp/B08ZRW2PC6/ref=sr_1_15?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-15
"Bioderma Sensibio H2O Daily Soothing Cleanser, Make up Pollution & Impurities Remover Face Eyes Sensitive skin, 100ml  ",,,,,₹395,,4.6 out of 5 stars,"1,679",https://www.amazon.in/Bioderma-B006RBR7NO-Sensibio-H2O-100ml/dp/B006RBR7NO/ref=sr_1_16?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-16
GUBB USA Non-Woven Cotton Pads For Face Cleansing Makeup Remover Wipes For Women & Men  ,,,,₹159,₹155,Save ₹4 (3%),4.4 out of 5 stars,157,https://www.amazon.in/GUBB-Non-Woven-Cotton-Cleansing-Removal/dp/B07MZ4YSV4/ref=sr_1_17?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-17
"GINNI CLEA Cleansing & Make-up Remover Wipes (Rose,Lemon,Aloevera,Antiacne,Cucumber,Orange) (pack of 6) (10 wipes per pack)  ",,,,₹180,₹155,Save ₹25 (14%),4.3 out of 5 stars,131,https://www.amazon.in/GINNI-Cleansing-Aloevera-Antiacne-Cucumber/dp/B01CI9CDH8/ref=sr_1_18?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-18
"Colorbar Remover Wipes, 30 Wipes (150mmx200mm)  ",,,,₹250,₹205,Save ₹45 (18%),4.4 out of 5 stars,159,https://www.amazon.in/Colorbar-Remover-Wipes-30-150mmx200mm/dp/B0783PPLWY/ref=sr_1_19?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-19
MINISO Makeup Remover Pads (White)  ,,,,,₹200,,4.1 out of 5 stars,"1,386",https://www.amazon.in/MINISO-Makeup-Remover-Cotton-Cleansing/dp/B084KY9LVY/ref=sr_1_20?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-20
"Neutrogena Oil Free Acne Wash Pink-Grapefruit Cleanser, Pink, 175 ml  ",,Sponsored,,₹650,₹630,Save ₹20 (3%),4.2 out of 5 stars,206,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02505713NKIU7U60UIXA&url=%2FNeutrogena-Free-Acne-Pink-Grapefruit-Cleanser%2Fdp%2FB077P3BVSW%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dmakeup%2Bremovers%26qid%3D1625893936%26sr%3D8-21-spons%26psc%3D1&qualifier=1625893936&id=5132622077609424&widgetName=sp_mtf
"Bioderma Sebium Gel Moussant Purifying Cleansing Foaming Gel Combination To Oily Skin, 200ml  ",,Sponsored,,,"₹1,575",,4.4 out of 5 stars,"1,971",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06387393RTDNXOWGVV4A&url=%2FBioderma-Sebium-Purifying-Cleansing-Foaming%2Fdp%2FB000TUNMW4%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dmakeup%2Bremovers%26qid%3D1625893936%26sr%3D8-22-spons%26psc%3D1&qualifier=1625893936&id=5132622077609424&widgetName=sp_mtf
"StBotanica Vitamin C Micellar Cleansing Water With Mineral Extracts, 150 ml (STBOT675)  ",,Sponsored,,,₹339,,4.3 out of 5 stars,64,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05213832OPBYU3F9RCEY&url=%2FStBotanica-Vitamin-Micellar-Cleansing-Extracts%2Fdp%2FB082X5MRFT%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dmakeup%2Bremovers%26qid%3D1625893936%26sr%3D8-23-spons%26psc%3D1&qualifier=1625893936&id=5132622077609424&widgetName=sp_mtf
"Earth Rhythm Hibiscus Rose Cleansing Buff, Certified Organic - 50 GM  ",Deal of the Day ,Sponsored,,₹549,₹449.54,Save ₹99.46 (18%),4.5 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08845252SN3ITNDLHBLF&url=%2FEarth-Rhythm-Hibiscus-Cleansing-Certified%2Fdp%2FB08X4R65V4%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dmakeup%2Bremovers%26qid%3D1625893936%26sr%3D8-24-spons%26psc%3D1&qualifier=1625893936&id=5132622077609424&widgetName=sp_mtf
Soapworks Reusable Multi-functional Makeup Removal Facial Cleansing Pads (Pack of 2)  ,Deal of the Day ,,,₹350,₹292.95,Save ₹57.05 (16%),4.3 out of 5 stars,272,https://www.amazon.in/Soapworks-Reusable-Multi-functional-Removal-Cleansing/dp/B08941LC7K/ref=sr_1_25?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-25
"Colorbar Nail Polish Remover, 110ml  ",Best seller,,,₹125,₹100,Save ₹25 (20%),4.5 out of 5 stars,"11,686",https://www.amazon.in/gp/bestsellers/beauty/1374401031/ref=sr_bs_25_1374401031_1
"Lakmé Nail Color Remover, 27ml  ",,,,₹90,₹80.75,Save ₹9.25 (10%),4.4 out of 5 stars,"5,943",https://www.amazon.in/Lakme-Nail-Color-Remover-27ml/dp/B006LXBF0E/ref=sr_1_27?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-27
ETSAP Facial Wash Pad Makeup Remover Cleaning Sponge Puff Exfoliator Scrub: 4 Pieces  ,,,,₹499,₹188,Save ₹311 (62%),,,https://www.amazon.in/ETSAP-Facial-Remover-Cleaning-Exfoliator/dp/B08YFPFKMX/ref=sr_1_28?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-28
MINISO Thick & Normal Combo Cotton Pads 75PCS+400PCS Makeup Remover Cosmetic  ,,,,₹150,₹120,Save ₹30 (20%),4.3 out of 5 stars,212,https://www.amazon.in/MINISO-Normal-Cotton-Remover-Cosmetic/dp/B07C7RCT8L/ref=sr_1_29?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-29
Earth Rhythm Reusable Multi-functional Makeup Removal Facial Cleansing Pads (Pack of 2)  ,Deal of the Day ,,,₹350,₹286.65,Save ₹63.35 (18%),4.1 out of 5 stars,85,https://www.amazon.in/Earth-Rhythm-Reusable-Multi-functional-Cleansing/dp/B08W1ZZX83/ref=sr_1_30?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-30
Microfiber Facial Cleansing Makeup Remover Wash Cloth Towels(Color May Vary)  ,,,,₹599,₹277,Save ₹322 (54%),3.4 out of 5 stars,38,https://www.amazon.in/Ear-Lobe-Accessories-Cleansing-Remover/dp/B07MGBTPYB/ref=sr_1_31?dchild=1&keywords=makeup+removers&qid=1625893936&sr=8-31
