name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
GLAM VISTA CURLING LASH WATERPROOF LONG-LASTING LENGTH & STRENGTH MINERAL MASCARA  ,,Sponsored,,₹399,₹199,Save ₹200 (50%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07465341SNUKNMDQTN8N&url=%2FGLAM-VISTA-WATERPROOF-LONG-LASTING-STRENGTH%2Fdp%2FB097LHQXZQ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmascara%26qid%3D1627750639%26sr%3D8-1-spons%26psc%3D1&qualifier=1627750639&id=6153721286367886&widgetName=sp_atf
GLAM VISTA CURLING LASH WATERPROOF LONG-LASTING LENGTH & STRENGTH MINERAL MASCARA (MASCARA)  ,,Sponsored,,₹399,₹199,Save ₹200 (50%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07485063OX3S1M515VFH&url=%2FGLAM-VISTA-WATERPROOF-LONG-LASTING-STRENGTH%2Fdp%2FB098MRRLN8%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmascara%26qid%3D1627750639%26sr%3D8-2-spons%26psc%3D1&qualifier=1627750639&id=6153721286367886&widgetName=sp_atf
"Colorbar Duo Mascara, Carbon Black, 4ml  ",,Sponsored,,₹495,₹396,Save ₹99 (20%),3.8 out of 5 stars,300,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05624023V6DZ5YG3WUX6&url=%2FColorbar-Duo-Mascara-Carbon-Black%2Fdp%2FB00932C9BY%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmascara%26qid%3D1627750639%26sr%3D8-3-spons%26psc%3D1&qualifier=1627750639&id=6153721286367886&widgetName=sp_atf
GLAM VISTA CHARM MAGIC MASCARA VOLUME & WATERPROOF MASCARA  ,,Sponsored,,₹299,₹180,Save ₹119 (40%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07481621D9KLEWXOZEVZ&url=%2FGLAM-VISTA-CHARM-MASCARA-WATERPROOF%2Fdp%2FB098MRFJBQ%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmascara%26qid%3D1627750639%26sr%3D8-4-spons%26psc%3D1&qualifier=1627750639&id=6153721286367886&widgetName=sp_atf
"Maybelline New York Hypercurl Mascara Waterproof, Black, 9.2ml  ",Best seller,,,₹399,₹258,Save ₹141 (35%),4.2 out of 5 stars,"25,391",https://www.amazon.in/gp/bestsellers/beauty/1374370031/ref=sr_bs_4_1374370031_1
"Maybelline New York Volume Express Colossal Masacara, Waterproof, Black, 10ml  ",,,,₹399,₹279,Save ₹120 (30%),4.2 out of 5 stars,"9,875",https://www.amazon.in/Maybelline-Express-Colossal-Waterproof-Mascara/dp/B00D2XGT8Y/ref=sr_1_6?dchild=1&keywords=mascara&qid=1627750639&sr=8-6
Mars Ultra Curl Long lasting Mascara For Women 12 ml (Jet black)  ,Amazon's Choice,,,,₹179,,4.3 out of 5 stars,296,https://www.amazon.in/Ultra-lasting-Mascara-Women-black/dp/B08M3BKWPB/ref=ice_ac_b_dpb?dchild=1&keywords=mascara&qid=1627750639&sr=8-7
"L'Oreal Paris Lash Paradise Mascara, Waterproof, 7.6ml  ",,,,₹799,₹599,Save ₹200 (25%),4.1 out of 5 stars,910,https://www.amazon.in/LOreal-Paris-Paradise-Mascara-Black/dp/B06XDQ84NF/ref=sr_1_8?dchild=1&keywords=mascara&qid=1627750639&sr=8-8
"Maybelline New York Lash Sensational Waterproof Mascara, Black, 10 ml  ",,,,₹510,₹383,Save ₹127 (25%),4.1 out of 5 stars,907,https://www.amazon.in/Maybelline-Sensational-Waterproof-Mascara-Black/dp/B071KWYKR4/ref=sr_1_9?dchild=1&keywords=mascara&qid=1627750639&sr=8-9
"Blue Heaven Walk Free Green Pack Mascara, Black, 12ml  ",,,,₹125,₹124,Save ₹1 (1%),3.9 out of 5 stars,"3,323",https://www.amazon.in/Blue-Heaven-Green-Mascara-Black/dp/B0757FL4MD/ref=sr_1_10?dchild=1&keywords=mascara&qid=1627750639&sr=8-10
