name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Van Heusen Sport Men's Slim fit Casual Shirt  ,,Sponsored,,"₹1,499",₹809,Save ₹690 (46%),3.7 out of 5 stars,52,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07138421O97MBJAECQKC&url=%2FVan-Heusen-Sport-Casual-VSSFLSLBF85913_Black%2Fdp%2FB08FS58JRD%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bcasual%2Bshirt%26qid%3D1627973005%26sr%3D8-1-spons%26psc%3D1&qualifier=1627973005&id=8075652070007627&widgetName=sp_atf
YHA Men's Regular Fit Casual Solid Shirts  ,,Sponsored,,"₹1,450",₹649,Save ₹801 (55%),3.6 out of 5 stars,"1,923",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09958153K7DDPKP16A2R&url=%2FLEVIZO-Cotton-Collar-Casual-Sleeves%2Fdp%2FB07V3M9Z3N%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bcasual%2Bshirt%26qid%3D1627973005%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2TJVAX0K0USRZ&qualifier=1627973005&id=8075652070007627&widgetName=sp_atf
Van Heusen Sport Men's Slim fit Casual Shirt  ,,Sponsored,,"₹1,599",₹859,Save ₹740 (46%),4.2 out of 5 stars,40,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07207423C0S52FYC665V&url=%2FVan-Heusen-Sport-Casual-VSSFLSLBR76809_Blue%2Fdp%2FB08FS1FC1W%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bcasual%2Bshirt%26qid%3D1627973005%26sr%3D8-3-spons%26psc%3D1&qualifier=1627973005&id=8075652070007627&widgetName=sp_atf
Van Heusen Sport Men's Slim fit Casual Shirt  ,,Sponsored,,"₹1,499",₹809,Save ₹690 (46%),3.5 out of 5 stars,30,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07138663A6USAMDCOA40&url=%2FVan-Heusen-Sport-Casual-VSSFLSLB674921_White%2Fdp%2FB08FS3PV7T%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bcasual%2Bshirt%26qid%3D1627973005%26sr%3D8-4-spons%26psc%3D1&qualifier=1627973005&id=8075652070007627&widgetName=sp_atf
Dennis Lingo Men's Shirt  ,Best seller,,,"₹1,849",₹549,"Save ₹1,300 (70%)",3.8 out of 5 stars,"5,916",https://www.amazon.in/gp/bestsellers/apparel/1968094031/ref=sr_bs_4_1968094031_1
Dennis Lingo Men's Solid Slim Fit Casual Shirt  ,,,,"₹1,849",₹559,"Save ₹1,290 (70%)",4.0 out of 5 stars,"7,911",https://www.amazon.in/Dennis-Lingo-Solid-Casual-CC201_Dustypink_M_Dustypink_M/dp/B07HK6NT81/ref=sr_1_6?dchild=1&keywords=men+casual+shirt&qid=1627973005&sr=8-6
IndoPrimo Men's Classic Fit Casual Shirt  ,,,,"₹1,999",₹699,"Save ₹1,300 (65%)",4.0 out of 5 stars,826,https://www.amazon.in/IndoPrimo-Regular-Cotton-Casual-Medium/dp/B08R2G3JWG/ref=sr_1_7?dchild=1&keywords=men+casual+shirt&qid=1627973005&sr=8-7
"Generic SANGAM Men Casual Shirt | Full Sleeves Formal Slim Fit Plain Office Shirts for Men | Cotton, (Pack of 1)  ",,,,,₹350,,3.3 out of 5 stars,475,https://www.amazon.in/SANGAM-Casual-Sleeves-Formal-Office/dp/B08MD5SZGY/ref=sr_1_8?dchild=1&keywords=men+casual+shirt&qid=1627973005&sr=8-8
CARBONN CLOTH Men Full Sleeve Casual Cotton Shirt  ,,,,"₹1,387",₹469,Save ₹918 (66%),,,https://www.amazon.in/CARBONN-CLOTH-Sleeve-Casual-Cotton/dp/B09B3533R7/ref=sr_1_9?dchild=1&keywords=men+casual+shirt&qid=1627973005&sr=8-9
HammerSmith Men's Regular fit Casual Shirt  ,,,,"₹1,499",₹519,Save ₹980 (65%),3.9 out of 5 stars,207,https://www.amazon.in/HammerSmith-Printed-Regular-Casual-1102-a_Blue/dp/B08DYX57KZ/ref=sr_1_10?dchild=1&keywords=men+casual+shirt&qid=1627973005&sr=8-10
