name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,Sponsored,,₹999,₹399,Save ₹600 (60%),4.0 out of 5 stars,"3,430",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05327622JTVCAUKUU70L&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP3_M_Sky%2Fdp%2FB073X4KMYR%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626321827%26sr%3D8-1-spons%26psc%3D1&qualifier=1626321827&id=5639360978173180&widgetName=sp_atf
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,Sponsored,,₹499,₹379,Save ₹120 (24%),3.9 out of 5 stars,"7,609",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A042005611R007XRF8S1O&url=%2FSymbol-Solid-Regular-AW19MCPO_Dresden-Blue_L%2Fdp%2FB07SJ52528%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626321827%26sr%3D8-2-spons%26psc%3D1&qualifier=1626321827&id=5639360978173180&widgetName=sp_atf
Classic Polo Men's Regular Fit Polos (C-4SEASON-201AFP)  ,,Sponsored,Only 1 left in stock.,₹599,₹479,Save ₹120 (20%),3.8 out of 5 stars,990,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03333723TN6YKU0W1J4J&url=%2FClassic-Polo-Authentic-Cotton-T-Shirt%2Fdp%2FB07XY8V7CF%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626321827%26sr%3D8-3-spons%26psc%3D1&qualifier=1626321827&id=5639360978173180&widgetName=sp_atf
Amazon Brand - Inkast Denim Co. Men's Regular fit Polo  ,,Sponsored,,₹999,₹349,Save ₹650 (65%),3.9 out of 5 stars,44,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0746050XGBAN4I30ZW8&url=%2FAmazon-Brand-Inkast-Regular-INPK-20_Digitial%2Fdp%2FB08H968MGK%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626321827%26sr%3D8-4-spons%26psc%3D1&qualifier=1626321827&id=5639360978173180&widgetName=sp_atf
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,,,₹998,₹629,Save ₹369 (37%),3.9 out of 5 stars,"3,527",https://www.amazon.in/Amazon-Brand-Symbol-Regular-ESSPPO2D_Pink/dp/B07BDZ75YG/ref=sr_1_5?dchild=1&keywords=men+polo+t-shirt&qid=1626321827&sr=8-5
Allen Solly Men's Polo  ,Best seller,,,₹899,₹539,Save ₹360 (40%),4.1 out of 5 stars,"28,066",https://www.amazon.in/gp/bestsellers/apparel/ref=sr_bs_5_apparel_1
Van Heusen Men's Solid Regular Fit Polo  ,,,,₹899,₹539,Save ₹360 (40%),4.1 out of 5 stars,"11,521",https://www.amazon.in/Van-Heusen-Sport-Regular-VSKPWRGFR16516_Teal_M/dp/B07HJGH633/ref=sr_1_7?dchild=1&keywords=men+polo+t-shirt&qid=1626321827&sr=8-7
US Polo Association Men's Slim T-Shirt  ,,,,"₹1,799",₹891,Save ₹908 (50%),,,https://www.amazon.in/US-Polo-Association-T-Shirt-USTSH0272_Red/dp/B08TC4C4LB/ref=sr_1_8?dchild=1&keywords=men+polo+t-shirt&qid=1626321827&sr=8-8
Max Men's Solid Slim Fit Polo  ,,,,₹449,₹404,Save ₹45 (10%),4.1 out of 5 stars,"3,870",https://www.amazon.in/Max-Mens-Solid-Slim-AMPSP2001HSCNAVY_Navy/dp/B08353M893/ref=sr_1_9?dchild=1&keywords=men+polo+t-shirt&qid=1626321827&sr=8-9
Polo Plus Men Multicolor Text Printed Half Sleeve Cotton T-Shirt  ,,,,₹999,₹379,Save ₹620 (62%),3.1 out of 5 stars,7,https://www.amazon.in/Polo-Plus-Printed-Sleeve-T-Shirt/dp/B08H5VN4HW/ref=sr_1_10?dchild=1&keywords=men+polo+t-shirt&qid=1626321827&sr=8-10
