name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,Sponsored,,₹999,₹429,Save ₹570 (57%),4.0 out of 5 stars,"3,562",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A097283132BFTH3M8NMM6&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP3_M_Sky%2Fdp%2FB073X4KMYR%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-1-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_atf
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,Sponsored,,₹999,₹429,Save ₹570 (57%),3.7 out of 5 stars,872,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0610521LHALRRULFRS0&url=%2FSymbol-Mens-Regular-Tshirt-SS19MNTAG06E_Navy_Large%2Fdp%2FB07LC5ZZZM%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-2-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_atf
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,Sponsored,,₹998,₹629,Save ₹369 (37%),3.9 out of 5 stars,"3,644",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05338101S10AEOX2561N&url=%2FAmazon-Brand-Symbol-Regular-ESSPPO2D_Pink%2Fdp%2FB07BDZ5H4Q%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-3-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_atf
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,Sponsored,,₹499,₹339,Save ₹160 (32%),3.9 out of 5 stars,"7,723",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A042005611R007XRF8S1O&url=%2FSymbol-Solid-Regular-AW19MCPO_Dresden-Blue_L%2Fdp%2FB07SJ52528%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-4-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_atf
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,,,₹998,₹629,Save ₹369 (37%),3.9 out of 5 stars,"3,644",https://www.amazon.in/Amazon-Brand-Symbol-Regular-ESSPPO2D_Pink/dp/B07BDZ75YG/ref=sr_1_5?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-5
Van Heusen Men's Solid Regular Fit Polo  ,,,,₹899,₹539,Save ₹360 (40%),4.1 out of 5 stars,"11,814",https://www.amazon.in/Van-Heusen-Sport-Regular-VSKPWRGFR16516_Teal_M/dp/B07HJGH633/ref=sr_1_6?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-6
Allen Solly Men's Polo  ,Best seller,,,₹899,₹579,Save ₹320 (36%),4.1 out of 5 stars,"28,615",https://www.amazon.in/gp/bestsellers/apparel/1968122031/ref=sr_bs_6_1968122031_1
Scott International Men's Regular Fit Polo T-Shirt  ,,,,"₹1,499",₹347,"Save ₹1,152 (77%)",3.5 out of 5 stars,"3,045",https://www.amazon.in/Scott-International-Regular-T-Shirt-SS20_New_GPAWG-Mel-BU-XL/dp/B08LH3JV2R/ref=sr_1_8?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-8
Max Men's Solid Slim Fit Polo  ,,,,₹449,₹404,Save ₹45 (10%),4.1 out of 5 stars,"4,009",https://www.amazon.in/Max-Mens-Solid-Slim-AMPSP2001HSCNAVY_Navy/dp/B08353M893/ref=sr_1_9?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-9
Amazon Brand - Inkast Denim Co. Men's Regular Polo Shirt  ,,,,"₹1,299",₹459,Save ₹840 (65%),3.7 out of 5 stars,617,https://www.amazon.in/Amazon-Brand-Inkast-Striped-AZ-PO-09B_White_Medium/dp/B07LBQ5V65/ref=sr_1_10?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-10
Polo Plus Men Multicolor Text Printed Half Sleeve Cotton T-Shirt  ,,,,₹999,₹379,Save ₹620 (62%),3.1 out of 5 stars,7,https://www.amazon.in/Polo-Plus-Printed-Sleeve-T-Shirt/dp/B08H5VN4HW/ref=sr_1_11?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-11
US Polo Association US Polo Men's Solid Regular Fit T-Shirt  ,,,,"₹1,199",₹689,Save ₹510 (43%),4.1 out of 5 stars,51,https://www.amazon.in/US-Polo-Regular-T-Shirt-USTS5875_White_L/dp/B07DWKLCMK/ref=sr_1_12?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-12
Leotude Regular Fit Half Sleeve Polo T Shirt for Men  ,,,,"₹1,099",₹379,Save ₹720 (66%),3.4 out of 5 stars,7,https://www.amazon.in/Leotude-Regular-Sleeve-T-Shirt-Color/dp/B08TH6NYY9/ref=sr_1_13?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-13
Amazon Brand - Symbol Men's Solid Regular Polo Shirt  ,,,,₹998,₹658,Save ₹340 (34%),,,https://www.amazon.in/Amazon-Brand-Symbol-Solid-Regular/dp/B092BTLJ85/ref=sr_1_14?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-14
Amazon Brand - Symbol Men's Solid Regular Polo Shirt  ,,,,"₹1,998",₹698,"Save ₹1,300 (65%)",,,https://www.amazon.in/Amazon-Brand-Symbol-Solid-Regular/dp/B092C6SWHN/ref=sr_1_15?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-15
Amazon Brand - Symbol Men's Solid Regular Polo Shirt  ,,,,"₹1,998",₹698,"Save ₹1,300 (65%)",,,https://www.amazon.in/Amazon-Brand-Symbol-Solid-Regular/dp/B092C5BFJY/ref=sr_1_16?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-16
Amazon Brand - Symbol Men's Solid Regular Polo Shirt  ,,,,"₹1,998",₹698,"Save ₹1,300 (65%)",,,https://www.amazon.in/Amazon-Brand-Symbol-Solid-Regular/dp/B092C95V5K/ref=sr_1_17?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-17
Austin Wood Men's Regular Fit T-Shirt  ,,,,"₹1,499",₹399,"Save ₹1,100 (73%)",3.5 out of 5 stars,97,https://www.amazon.in/Austin-Wood-Mens-Striped-T-Shirt/dp/B084GBMGCH/ref=sr_1_18?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-18
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,,,₹999,₹429,Save ₹570 (57%),3.7 out of 5 stars,872,https://www.amazon.in/Symbol-Regular-Tshirt-SS19MNTAG06B_Red-Dark_Large/dp/B07LC6FS9R/ref=sr_1_19?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-19
Amazon Brand - Symbol Men's Solid Regular Polo Shirt  ,,,,"₹1,998",₹698,"Save ₹1,300 (65%)",,,https://www.amazon.in/Amazon-Brand-Symbol-Solid-Regular/dp/B092BPSJ99/ref=sr_1_20?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-20
AMERICAN CREW Men's Regular Fit T-Shirt  ,,Sponsored,Only 3 left in stock.,"₹1,999",₹599,"Save ₹1,400 (70%)",3.9 out of 5 stars,"8,864",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04948452X3FPG4L7SN66&url=%2FAMERICAN-CREW-Melange-T-Shirt-Applique%2Fdp%2FB01N9EICQ7%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-21-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_mtf
FUEL Men's Cotton Solid Polo T Shirt  ,,Sponsored,Only 5 left in stock.,"₹1,399",₹640,Save ₹759 (54%),4.0 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01801832N71XQWL1XAC6&url=%2FFUEL-Cotton-Green-Solid-Shirt%2Fdp%2FB08X1B4THM%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-22-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_mtf
Amazon Brand - Symbol Men's Regular Polo Shirt  ,,Sponsored,,"₹1,499",₹549,Save ₹950 (63%),3.7 out of 5 stars,163,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02348501S7DRQS380UMP&url=%2FAmazon-Brand-Symbol-Regular-AW18PLK139A_White%2Fdp%2FB07F7YX23J%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-23-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_mtf
Amazon Brand - House & Shields Men's Regular fit Polo  ,,Sponsored,,"₹1,499",₹521,Save ₹978 (65%),4.1 out of 5 stars,34,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02605574YD68OKG7UDX&url=%2FAmazon-Brand-Shields-Striped-76_Maroon%2Fdp%2FB08FBWNVD8%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bpolo%2Bt-shirt%26qid%3D1626704758%26sr%3D8-24-spons%26psc%3D1&qualifier=1626704758&id=2315524871529008&widgetName=sp_mtf
Amazon Brand - Symbol Men's Solid Regular Polo Shirt  ,,,,"₹1,998",₹698,"Save ₹1,300 (65%)",,,https://www.amazon.in/Amazon-Brand-Symbol-Solid-Regular/dp/B092C3QLVJ/ref=sr_1_25?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-25
uspolo US Polo Association Men's Solid Regular Fit Polo  ,,,,"₹2,199",₹799,"Save ₹1,400 (64%)",5.0 out of 5 stars,1,https://www.amazon.in/Association-Solid-Regular-White-Large/dp/B091PBHP9H/ref=sr_1_26?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-26
Arrow Men's Regular Fit Polo Shirt  ,,,,₹999,₹619,Save ₹380 (38%),4.2 out of 5 stars,165,https://www.amazon.in/Arrow-Sports-Solid-Regular-ASAATS3568CT_Black/dp/B08RZ47DRW/ref=sr_1_27?dchild=1&keywords=men+polo+t-shirt&qid=1626704758&sr=8-27
