name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"NAVYSPORT Men's Cotton Solid Ankle Socks, Free Size, Pack of 3 (Multicoloured)  ",Best seller,Sponsored,,₹499,₹265,Save ₹234 (47%),4.1 out of 5 stars,"13,810",https://www.amazon.in/gp/bestsellers/apparel/1968105031/ref=sr_bs_0_1968105031_1
"NAVYSPORT Advance Men's Active Cushion High Ankle Extra Durable Multi-Purpose Sports Socks, Assorted Combo, Pack of 3, Free Size  ",,Sponsored,,₹999,₹455,Save ₹544 (54%),5.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00807588JL3MMQ1EX43&url=%2FNAVYSPORT-Advance-Cushion-Durable-Multi-Purpose%2Fdp%2FB099KK7Q4J%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bsocks%26qid%3D1628834833%26sr%3D8-2-spons%26psc%3D1&qualifier=1628834833&id=944701892612979&widgetName=sp_atf
"BAMBOS Eco Touch Men's Athletic Ankle Socks for Running & Gym, Pack of 3 (Size UK 7-11)  ",,Sponsored,,₹999,₹664,Save ₹335 (34%),4.3 out of 5 stars,135,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0700784F3FQ6EG9U8T7&url=%2FBAMBOS-Touch-Athletic-Running-Multicoloured%2Fdp%2FB08YZ19LH9%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bsocks%26qid%3D1628834833%26sr%3D8-3-spons%26psc%3D1&qualifier=1628834833&id=944701892612979&widgetName=sp_atf
"BLITZSOX Hi-Tech Performance Athletic Socks (Badminton, Running, Gym & Indoor Training), Pack of 3  ",,Sponsored,,₹999,₹499,Save ₹500 (50%),4.3 out of 5 stars,536,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A083968224DLJU49R5ZO7&url=%2FBLITZSOX-Performance-Athletic-Badminton-Multi-coloured%2Fdp%2FB08NT6M2Z5%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmen%2Bsocks%26qid%3D1628834833%26sr%3D8-4-spons%26psc%3D1&qualifier=1628834833&id=944701892612979&widgetName=sp_atf
"KOPNHAGN Men's Premium Cotton Cushion Sports Ankle Socks, Pack of 5 Assorted Colours  ",Amazon's Choice,,,₹799,₹312,Save ₹487 (61%),4.0 out of 5 stars,419,https://www.amazon.in/KOPNHAGN-Premium-Cushion-Assorted-Colours/dp/B092269QR8/ref=ice_ac_b_dpb?dchild=1&keywords=men+socks&qid=1628834833&sr=8-5
"CREATURE Men's Ankle Length Formal/Casual Socks (Multicolour; Free Size, SCS-2701) -6 Pairs  ",,,,₹899,₹286,Save ₹613 (68%),4.0 out of 5 stars,"4,216",https://www.amazon.in/CREATURE-Cotton-Length-Formal-Casual/dp/B07PWPR88H/ref=sr_1_6?dchild=1&keywords=men+socks&qid=1628834833&sr=8-6
"NAVYSPORT Men's Cotton Solid Ankle Socks, Free Size, Pack of 3 (Multicoloured)  ",Best seller,,,₹499,₹265,Save ₹234 (47%),4.1 out of 5 stars,"13,810",https://www.amazon.in/gp/bestsellers/apparel/1968105031/ref=sr_bs_6_1968105031_1
CREATURE Men's Cotton Calf Length Formal Socks Combo of 3(SCS-901)  ,Limited time deal,,,₹899,₹249,Save ₹650 (72%),4.2 out of 5 stars,"1,875",https://www.amazon.in/CREATURE-Cotton-Length-Formal-Socks/dp/B07H8NPG15/ref=sr_1_8?dchild=1&keywords=men+socks&qid=1628834833&sr=8-8
Adidas Men's Cotton Polyster Nylon Elastane Combo Of 3 Ankle Socks Pair (Black/White/Grey_Medium)  ,Best seller,,,₹499,₹335,Save ₹164 (33%),3.4 out of 5 stars,830,https://www.amazon.in/gp/bestsellers/apparel/1968073031/ref=sr_bs_8_1968073031_1
Jockey Men's Socks (Pack of 3) (Colors May Vary) (8901326039151_7036-0310- Assorted FREE SIZE)  ,,,,₹499,₹370,Save ₹129 (26%),4.1 out of 5 stars,"1,834",https://www.amazon.in/Jockey-8901326039151_7036-0310-Multi-Colour-FREE/dp/B00W06IL58/ref=sr_1_10?dchild=1&keywords=men+socks&qid=1628834833&sr=8-10
