name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Van Heusen Athleisure Men's Track Pants  ,,Sponsored,,"₹1,229","₹1,086",Save ₹143 (12%),4.1 out of 5 stars,797,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05816222CZCQMRV2T7U4&url=%2FVan-Heusen-Athleisure-50052_Blue-Melange_X-Large%2Fdp%2FB07R8VBJXF%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1626150059%26sr%3D8-1-spons%26psc%3D1&qualifier=1626150059&id=835183526515819&widgetName=sp_atf
Van Heusen Men's Track Pants  ,,Sponsored,,₹999,₹885,Save ₹114 (11%),3.7 out of 5 stars,229,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0590377O07UKOX2DOUM&url=%2FVan-Heusen-Track-Pants-70020_%2Fdp%2FB083C2Z964%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1626150059%26sr%3D8-2-spons%26psc%3D1&qualifier=1626150059&id=835183526515819&widgetName=sp_atf
Van Heusen Men Track Pants  ,,Sponsored,,,"₹1,599",,4.1 out of 5 stars,45,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05925611FBNZZWPL5071&url=%2FVan-Heusen-Track-70016_Black-Jaspee_S%2Fdp%2FB083C2D3LZ%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1626150059%26sr%3D8-3-spons%26psc%3D1&qualifier=1626150059&id=835183526515819&widgetName=sp_atf
Van Heusen Athleisure Men's Track Pants  ,,Sponsored,Only 2 left in stock.,"₹1,349","₹1,322",Save ₹27 (2%),4.0 out of 5 stars,222,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05794383QGCS5HH282QL&url=%2FVan-Heusen-Athleisure-50054_Blue-Melange_Large%2Fdp%2FB07RC1FF15%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1626150059%26sr%3D8-4-spons%26psc%3D1&qualifier=1626150059&id=835183526515819&widgetName=sp_atf
ENDEAVOUR WEAR Men's Lycra Stretchable Regular Fit Joggers Track Pant Lower Payjama …  ,Best seller,,,₹999,₹499,Save ₹500 (50%),4.2 out of 5 stars,790,https://www.amazon.in/gp/bestsellers/apparel/1968071031/ref=sr_bs_4_1968071031_1
MARK LOUIIS Men's Regular Fit Track pants  ,Deal of the Day ,,,"₹1,180",₹616,Save ₹564 (48%),4.0 out of 5 stars,"5,641",https://www.amazon.in/MARK-LOUIIS-Regular-Running-XXX-Large/dp/B07HL63D1Z/ref=sr_1_6?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-6
Alan Jones Clothing Men's Slim Fit Track pants  ,,,,"₹1,299",₹649,Save ₹650 (50%),4.0 out of 5 stars,"7,993",https://www.amazon.in/Alan-Jones-Solid-Joggers-JOG18-D95-MIL-M_Medium_Melange/dp/B07BTWZQFT/ref=sr_1_7?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-7
Fitinc Men's Slim Fit Track pants  ,,,,"₹1,299",₹711,Save ₹588 (45%),4.2 out of 5 stars,"2,418",https://www.amazon.in/Fitinc-Stylish-Trackpant-Zipper-Pockets/dp/B07K1K7JQ4/ref=sr_1_8?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-8
"ADILEE Men's Lightweight Gym Jogger Pants,Men's Workout Sweatpants with Zip Pocket  ",Best seller,,,₹999,₹599,Save ₹400 (40%),3.8 out of 5 stars,144,https://www.amazon.in/gp/bestsellers/apparel/25965171031/ref=sr_bs_8_25965171031_1
Generic Jiffy Track Pant for Men with Side Pockets  ,,,,₹499,₹299,Save ₹200 (40%),3.3 out of 5 stars,24,https://www.amazon.in/Jiffy-Track-Pant-Pockets-Black/dp/B092S3CHLQ/ref=sr_1_10?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-10
Jockey Track pants  ,,,,"₹1,199",₹999,Save ₹200 (17%),4.0 out of 5 stars,427,https://www.amazon.in/Jockey-Mens-Relaxed-Joggers-SP31-103_Navy_Large/dp/B07MFLCDPJ/ref=sr_1_1?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-1
Chromozome Men's Regular Fit Track Pants  ,,,,₹799,₹649,Save ₹150 (19%),4.0 out of 5 stars,555,https://www.amazon.in/Chromozome-Mens-Track-Hive-Tracks_Navy_L/dp/B07JFK96TS/ref=sr_1_2?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-2
BEEVEE Mens Striped Black Elasticated Track Pant with Drawstring.  ,,,,"₹1,199",₹768,Save ₹431 (36%),5.0 out of 5 stars,3,https://www.amazon.in/BEEVEE-Striped-Elasticated-Drawstring-Black_Medium/dp/B08JG3QZWD/ref=sr_1_3?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-3
Solefit Men's Track Pants  ,,,,"₹1,599",₹254,"Save ₹1,345 (84%)",4.5 out of 5 stars,7,https://www.amazon.in/Solefit-Mens-Track-Pants-SOTP-5123_Charcoal_L/dp/B08CTS64KN/ref=sr_1_4?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-4
Reebok Casual Regular Men's Pants  ,,,,"₹1,599",₹997,Save ₹602 (38%),3.9 out of 5 stars,4,https://www.amazon.in/Reebok-Casual-Mens-Pants-GQ8694_Vecnav_2XL/dp/B08X5SK2M6/ref=sr_1_5?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-5
ASICS Real White Cricket Trouser/Pants  ,,,,"₹1,399",₹699,Save ₹700 (50%),3.7 out of 5 stars,8,https://www.amazon.in/ASICS-White-Cricket-Trouser-Medium/dp/B07PJKBRW2/ref=sr_1_6?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-6
JERKYN Men's Slim Fit Track Pants Jogger  ,,,,"₹1,299",₹499,Save ₹800 (62%),4.7 out of 5 stars,5,https://www.amazon.in/JERKYN-Track-Pants-Jogger-Light/dp/B097Q8Q2MY/ref=sr_1_7?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-7
Solefit Men's Track Pants  ,,,,"₹1,599",₹578,"Save ₹1,021 (64%)",2.4 out of 5 stars,14,https://www.amazon.in/Solefit-Mens-Track-Pants-SOTP-5118_Grey_L/dp/B08CTW2HTW/ref=sr_1_8?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-8
Cazibe Men's Sweatpants Regular Track Pants  ,,,,"₹1,499",₹449,"Save ₹1,050 (70%)",5.0 out of 5 stars,1,https://www.amazon.in/Cazibe-Sweatpants-Regular-Track-CZ11138_Olive_M/dp/B08W3G8FD6/ref=sr_1_9?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-9
Solefit Men's Track Pants  ,,,,"₹1,899",₹256,"Save ₹1,643 (87%)",,,https://www.amazon.in/Solefit-Mens-Track-Pants-SOTP-5122_Grey_Medium/dp/B08CTV3898/ref=sr_1_10?dchild=1&keywords=men+track+pant&qid=1626150059&sr=8-10
eKools Plain Trackpants for Men | Plain Trackpants | Basic Trackpants | Two Side Pockets with One Zip Pocket for Phone | 100% Cotton | Men's Trackpants (Pack of 2)  ,,Sponsored,,"₹1,998",₹649,"Save ₹1,349 (68%)",3.7 out of 5 stars,100,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08793072X33M334SSDVZ&url=%2FeKools%25C2%25AE-Trackpants-Regular-Navy_Mix-Biscuit%2Fdp%2FB094DQTT46%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1626150059%26sr%3D8-11-spons%26psc%3D1%26smid%3DA14OT3JMIRML7S&qualifier=1626150059&id=835183526515819&widgetName=sp_mtf
ESMONT Men's Regular Fit Track pants  ,,Sponsored,Only 2 left in stock.,"₹1,499",₹689,Save ₹810 (54%),4.0 out of 5 stars,192,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0367805J0YDOHL7P7FA&url=%2FESMONT-Cotton-Regular-Melange_4XL-TRK_4XL_NM%2Fdp%2FB08Q4CSLH5%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1626150059%26sr%3D8-12-spons%26psc%3D1&qualifier=1626150059&id=835183526515819&widgetName=sp_mtf
