name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
ENDEAVOUR WEAR Men's Cotton Track Pant  ,,Sponsored,,"₹1,299",₹499,Save ₹800 (62%),5.0 out of 5 stars,3,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A010042429OHLLI9E5X1M&url=%2FENDEAVOUR-WEAR-Mens-Cotton-Track%2Fdp%2FB09B3Z8RRW%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1628012174%26sr%3D8-1-spons%26psc%3D1&qualifier=1628012174&id=3998498997793250&widgetName=sp_atf
BLUE TYGA Men's Regular Fit Track pants  ,,Sponsored,,"₹1,499",₹549,Save ₹950 (63%),3.7 out of 5 stars,"1,193",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0353974L77S941RGMWO&url=%2FBLUE-TYGA-Regular-Track-Melange%2Fdp%2FB0994KSJD3%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1628012174%26sr%3D8-2-spons%26psc%3D1%26smid%3DA170IDAEV41P2M&qualifier=1628012174&id=3998498997793250&widgetName=sp_atf
VIMAL JONNEY Men's Regular Fit Track pants  ,,Sponsored,Only 3 left in stock.,₹899,₹539,Save ₹360 (40%),3.6 out of 5 stars,"7,997",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07052233E3FIBVJZKHHW&url=%2FVIMAL-JONNEY-Dark-Cotton-Trackpant%2Fdp%2FB07CQ17ZD3%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1628012174%26sr%3D8-3-spons%26psc%3D1%26smid%3DA2U9BFQLL94DDT&qualifier=1628012174&id=3998498997793250&widgetName=sp_atf
VIMAL JONNEY Men's Slim Fit Track pants(Pack of 3)  ,,Sponsored,,"₹2,700","₹1,199","Save ₹1,501 (56%)",3.8 out of 5 stars,151,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01957153F93QK2QZONS9&url=%2FVIMAL-Mens-Cotton-Trackpants-Pack%2Fdp%2FB01BJZ372W%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btrack%2Bpant%26qid%3D1628012174%26sr%3D8-4-spons%26psc%3D1%26smid%3DA2U9BFQLL94DDT&qualifier=1628012174&id=3998498997793250&widgetName=sp_atf
ENDEAVOUR WEAR Men's Lycra Stretchable Regular Fit Joggers Track Pant Lower Payjama …  ,Best seller,,,₹999,₹499,Save ₹500 (50%),4.1 out of 5 stars,"1,391",https://www.amazon.in/gp/bestsellers/apparel/1968071031/ref=sr_bs_4_1968071031_1
VIMAL JONNEY Men's Regular Fit Track pants  ,,,,₹899,₹499,Save ₹400 (44%),3.6 out of 5 stars,"7,997",https://www.amazon.in/VIMAL-JONNEY-Navy-Cotton-Trackpant/dp/B07CQ19GRX/ref=sr_1_6?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-6
MARK LOUIIS Men's Regular Fit Track pants  ,,,,"₹1,180",₹649,Save ₹531 (45%),4.0 out of 5 stars,"6,360",https://www.amazon.in/MARK-LOUIIS-Regular-Running-XXX-Large/dp/B07HL63D1Z/ref=sr_1_7?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-7
VIMAL JONNEY Men's Regular Fit Track pants(Pack of 2)  ,,,,₹899,₹799,Save ₹100 (11%),3.8 out of 5 stars,"2,856",https://www.amazon.in/Vimal-Mens-Cotton-Trackpants-Pack/dp/B01BJZ2MH8/ref=sr_1_8?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-8
Peppyzone Men's Camouflage Regular Fit Track Pant  ,,,,"₹1,299",₹699,Save ₹600 (46%),3.7 out of 5 stars,"3,280",https://www.amazon.in/LionRoar-Camouflage-Track-Pants-Large/dp/B079WM2V1H/ref=sr_1_9?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-9
"ADILEE Men's Lightweight Gym Jogger Pants,Men's Workout Sweatpants with Zip Pocket  ",Best seller,,,₹999,₹599,Save ₹400 (40%),3.8 out of 5 stars,297,https://www.amazon.in/gp/bestsellers/apparel/25965171031/ref=sr_bs_9_25965171031_1
Van Heusen Athleisure Men's Track Pants (70020_Charcoal Melange_L)  ,,,,,₹999,,4.2 out of 5 stars,40,https://www.amazon.in/Van-Heusen-Track-70020_Charcoal-Melange_L/dp/B083C2H8WF/ref=sr_1_11?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-11
SPDS Men's Black Cottonr Track Pants/Lowers for gyming and Casual Wearing Size  ,,,,,,,,,https://www.amazon.in/SPDS-Cottonr-Lowers-gyming-Wearing/dp/B09B1TTDF3/ref=sr_1_12?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-12
Generic Jiffy Track Pant for Men with Side Pockets  ,,,,"₹1,499",₹290,"Save ₹1,209 (81%)",3.5 out of 5 stars,71,https://www.amazon.in/Jiffy-Track-Pant-Pockets-Black/dp/B092S3CHLQ/ref=sr_1_13?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-13
Reebok Casual Regular Men's Pants  ,,,,"₹1,599",₹959,Save ₹640 (40%),3.6 out of 5 stars,23,https://www.amazon.in/Reebok-Casual-Mens-Pants-GQ8694_Vecnav_L/dp/B08X5R5R7R/ref=sr_1_14?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-14
JUGULAR Men's Cotton Zip Style Track Pant& Jogger's  ,,,,₹999,₹424,Save ₹575 (58%),3.7 out of 5 stars,39,https://www.amazon.in/JUGULAR-Cotton-Style-Joggers-Medium/dp/B091YJ78JK/ref=sr_1_15?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-15
Generic Men's Slim Fit Track pants  ,,,,₹599,₹389,Save ₹210 (35%),3.0 out of 5 stars,119,https://www.amazon.in/Sports-Track-Zipper_-F_90_T100_-Black/dp/B07RKW8QFC/ref=sr_1_16?dchild=1&keywords=men+track+pant&qid=1628012174&sr=8-16
