name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"The Peppy Tend Cute ""Dada Dadi's Little Rasgulla"" Printed Unisex-Baby Regular Half Sleeves Onesie  ",,Sponsored,,₹799,₹495,Save ₹304 (38%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0161387QB1BZC3A48PP&url=%2FPeppy-Tend-Rasgulla-Printed-Unisex-Baby%2Fdp%2FB0972FCBHT%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Donesie%26qid%3D1625631241%26sr%3D8-1-spons%26psc%3D1&qualifier=1625631241&id=6524768646977360&widgetName=sp_atf
MINITATU Girl's Half Sleeves Unisex Bodysuit/Onesies Pack of 5  ,Best seller,Sponsored,,"₹1,499",₹619,Save ₹880 (59%),3.3 out of 5 stars,17,https://www.amazon.in/gp/bestsellers/apparel/1953217031/ref=sr_bs_1_1953217031_1
"The Peppy Tend Cute ""Pack My Diapers, I'm Going to Nanu Nani's House"" Printed Unisex-Baby Regular Half Sleeves Onesie  ",,Sponsored,,₹799,₹495,Save ₹304 (38%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04839781Q2I0FT7PHACD&url=%2FPeppy-Tend-Diapers-Printed-Unisex-Baby%2Fdp%2FB0972GS8Y6%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Donesie%26qid%3D1625631241%26sr%3D8-3-spons%26psc%3D1&qualifier=1625631241&id=6524768646977360&widgetName=sp_atf
MINITATU Boy's Half Sleeves Unisex Bodysuit/Onesies Pack of 5  ,,Sponsored,,"₹1,499",₹619,Save ₹880 (59%),2.9 out of 5 stars,14,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01312463BDIUIHC5SCYO&url=%2FMINITATU-Sleeves-Bodysuit-Onesies-Peb205864_Multicolor_9-12%2Fdp%2FB0922V14G4%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Donesie%26qid%3D1625631241%26sr%3D8-4-spons%26psc%3D1&qualifier=1625631241&id=6524768646977360&widgetName=sp_atf
EIO New Born Baby Multi-Color Long Sleeve Cotton Sleep Suit Romper for Boys and Girls Set of 3  ,,,,"₹1,200",₹649,Save ₹551 (46%),4.1 out of 5 stars,"4,642",https://www.amazon.in/Multi-Color-Sleeve-Cotton-Romper-Months/dp/B07MHHDZP7/ref=sr_1_5?dchild=1&keywords=onesie&qid=1625631241&sr=8-5
I Bears Baby Boys and Baby Girls Pure Cotton Half Sleeves Romper Set (Onesies/Bodysuit)  ,,,,₹600,₹599,Save ₹1,4.5 out of 5 stars,383,https://www.amazon.in/Bears-Cotton-Sleeves-Onesies-Jumpsuits/dp/B07MB6H98Z/ref=sr_1_6?dchild=1&keywords=onesie&qid=1625631241&sr=8-6
Kiddeo Baby Boys and Baby Girls Bodysuit (03)(Pack of 5)  ,,,,"₹1,299",₹699,Save ₹600 (46%),4.2 out of 5 stars,735,https://www.amazon.in/Kiddeo-Cotton-Bodysuit-Multicolour-Months/dp/B07PPJ3JQN/ref=sr_1_7?dchild=1&keywords=onesie&qid=1625631241&sr=8-7
EIO New Born Baby Multi-Color Long Sleeve Cotton Sleep Suit Romper for Boys and Girls Set of 3  ,,,,"₹1,200",₹649,Save ₹551 (46%),4.1 out of 5 stars,"4,642",https://www.amazon.in/Multi-Color-Sleeve-Cotton-Romper-Months/dp/B07MZ72W4Y/ref=sr_1_8?dchild=1&keywords=onesie&qid=1625631241&sr=8-8
"Picksparrow PICKSPARROW Soft Cotton Baby Rompers/Onesies/Bodysuits/Newborn Essentials (White, Pack of 2, Front-Open, 0-3 Months)  ",,,,₹749,₹599,Save ₹150 (20%),4.3 out of 5 stars,36,https://www.amazon.in/PICKSPARROW-Rompers-Bodysuits-Essentials-Front-Open/dp/B08HXXGTFT/ref=sr_1_9?dchild=1&keywords=onesie&qid=1625631241&sr=8-9
"BABY GO Baby Go 2 Pcs Combo Full Sleeve Onesie for Baby Girls(Extra Comfortable Fabric for Baby Skin, Winter Romper, Sleepsuit, Cotton Sleep Rompers, Jumpsuits, Bodysuits)  ",,,Only 1 left in stock.,₹449,₹359,Save ₹90 (20%),,,https://www.amazon.in/Comfortable-Sleepsuit-Rompers-Jumpsuits-Bodysuits/dp/B08Q3T85QM/ref=sr_1_10?dchild=1&keywords=onesie&qid=1625631241&sr=8-10
GoodBorns Short-Sleeve Bodysuit | Undyed Organic Cotton | Natural White  ,,,,₹495,₹445,Save ₹50 (10%),3.8 out of 5 stars,23,https://www.amazon.in/GoodBorns-Newborns-Certified-Organic-Bodysuit/dp/B07QB3H4C7/ref=sr_1_11?dchild=1&keywords=onesie&qid=1625631241&sr=8-11
