name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Home Centre Emily Fabric 5 Seater Sectional Sofa Set (Beige)  ,Best seller,Sponsored,,"₹73,111","₹32,899","Save ₹40,212 (55%)",4.3 out of 5 stars,289,https://www.amazon.in/gp/bestsellers/kitchen/5689463031/ref=sr_bs_0_5689463031_1
Adorn India Wood Rio Decent L Shape 5 Seater corner Sofa Set Left Side Handle (Grey)  ,,Sponsored,,"₹45,999","₹26,999","Save ₹19,000 (41%)",4.3 out of 5 stars,210,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02832395K9673VK8QQC&url=%2FAdorn-India-Decent-Seater-Handle%2Fdp%2FB084MG17BP%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsofa%2Bset%26qid%3D1627972624%26sr%3D8-2-spons%26psc%3D1&qualifier=1627972624&id=642123728424397&widgetName=sp_atf
Home Centre Helios Clary 3+2 Fabric Sofa Set - Beige  ,,Sponsored,Only 1 left in stock.,"₹62,000","₹25,950","Save ₹36,050 (58%)",3.9 out of 5 stars,73,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01831793P5WDI45A4D2&url=%2FHome-Centre-Clary-Sofa-Set%2Fdp%2FB083ZTHB19%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dsofa%2Bset%26qid%3D1627972624%26sr%3D8-3-spons%26psc%3D1&qualifier=1627972624&id=642123728424397&widgetName=sp_atf
Adorn India Sal Monteno 3-1-1 - 5 Seater Wooden Sofa Set (Beige)  ,,Sponsored,,"₹55,199","₹29,999","Save ₹25,200 (46%)",4.3 out of 5 stars,59,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A028264719AXEB4PCW0ME&url=%2FAdorn-India-Monteno-Seater-3-1-1%2Fdp%2FB083DZFK68%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dsofa%2Bset%26qid%3D1627972624%26sr%3D8-4-spons%26psc%3D1&qualifier=1627972624&id=642123728424397&widgetName=sp_atf
Home Centre Emily Fabric 5 Seater Sectional Sofa Set (Beige)  ,Best seller,,,"₹73,111","₹32,899","Save ₹40,212 (55%)",4.3 out of 5 stars,289,https://www.amazon.in/gp/bestsellers/kitchen/5689463031/ref=sr_bs_4_5689463031_1
Aaryansh buildcon Five Seater Shape Sofa Set (Beige)  ,,,Only 2 left in stock.,"₹8,999","₹6,999","Save ₹2,000 (22%)",,,https://www.amazon.in/Aaryansh-buildcon-Seater-Shape-Beige/dp/B092ML2XLL/ref=sr_1_6?dchild=1&keywords=sofa+set&qid=1627972624&sr=8-6
Amazon Brand - Solimo Alen 6 Seater Fabric RHS L Shape Sofa Set (Blue)  ,Limited time deal,,,"₹42,000","₹37,049","Save ₹4,951 (12%)",4.2 out of 5 stars,170,https://www.amazon.in/Amazon-Brand-Solimo-Seater-Shape/dp/B084XMKTTC/ref=sr_1_7?dchild=1&keywords=sofa+set&qid=1627972624&smid=AT95IG9ONZD7S&sr=8-7
Vinod Furniture Solid Sheesham Wood Sofa Set 3 Seater Home Living Room |Wooden 3 Seater Sofa Set | Office Furniture Sofa Set | Without Pillow | Cream Cushions | Honey Finish  ,,,,"₹49,999","₹15,499","Save ₹34,500 (69%)",4.2 out of 5 stars,46,https://www.amazon.in/Vinod-Furniture-Sheesham-Without-Cushions/dp/B0928L5XMD/ref=sr_1_8?dchild=1&keywords=sofa+set&qid=1627972624&sr=8-8
Quality Assure Furniture Sectional Hardwood 9 Seater Fabric Sofa Set with 4-Puffy (Roland Silver and Brown)  ,,,,,,,2.8 out of 5 stars,3,https://www.amazon.in/Quality-Assure-Furniture-Hardwood-4-Puffy/dp/B07N884FJC/ref=sr_1_9?dchild=1&keywords=sofa+set&qid=1627972624&sr=8-9
Amazon Brand - Solimo Ardea Fabric 6 Seater RHS L Shape Sofa (Blue)  ,,,,"₹50,000","₹31,799","Save ₹18,201 (36%)",3.5 out of 5 stars,10,https://www.amazon.in/Amazon-Brand-Solimo-Fabric-Seater/dp/B08HDRTSXM/ref=sr_1_10?dchild=1&keywords=sofa+set&qid=1627972624&sr=8-10
