name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Urban Basics Morto 4 Seater Fabric RHS L Shape Sofa Set (Light Grey-Dark Grey)  ,,Sponsored,,"₹28,900","₹19,600","Save ₹9,300 (32%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07925581P0OKI3XV4MQG&url=%2FUrban-Basics-Morto-Seater-Grey-Dark%2Fdp%2FB097941NSD%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsofa%2Bset%26qid%3D1628011371%26sr%3D8-1-spons%26psc%3D1&qualifier=1628011371&id=5512669248017270&widgetName=sp_atf
Dews Furniture Sheesham Wood Brown 3 Seater Sofa Set for Living Room  ,,Sponsored,,"₹41,999","₹21,499","Save ₹20,500 (49%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07756173FOQLYWBQFF0K&url=%2FDews-Furniture-Sheesham-Seater-Living%2Fdp%2FB08L1GGR5S%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsofa%2Bset%26qid%3D1628011371%26sr%3D8-2-spons%26psc%3D1&qualifier=1628011371&id=5512669248017270&widgetName=sp_atf
dews furniture sheesham wood standard 5 seater sofa set 3+1+1 for living room (honey finish)  ,,Sponsored,,"₹59,999","₹38,999","Save ₹21,000 (35%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07757056TXUWTTJH7CL&url=%2Ffurniture-sheesham-standard-seater-living%2Fdp%2FB08L1DQN1D%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dsofa%2Bset%26qid%3D1628011371%26sr%3D8-3-spons%26psc%3D1&qualifier=1628011371&id=5512669248017270&widgetName=sp_atf
Dews Furniture Sheesham Wood Brown 3 Seater Sofa Set for Living Room  ,,Sponsored,,"₹35,999","₹15,999","Save ₹20,000 (56%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02737842LOD1FYKLESVL&url=%2FDews-Furniture-Sheesham-Seater-Living%2Fdp%2FB08L1CNS8G%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dsofa%2Bset%26qid%3D1628011371%26sr%3D8-4-spons%26psc%3D1&qualifier=1628011371&id=5512669248017270&widgetName=sp_atf
Home Centre Emily Fabric 5 Seater Sectional Sofa Set (Beige)  ,Best seller,,,"₹73,111","₹32,899","Save ₹40,212 (55%)",4.3 out of 5 stars,289,https://www.amazon.in/gp/bestsellers/kitchen/5689463031/ref=sr_bs_4_5689463031_1
Aaryansh buildcon Five Seater Shape Sofa Set (Beige)  ,,,Only 2 left in stock.,"₹8,999","₹6,999","Save ₹2,000 (22%)",,,https://www.amazon.in/Aaryansh-buildcon-Seater-Shape-Beige/dp/B092ML2XLL/ref=sr_1_6?dchild=1&keywords=sofa+set&qid=1628011371&sr=8-6
Vinod Furniture Solid Sheesham Wood Sofa Set 3 Seater Home Living Room |Wooden 3 Seater Sofa Set | Office Furniture Sofa Set | Without Pillow | Cream Cushions | Honey Finish  ,,,,"₹49,999","₹15,477","Save ₹34,522 (69%)",4.2 out of 5 stars,46,https://www.amazon.in/Vinod-Furniture-Sheesham-Without-Cushions/dp/B0928L5XMD/ref=sr_1_7?dchild=1&keywords=sofa+set&qid=1628011371&sr=8-7
"5 Seater Sofa Set Furniture with 1 Table for Home, Living Room (Color - Black & Blue)  ",,,Only 1 left in stock.,"₹22,000","₹18,000","Save ₹4,000 (18%)",,,https://www.amazon.in/Seater-Furniture-Table-Living-Room/dp/B09B6ZRJJN/ref=sr_1_8?dchild=1&keywords=sofa+set&qid=1628011371&sr=8-8
"Solid Teak Wood 3 Seater Sofa Set Furniture with Cushions for Home, Living Room (Honey Finish)  ",,,Only 2 left in stock.,"₹7,998","₹6,997","Save ₹1,001 (13%)",1.0 out of 5 stars,1,https://www.amazon.in/Seater-Furniture-Cushions-Living-Finish/dp/B091TW6QBR/ref=sr_1_9?dchild=1&keywords=sofa+set&qid=1628011371&sr=8-9
SUBASHINI ENTERPRISES Fabric 5 Seater Sofa Set 3+1+1  ,,,,"₹22,000","₹18,000","Save ₹4,000 (18%)",,,https://www.amazon.in/SUBASHINI-Enterprises-Fabric-Seater-Sofa/dp/B07D7DV93J/ref=sr_1_10?dchild=1&keywords=sofa+set&qid=1628011371&sr=8-10
