name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Sunon Particle Board Black Office Table for Home Office, 47.2"" X 23.6"" X 28.9""  ",,Sponsored,,"₹10,799","₹7,499","Save ₹3,300 (31%)",4.6 out of 5 stars,188,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0533163278SMFJ2R7YSY&url=%2FSunon-Office-Table-Writing-Study%2Fdp%2FB089VXHKMH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dstudy%2Btable%26qid%3D1626760974%26sr%3D8-1-spons%26psc%3D1&qualifier=1626760975&id=4009009348628153&widgetName=sp_atf
"InnoFur Meleti Large Folding Laptop, Computer, Study, Reading, Utility Table for Home Without Shelf (White)  ",,Sponsored,,"₹7,299","₹4,499","Save ₹2,800 (38%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07704631UM7Q3I523J8K&url=%2FInnoFur-Folding-Computer-Reading-Utility%2Fdp%2FB097D5JKDR%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dstudy%2Btable%26qid%3D1626760974%26sr%3D8-2-spons%26psc%3D1&qualifier=1626760975&id=4009009348628153&widgetName=sp_atf
"Pazano Multipurpose Study Table, Office Table, Computer Table, Laptop Table and Desktop Table, for Home Office Work - (90x60x75cm) (Brown)  ",,Sponsored,,"₹4,999","₹2,899","Save ₹2,100 (42%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04092273PNC8EJZW76DW&url=%2FPazano-Multipurpose-Office-Computer-Desktop%2Fdp%2FB098LF67QY%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dstudy%2Btable%26qid%3D1626760974%26sr%3D8-3-spons%26psc%3D1&qualifier=1626760975&id=4009009348628153&widgetName=sp_atf
TUSSK-R Saket Engineered Wood with Strong Metal Leg Office Table or Study Table  ,,Sponsored,Only 2 left in stock.,"₹10,000","₹4,499","Save ₹5,501 (55%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03872091823F2IG325XR&url=%2FTUSSK-R-Saket-Engineered-Strong-Office%2Fdp%2FB08L84TVFB%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dstudy%2Btable%26qid%3D1626760974%26sr%3D8-4-spons%26psc%3D1&qualifier=1626760975&id=4009009348628153&widgetName=sp_atf
StarAndDaisy Computer Desk Folding Table No-Assembly Modern Desk for Small Spaces Study Writing Desk with Storage Shelf Desks for Students and Work from Home (80 X 50 cm Wood Yellow)  ,,,,"₹4,999","₹2,699","Save ₹2,300 (46%)",2.9 out of 5 stars,16,https://www.amazon.in/StarAndDaisy-Computer-Folding-No-Assembly-Students/dp/B098PG9D2C/ref=sr_1_5?dchild=1&keywords=study+table&qid=1626760974&sr=8-5
"Chicvilla Ethnic Multipurpose Wooden Laptop Table for Breakfast,Study Foldable Table (Light Black Color)  ",,,,₹999,₹599,Save ₹400 (40%),3.5 out of 5 stars,162,https://www.amazon.in/Chicvilla-Ethnic-Multipurpose-Breakfast-Foldable/dp/B08Z3DWRZR/ref=sr_1_6?dchild=1&keywords=study+table&qid=1626760974&sr=8-6
Savya home­® Multi-Purpose Laptop Table/Bed Table/Wooden Foldable Bed Table/LAPDESK/Study Table/Portable Table (Black Silver)  ,,,Only 1 left in stock.,"₹2,500",₹749,"Save ₹1,751 (70%)",3.9 out of 5 stars,"3,966",https://www.amazon.in/home%C2%AD%C2%AE-Multifunction-Wooden-Foldable-Standard/dp/B0834DLJG5/ref=sr_1_7?dchild=1&keywords=study+table&qid=1626760974&sr=8-7
"MORADIYA TABLE FOR SEAT EASY BLACK FLOWER PRINTED rest Bed Table to eat Multipurpose Foldable Study Table, Bed Table, Breakfast Table, Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs  ",Best seller,,,"₹1,499",₹450,"Save ₹1,049 (70%)",4.6 out of 5 stars,36,https://www.amazon.in/gp/bestsellers/kitchen/3591683031/ref=sr_bs_7_3591683031_1
"Brownie Engineered Wood Foldable Study Desk Folding Work from Home, Laptop Table, Computer Desk (3x2, Beige)  ",,,,"₹1,799","₹1,499",Save ₹300 (17%),3.1 out of 5 stars,30,https://www.amazon.in/Brownie-Engineered-Foldable-Computer-3x2/dp/B096ZV8K6M/ref=sr_1_9?dchild=1&keywords=study+table&qid=1626760974&sr=8-9
RAOL® Multi-Purpose White Board Aluminium Writing Study Table For Student Laptop Table For Children With Paper Holding Clip (Stainless Steel) With Attractive Colorful Corner And Big Size (61 X 40 X 24 CM) Also Glossy White Finishing Color:- White  ,,,,"₹2,499",₹950,"Save ₹1,549 (62%)",3.9 out of 5 stars,28,https://www.amazon.in/Multi-Purpose-Aluminium-Stainless-Attractive-Finishing/dp/B08YK2C7QD/ref=sr_1_10?dchild=1&keywords=study+table&qid=1626760974&sr=8-10
