name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Priza Plastic Table Lamp, Multicolour, Pack of 1  ",,Sponsored,,"₹1,399",₹630,Save ₹769 (55%),4.1 out of 5 stars,106,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05619821RF2RQA37EXEY&url=%2FPriza-Bedroom-Charging-Control-Brightness%2Fdp%2FB08Q8RLRQ9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dtable%2Blamp%26qid%3D1625667687%26sr%3D8-1-spons%26psc%3D1%26smid%3DA1X6L7JB35D452&qualifier=1625667687&id=1587617724390066&widgetName=sp_atf
"Homesake Ceramic Table Lamp with Shade, White  ",Best seller,Sponsored,,"₹2,800","₹1,850",Save ₹950 (34%),4.5 out of 5 stars,386,https://www.amazon.in/gp/bestsellers/kitchen/1380486031/ref=sr_bs_1_1380486031_1
Homesake® Classic Victorian Black Wood Table Lamp with Shade (Khadi)  ,,Sponsored,,"₹3,200","₹1,450","Save ₹1,750 (55%)",4.2 out of 5 stars,703,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00578995NUEW7LJH04T&url=%2FHomesake-Classic-Victorian-Black-Table%2Fdp%2FB06Y4Y318J%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dtable%2Blamp%26qid%3D1625667687%26sr%3D8-3-spons%26psc%3D1&qualifier=1625667687&id=1587617724390066&widgetName=sp_atf
"OPPLE 3W Reading Light LED Rechargeable Light with Flicker Free Desk Book Lamp (Natural Light, 4000K,White)  ",,Sponsored,,"₹1,455","₹1,129",Save ₹326 (22%),4.3 out of 5 stars,"1,494",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A060686410NF3B109JPZ2&url=%2FReading-Rechargeable-Children-Protection-Student%2Fdp%2FB07P4F5BBM%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dtable%2Blamp%26qid%3D1625667687%26sr%3D8-4-spons%26psc%3D1&qualifier=1625667687&id=1587617724390066&widgetName=sp_atf
PRIMESKY® Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light lamp  ,,,,₹999,₹489,Save ₹510 (51%),4.3 out of 5 stars,154,https://www.amazon.in/PRIMESKY%C2%AE-Rechargeable-Switch-Student-Reading/dp/B0966KGV2T/ref=sr_1_5?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-5
"Wipro Garnet ABS 6w Led Table Lamp - 3 Grade Dimming and Color Changing (Cool Day Light/Neutral White/Warm White), Pack of 1  ",Deal of the Day ,,,"₹1,500","₹1,299",Save ₹201 (13%),4.5 out of 5 stars,"10,393",https://www.amazon.in/Wipro-Garnet-dimming-Changing-Neutral/dp/B07C9KQ7KR/ref=sr_1_6?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-6
Wooum Rechargeable led Touch On Off Switch Desk Table Lamp with Mobile Holder Touch Switch 3 Modes LED Lights Stundent Eye Protection (White)  ,,,,,₹599,,3.9 out of 5 stars,"1,358",https://www.amazon.in/SaleOnTM-Rechargeable-Children-Protection-Charging/dp/B07MBQGWBN/ref=sr_1_7?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-7
RUCON™ Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light lamp  ,,,,₹999,₹415,Save ₹584 (58%),4.1 out of 5 stars,16,https://www.amazon.in/RUCONTM-Rechargeable-Switch-Student-Reading/dp/B097T6GSTG/ref=sr_1_8?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-8
"PHILIPS Plastic LED Desk light, White,Pack of 1  ",,,,"₹1,200",₹830,Save ₹370 (31%),4.4 out of 5 stars,"8,614",https://www.amazon.in/Philips-61013-Breeze-5-Watt-light/dp/B016VYB624/ref=sr_1_9?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-9
"ESN 999 Plastic Table Lamp With Attached Pen Stand, Black  ",,,,₹899,₹297,Save ₹602 (67%),4.1 out of 5 stars,270,https://www.amazon.in/ESN-999-Plastic-Table-Attached/dp/B08WCM9Q2H/ref=sr_1_10?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-10
"Pick Ur Needs LED Touch On/Off Study Table Lamp - Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamps USB Charging (Pack of 1, White) (New 5 in 1)  ",,,,"₹1,260",₹699,Save ₹561 (45%),4.1 out of 5 stars,"1,393",https://www.amazon.in/Pick-Ur-Rechargeable-Children-Protection/dp/B08L4335ZX/ref=sr_1_11?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-11
"ESN 999 Table Lamp, Red, Pack of 1  ",,,,₹899,₹305,Save ₹594 (66%),4.0 out of 5 stars,"1,991",https://www.amazon.in/ESN-999-Flexible-Electric-Attached/dp/B07QC5YT69/ref=sr_1_12?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-12
D-tone® 20 LED Touch Table Lamp + 8 LED with 3 Grade Dimming (Cool Day/Neutral/Warm-Yellow) with Drawers/Pen-Phone Holder/Rechargeable 2500mAh Battery (12Hrs Operating Time)  ,,,,"₹1,500",₹689,Save ₹811 (54%),4.5 out of 5 stars,2,https://www.amazon.in/D-tone%C2%AE-Warm-Yellow-Pen-Phone-Rechargeable-Operating/dp/B096XVNBBR/ref=sr_1_13?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-13
"Priza Plastic Table Lamp, Multicolour, Pack of 1  ",,,,"₹1,399",₹630,Save ₹769 (55%),4.1 out of 5 stars,106,https://www.amazon.in/Priza-Bedroom-Charging-Control-Brightness/dp/B08Q8RLRQ9/ref=sr_1_14?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-14
"ESN 999 Metal Table Lamp, Black, Pack of 1  ",,,,₹899,₹305,Save ₹594 (66%),4.0 out of 5 stars,"2,229",https://www.amazon.in/ESN-999-Flexible-Electric-Attached/dp/B07PDQMZ7G/ref=sr_1_15?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-15
"ESN 999 Aluminium Lamp, Black  ",,,,₹899,₹525,Save ₹374 (42%),4.1 out of 5 stars,339,https://www.amazon.in/ESN-999-Electric-Flexible-Office/dp/B08DBHJ7GQ/ref=sr_1_16?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-16
"VRCT Khadi Shade and Beautiful Table Lamp for Bedroom and Drawing Room (Black,Pack of 1)  ",,,Only 1 left in stock.,"₹1,900",₹675,"Save ₹1,225 (64%)",3.8 out of 5 stars,204,https://www.amazon.in/VRCT-Khadi-Beautiful-Bedroom-Drawing/dp/B08G8TNB82/ref=sr_1_17?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-17
Bulfyss USB Flexible Reading LED Light Clip-on Beside Bed Table Desk Lamp (Black).  ,,,,₹999,₹499,Save ₹500 (50%),4.4 out of 5 stars,85,https://www.amazon.in/Bulfyss-Flexible-Reading-Light-Beside/dp/B0941YXMNR/ref=sr_1_18?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-18
Krishn Kunj LED Rechargeable Desk Lamp Dimmable Eye Care Study Book Light Pencil Cup Foldable Light USB Charging 360° Flexible Gooseneck Night Light for Room Bedroom (Desk Lamp)  ,,,,"₹1,499",₹499,"Save ₹1,000 (67%)",3.8 out of 5 stars,136,https://www.amazon.in/Krishn-Kunj-Rechargeable-Dimmable-Gooseneck/dp/B08W59Q5KN/ref=sr_1_19?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-19
"Wipro 6W LED Table Lamp-3 Grade Dimming and Ambience Lighting (6 color options,White,Pack of 1)  ",,,,"₹2,250","₹1,449",Save ₹801 (36%),4.3 out of 5 stars,"2,547",https://www.amazon.in/Wipro-6W-Deco-Table-Lamp/dp/B07TQTSQZ9/ref=sr_1_20?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-20
RealHandicrafts Antique Nautical Wooden Tripod Floor Lamp  ,,Sponsored,,"₹4,000","₹1,200","Save ₹2,800 (70%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A010032534KBYAFGVBH76&url=%2FRealHandicrafts-Antique-Nautical-Wooden-Tripod%2Fdp%2FB098PHCNVH%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dtable%2Blamp%26qid%3D1625667687%26sr%3D8-21-spons%26psc%3D1&qualifier=1625667687&id=1587617724390066&widgetName=sp_mtf
"RUilY ABS,PP Balance Lamp, Black, Pack of 1  ",,Sponsored,,"₹5,000","₹2,499","Save ₹2,501 (50%)",4.5 out of 5 stars,227,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A047759315XI2L2YAJTVY&url=%2FRUilY%25C2%25AE-Balance-Magnetic-Bedroom-Office%2Fdp%2FB083NTMHRT%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dtable%2Blamp%26qid%3D1625667687%26sr%3D8-22-spons%26psc%3D1&qualifier=1625667687&id=1587617724390066&widgetName=sp_mtf
"The Light Store Glass, Alloy Steel Table Lamp, Gold  ",,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03020091PL4UQ1L1IAEC&url=%2FIlluminations-Luxurious-Light-Restaurant-decoration%2Fdp%2FB079P5RKY9%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dtable%2Blamp%26qid%3D1625667687%26sr%3D8-23-spons%26psc%3D1&qualifier=1625667687&id=1587617724390066&widgetName=sp_mtf
"iGear Led Table Lamp with Touch On/Off Switch, Student Study Lamp with Children Eye Protection, 3 Grade Dimming, Office Desk Lamp with Time Date Temperature Alarm and Snooze Display, Flexible Neck, Leatherite like Finish Study Lamp (Black)  ",,Sponsored,,"₹3,000","₹2,500",Save ₹500 (17%),4.2 out of 5 stars,124,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06634952150K2Q8MWIEL&url=%2FiGear-Electronics-Business-Desk-Lamp%2Fdp%2FB077T25VNY%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dtable%2Blamp%26qid%3D1625667687%26sr%3D8-24-spons%26psc%3D1%26smid%3DA2LPYS6TUD99YN&qualifier=1625667687&id=1587617724390066&widgetName=sp_mtf
"zsquarehp Glass Table Lamp, Multicolour, Pack of 1  ",,,,"₹1,299",₹378,Save ₹921 (71%),4.0 out of 5 stars,547,https://www.amazon.in/ZSQUAREHP-Mosaic-Style-Shaped-Multicolour/dp/B07YXG5C7N/ref=sr_1_25?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-25
FIGMENT LED Touch On/Off Switch Desk Lamp Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamps USB Charging Touch Dimmer(Desk Lights for Study) (Off White)  ,,,,,₹549,,5.0 out of 5 stars,59,https://www.amazon.in/FIGMENT-Children-Protection-Rechargeable-Charging/dp/B096NZYRGS/ref=sr_1_26?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-26
"EDGE Plastic Desk/Table Lamp, White  ",,,,₹899,₹499,Save ₹400 (44%),4.0 out of 5 stars,100,https://www.amazon.in/EDGE-Plastic-Desk-Table-White/dp/B0913JPYN1/ref=sr_1_27?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-27
BillieJean Matte Black Reading And Studying Table Lamp  ,,,,,₹699,,4.2 out of 5 stars,"1,034",https://www.amazon.in/Wemex-Billie-Reading-Study-Table/dp/B01D2SCZKO/ref=sr_1_28?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-28
"tu casa Metal Iron Table Lamp, White, Off White  ",,,,"₹1,150",₹649,Save ₹501 (44%),3.7 out of 5 stars,74,https://www.amazon.in/Ntu-42-Cotton-casa-Holder-Included/dp/B08D44Q3QB/ref=sr_1_29?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-29
"TUCASA Metal Table Lamp , Off White,Pack of 1  ",,,,"₹1,799",₹709,"Save ₹1,090 (61%)",3.9 out of 5 stars,"1,317",https://www.amazon.in/Tucasa-LG-200-Conical-Shade-Table/dp/B00R4C5EVW/ref=sr_1_30?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-30
Hopesmile® Night lamp Star Lights Projector Rotating Romantic Moon 360 Degree and Home Decoration Room Birthday Gifts for Kids Girls 4 6 7 8 5 Years Old Bedroom Table with USB Cable  ,,,,₹699,₹429,Save ₹270 (39%),5.0 out of 5 stars,3,https://www.amazon.in/Hopesmile%C2%AE-Projector-Rotating-Romantic-Decoration/dp/B097R18Q8S/ref=sr_1_31?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-31
Homenique Orange Flower Shade Traditional Farmhouse Table Lamps with Fabric Shade for Living Room Bedroom House Bedside Nightstand Home Office (Bulb not Included)  ,,,,₹980,₹540,Save ₹440 (45%),4.4 out of 5 stars,6,https://www.amazon.in/Homenique-Traditional-Farmhouse-Table-Nightstand/dp/B091182B6Q/ref=sr_1_32?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-32
"SAVAN Plastic Table Lamp, White  ",,,,"₹1,998",₹399,"Save ₹1,599 (80%)",,,https://www.amazon.in/SAVAN-Plastic-Table-Lamp-White/dp/B08T9QL4Q3/ref=sr_1_33?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-33
"Pick Ur Needs® Chargeable Desk Lamp With Organizer, Phone Holder, Night Light, Pin Stand Table Lamp for Dorm Room Study Desk, 2200mAh Battery Operated (Pen + Mobile + Drewer + Rounded)( Color - White )  ",,,,"₹1,295",₹699,Save ₹596 (46%),4.2 out of 5 stars,210,https://www.amazon.in/Pick-Ur-Chargeable-Organizer-Operated/dp/B08VH9Q933/ref=sr_1_34?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-34
"TRINETRA LED Touch On/Off Switch Desk Lamp/Student Study Reading Dimmer Rechargeable Led Table Lamp(White,Pack of 1)  ",,,,₹999,₹439,Save ₹560 (56%),3.6 out of 5 stars,500,https://www.amazon.in/TRINETRA-Plastic-Table-white-Cable/dp/B08KGV8LRH/ref=sr_1_35?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-35
"Qualimate Polyvinyl Chloride Moon Table Lamp with Stand, Multicolour  ",,,,"₹1,999",₹699,"Save ₹1,300 (65%)",3.5 out of 5 stars,97,https://www.amazon.in/Qualimate-Rechargeable-Lighting-Friendship-Decoration/dp/B08MXD5V4X/ref=sr_1_36?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-36
"hayden Plastic Desk Lamp With Pen/Phone Holder, Multicolour,Pack of 1  ",,,,₹999,₹650,Save ₹349 (35%),4.2 out of 5 stars,733,https://www.amazon.in/Rechargeable-Control-360%C2%B0Flexible-Charging-Students/dp/B08M679DY7/ref=sr_1_37?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-37
Shop Cart Rechargeable LED Touch On/Off Switch Desk Table Lamp USB Charging Student Study Reading Touch Dimmer for Eye Protection (White)  ,,,,₹999,₹399,Save ₹600 (60%),1.0 out of 5 stars,2,https://www.amazon.in/Shop-Cart-Rechargeable-Charging-Protection/dp/B096MPBQBD/ref=sr_1_38?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-38
Spectrum Multi-Function Lithium Battery led Table lamp with Pen Holder Blue (Multicolor)  ,,,,₹999,₹750,Save ₹249 (25%),4.0 out of 5 stars,29,https://www.amazon.in/Spectrum-Multi-Function-Lithium-Battery-Multicolor/dp/B08G4VFKN9/ref=sr_1_39?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-39
"ESN 999 Plastic Table Lamp, Black  ",,,,₹899,₹349,Save ₹550 (61%),3.9 out of 5 stars,966,https://www.amazon.in/ESN-999-pp-1269-5-Watt-Table/dp/B01FXQVTJ6/ref=sr_1_40?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-40
"OPPLE 3W Reading Light LED Rechargeable Light with Flicker Free Desk Book Lamp (Natural Light, 4000K,White)  ",,,,"₹1,455","₹1,129",Save ₹326 (22%),4.3 out of 5 stars,"1,494",https://www.amazon.in/Reading-Rechargeable-Children-Protection-Student/dp/B07P4F5BBM/ref=sr_1_41?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-41
DIKANSHA Off White Conical Shade and Beautiful Table Lamp for Bedroom and Drawing Room  ,,,,"₹1,499",₹720,Save ₹779 (52%),3.9 out of 5 stars,9,https://www.amazon.in/DIKANSHA-Conical-Beautiful-Bedroom-Drawing/dp/B08SWDYWNH/ref=sr_1_42?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-42
"IDOLESHOP Plastic Desk Light With Night Lamp, White  ",,,,"₹1,899",₹645,"Save ₹1,254 (66%)",4.2 out of 5 stars,318,https://www.amazon.in/IDOLESHOP-Shades-Control-Mobile-Holder/dp/B08KKZBY1T/ref=sr_1_43?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-43
KAVANA™ Desk Lamp for Study Rechargeable /Study Lamp for Student Table lamp Led Touch Desk Lamp Children Dimmer Usb Charging  ,,,,₹699,₹449,Save ₹250 (36%),4.1 out of 5 stars,149,https://www.amazon.in/KAVANATM-Rechargeable-lamp-Children-Charging/dp/B08VD4P7MP/ref=sr_1_44?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-44
"Syska SSK-TL-8602L EASYGLOW 4W LED Table lamp with 3 Stage Dimming Light(White,Pack of 1)  ",,,,₹899,₹639,Save ₹260 (29%),4.4 out of 5 stars,81,https://www.amazon.in/Syska-SSK-TL-8602L-EASYGLOW-Table-Dimming/dp/B08BKWMMBP/ref=sr_1_45?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-45
Anand Souvenir Rechargeable Led Study Table Lamp/Desk Lamp Dimmer Modes with Clip Stand 360° Flexible Night Study Lamp for Bedroom and Office  ,,,,₹999,₹510,Save ₹489 (49%),3.8 out of 5 stars,260,https://www.amazon.in/Anand-Souvenir-Children-Protection-Non-Rechargeable/dp/B08BYFWBZM/ref=sr_1_46?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-46
"Rural Kart 1-2 Kg Natural Air Purifier Ionizer Himalayan Salt Lamp - Organic Pink Rock Salt Table Lamp Electric - Vastu, Feng Shui, Home Decor  ",,,,"₹1,999",₹660,"Save ₹1,339 (67%)",4.4 out of 5 stars,121,https://www.amazon.in/Rural-Natural-Purifier-Ionizer-Himalayan/dp/B08V22Q9QH/ref=sr_1_47?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-47
"VEHTRI Plastic Desk Lamp, White  ",,,,"₹1,299",₹419,Save ₹880 (68%),4.1 out of 5 stars,23,https://www.amazon.in/VEHTRI-Plastic-Desk-Lamp-White/dp/B0928JJ618/ref=sr_1_48?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-48
4 Bulbs LED Vanity Lamp Beauty Makeup Light led Vanity Light Kit Bathroom Mirror Wall Lamp Battery Lampara For Dressing Table  ,,,,₹599,₹399,Save ₹200 (33%),5.0 out of 5 stars,2,https://www.amazon.in/Light-Bathroom-Mirror-Battery-Dressing/dp/B096B2YYWT/ref=sr_1_49?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-49
"tu casa Metal-Iron Lamp, White,Pack of 1  ",,,,"₹1,350",₹677,Save ₹673 (50%),4.1 out of 5 stars,67,https://www.amazon.in/casa-Ntu-275-Cotton-type-b-22-Included/dp/B08D3ZZNHV/ref=sr_1_50?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-50
"Bajaj Acrylonitrile Butadiene Styrene Lamp, White,Pack of 1 With 10 Units of Transparent Pouches  ",Limited time deal,,Deal is 18% Claimed,"₹1,190",₹809,Save ₹381 (32%),4.4 out of 5 stars,364,https://www.amazon.in/Bajaj-Softlite-Mini-Rechargable-Table/dp/B0866HY6B3/ref=sr_1_51?dchild=1&keywords=table+lamp&qid=1625667687&smid=AT95IG9ONZD7S&sr=8-51
"HELICON Table Lamp, Silver- Chrome Finished, Round, Pack of 1  ",,,,₹650,₹579,Save ₹71 (11%),3.7 out of 5 stars,532,https://www.amazon.in/HELICON-Strong-Stainless-reading-working/dp/B071WC7HXZ/ref=sr_1_52?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-52
Azacus Rechargeable LED Touch On/Off Switch Desk Lamp Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamp  ,,,,"₹1,099",₹645,Save ₹454 (41%),4.1 out of 5 stars,336,https://www.amazon.in/Azacus-Rechargeable-Desk-Protection-Light/dp/B07NGG8NCG/ref=sr_1_53?dchild=1&keywords=table+lamp&qid=1625667687&sr=8-53
