name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Timberly Wooden Wall Decorative Vintage Sunburst Mirror for Living Room (16 x 16 Inch) (Brown Color) - Set of 1, Medium  ",,Sponsored,,"₹2,449","₹1,250","Save ₹1,199 (49%)",3.8 out of 5 stars,27,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05067763VCU78AGKL3DJ&url=%2FTimberly-Wooden-Decorative-Vintage-Sunburst%2Fdp%2FB09298CR3N%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626887607%26sr%3D8-1-spons%26psc%3D1&qualifier=1626887607&id=3377408705617182&widgetName=sp_atf
Anikaa Sofi Engineered Wood Dressing Wall Mirrors Wall Hanging Dressing Mirrors/Plain Decorative Wall Mirror/Full Length Mirror for Bedroom/Wall Mounted Dressing Mirror for Living Room (Wenge Big)  ,,Sponsored,,,,,3.3 out of 5 stars,8,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04294451UTDE083DWDVO&url=%2FAnikaa-Mirrors-Hanging-Dressing-Decorative%2Fdp%2FB07Y79KFPW%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626887607%26sr%3D8-2-spons%26psc%3D1&qualifier=1626887607&id=3377408705617182&widgetName=sp_atf
Papdiwal Industries MIRRORNOW'S Glass Imported Touch Sensor LED Bathroom Mirror (30X24 Inches)  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06410591SG6SYUAIOB8K&url=%2FPapdiwal-Industries-MIRRORNOWS-Sensor-Bathroom%2Fdp%2FB08CB8Y9KB%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626887607%26sr%3D8-3-spons%26psc%3D1&qualifier=1626887607&id=3377408705617182&widgetName=sp_atf
Anikaa Maria Engineered Wood Dressing Wall Mirrors/Wall Hanging Dressing Mirrors with Shelf/Decorative Wall Mirror/Dressing Table for Bed Room/Living Room (Walnut) Matte Finish  ,,Sponsored,,"₹2,599","₹1,799",Save ₹800 (31%),4.0 out of 5 stars,123,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04386291EAIPISZDG556&url=%2FAnikaa-Dressing-Mirrors-Hanging-Decorative%2Fdp%2FB08L7S1DVC%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626887607%26sr%3D8-4-spons%26psc%3D1&qualifier=1626887607&id=3377408705617182&widgetName=sp_atf
SEVEN HORSES Floral Design Glass Wall Mirror for Makeup Bathroom Dressing (14.5X26.5 Inch)  ,Amazon's Choice,,,"₹1,998","₹1,199",Save ₹799 (40%),4.3 out of 5 stars,266,https://www.amazon.in/SEVEN-HORSES-Bathroom-Dressing-14-5X26-5/dp/B08KHHJC98/ref=ice_ac_b_dpb?dchild=1&keywords=wall+mirror&qid=1626887607&sr=8-5
"Seven Horses Frame Brown Sunmica Finish Fiber Wood Wall Mirror, Dressing Mirror Solid Premium Brown Water Resistant Synthetic Fiber Wood Made (14.5X26.5 Inch)  ",,,,"₹1,998","₹1,199",Save ₹799 (40%),4.1 out of 5 stars,313,https://www.amazon.in/Sunmica-Dressing-Premium-Resistant-Synthetic/dp/B0795WCNQS/ref=sr_1_6?dchild=1&keywords=wall+mirror&qid=1626887607&sr=8-6
Quality Glass Verticle Shape Frameless Decorative Mirror Mirror Glass for Wall Mirror for bathrooms Mirror in Home Mirror décor Mirror Size : 12 X 18 inch QGFL 132  ,,,,"₹2,449",₹889,"Save ₹1,560 (64%)",3.7 out of 5 stars,43,https://www.amazon.in/Quality-Glass-Frameless-Decorative-bathrooms/dp/B0928GB9KR/ref=sr_1_7?dchild=1&keywords=wall+mirror&qid=1626887607&sr=8-7
"Wall1ders - Hexagon 3D Acrylic Stickers, 3D Acrylic Wall Stickers for Living Room, Hall, Bed Room & Home with 10 Butterfly Stickers - Pack of 28 (Silver)  ",Best seller,,,₹999,₹370,Save ₹629 (63%),4.0 out of 5 stars,"2,983",https://www.amazon.in/gp/bestsellers/kitchen/5554172031/ref=sr_bs_7_5554172031_1
"Art Street Decorative Wall Mirror Black Flat Small Size/Looking Glass Inner Size 10 x 12 inch, Outer Size 12 x 14 inch  ",Deal of the Day ,,,"₹1,500",₹474,"Save ₹1,026 (68%)",3.7 out of 5 stars,341,https://www.amazon.in/Art-Street-Decorative-Mirror-Looking/dp/B07DWWT61F/ref=sr_1_9?dchild=1&keywords=wall+mirror&qid=1626887607&sr=8-9
Art Street Lotus Petal Decorative Wall Mirror (Set of 3)(Size - 9 x 9 inch)  ,Deal of the Day ,,,"₹1,500",₹719,Save ₹781 (52%),4.1 out of 5 stars,184,https://www.amazon.in/Painting-Mantra-Street-Decorative-Mirror/dp/B07954FM4N/ref=sr_1_10?dchild=1&keywords=wall+mirror&qid=1626887607&sr=8-10
