name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
2211 The Fashion Hub Women's Knee Length Skater Dress  ,,Sponsored,,₹999,₹399,Save ₹600 (60%),3.2 out of 5 stars,33,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03542232D714ZYKFQSQE&url=%2F2211-Fashion-Hub-Womens-Length%2Fdp%2FB08T86GQTH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bdresses%26qid%3D1624810679%26sr%3D8-1-spons%26psc%3D1&qualifier=1624810679&id=1598334155329943&widgetName=sp_atf
Asean Women Two Piece A-Line Dress  ,,Sponsored,,,₹599,,3.9 out of 5 stars,10,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A098471138JIKXC9TYD8S&url=%2FAsean-Women-Piece-Line-Sky-Blue%2Fdp%2FB08ZLW8R82%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bdresses%26qid%3D1624810679%26sr%3D8-2-spons%26psc%3D1&qualifier=1624810679&id=1598334155329943&widgetName=sp_atf
Asean Women's A-Line Midi Dress  ,,Sponsored,,,₹599,,3.8 out of 5 stars,102,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02694263670TTLREO3BW&url=%2FAsean-WomenS-Ask-47-Light-Green-M_Light-Green_Medium%2Fdp%2FB082MRMNBZ%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bdresses%26qid%3D1624810679%26sr%3D8-3-spons%26psc%3D1&qualifier=1624810679&id=1598334155329943&widgetName=sp_atf
2211 The Fashion Hub Women's Knee Length Blue Skater Dress  ,,Sponsored,,"₹1,499",₹449,"Save ₹1,050 (70%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07947361NB7K02KHX99S&url=%2F2211-Fashion-Hub-Womens-Length%2Fdp%2FB097HKXNFT%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bdresses%26qid%3D1624810679%26sr%3D8-4-spons%26psc%3D1&qualifier=1624810679&id=1598334155329943&widgetName=sp_atf
Harpa Polyester A-Line Dress  ,Deal of the Day ,,,"₹1,999",₹629,"Save ₹1,370 (69%)",3.9 out of 5 stars,76,https://www.amazon.in/Harpa-Polyester-Line-GR5991-Multi_L/dp/B08CSX6NS1/ref=sr_1_5?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-5
Harpa Women's A-Line Dress  ,Amazon's ChoiceDeal of the Day ,,,"₹1,699",₹535,"Save ₹1,164 (69%)",4.2 out of 5 stars,"1,513",https://www.amazon.in/Harpa-Womens-A-Line-Dress-GR3308-MULTI_M/dp/B01FM7EY0M/ref=ice_ac_b_dpb?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-6
Generic Parii Fashion Jaipur Cotton Flared/A-line Stitched Casual Long Maxi Dress for Women - (Free Size)  ,Best seller,,,₹999,₹440,Save ₹559 (56%),3.8 out of 5 stars,164,https://www.amazon.in/gp/bestsellers/apparel/1968445031/ref=sr_bs_6_1968445031_1
OOMPH! Women's Crepe A-Line Maxi Dress  ,,,,"₹2,000",₹489,"Save ₹1,511 (76%)",3.7 out of 5 stars,327,https://www.amazon.in/OOMPH-Womens-Crepe-White_md109xl-X-Large/dp/B08L4TQBQQ/ref=sr_1_8?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-8
ALIYAA Fashion A-Line Knee-Long Dress Striped Middy for Women and Girls  ,,,,₹599,₹279,Save ₹320 (53%),,,https://www.amazon.in/ALIYAA-Fashion-Knee-Long-Striped-Black/dp/B08Z8CZS7R/ref=sr_1_9?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-9
Milkyway Women DRESSS  ,,,,"₹1,299",₹699,Save ₹600 (46%),4.2 out of 5 stars,32,https://www.amazon.in/Milkyway-Womens-Polycrepe-Dress-Shrug/dp/B08VTYF1C6/ref=sr_1_10?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-10
SIRIL Women's Knee Length Western Dress  ,,,,,₹389,,3.4 out of 5 stars,29,https://www.amazon.in/SIRIL-Womens-Length-Dress-115TK2611-S_Beige_S/dp/B08XNJWJX9/ref=sr_1_11?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-11
"Generic Women's Acrylic Blend Dress (Blue, Free Size)  ",,,,"₹1,899",₹799,"Save ₹1,100 (58%)",5.0 out of 5 stars,3,https://www.amazon.in/Generic-SR218BL-Blue/dp/B081HDRGK8/ref=sr_1_12?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-12
Bollyclues Women's Floral Maxi Dress  ,,,,₹999,₹495,Save ₹504 (50%),3.5 out of 5 stars,499,https://www.amazon.in/Bollyclues-Crepe-Flare-Dress-BCPR001DS_Maroon_M/dp/B08RDWDW87/ref=sr_1_13?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-13
Miss Olive Georgette Skater Dress  ,,,,"₹1,399",₹549,Save ₹850 (61%),4.5 out of 5 stars,17,https://www.amazon.in/Miss-Olive-Georgette-Skater-MOSS19D12-99-164_Multi-Yellow_Large/dp/B081B3PR3Q/ref=sr_1_14?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-14
Harpa Women's A-Line Knee-Long Dress  ,,,,"₹1,699",₹543,"Save ₹1,156 (68%)",4.0 out of 5 stars,"1,719",https://www.amazon.in/Harpa-Womens-A-Line-Dress-GR3308-BLACK_L/dp/B01FM7EY4S/ref=sr_1_15?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-15
StyleStone Women's Chiffon Tie up Rainbow Print Maxi Dress  ,,,,"₹1,699",₹850,Save ₹849 (50%),4.0 out of 5 stars,912,https://www.amazon.in/StyleStone-Chiffon-Halterneck-Dress-3453StringRainbowsXL_Multi_X-Large/dp/B07PP3Z9RW/ref=sr_1_16?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-16
RARE Synthetic a-line Dress  ,,,,"₹2,099",₹777,"Save ₹1,322 (63%)",3.5 out of 5 stars,57,https://www.amazon.in/Rare-Synthetic-a-line-Dress-ep3149b-m_Beige_Medium/dp/B07NT9MP4P/ref=sr_1_17?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-17
Berrylush Red Solid V Neck Maxi Dress  ,,,,"₹1,999",₹879,"Save ₹1,120 (56%)",4.3 out of 5 stars,605,https://www.amazon.in/Berrylush-Maroon-Front-Shoulder-Polyester/dp/B0852ZGPFH/ref=sr_1_18?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-18
Ritsila Women's Polkadot Fit and Flare Knee Length Dress Yellow  ,,,,"₹2,599",₹999,"Save ₹1,600 (62%)",4.1 out of 5 stars,11,https://www.amazon.in/Ritsila-Womens-Polkadot-Length-Yellow/dp/B08NT7WYDV/ref=sr_1_19?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-19
Milkyway Women's Maxi Dress With Shrug (DRSSHRG_peach_Pink_S)  ,,,,"₹1,299",₹699,Save ₹600 (46%),4.0 out of 5 stars,13,https://www.amazon.in/Milkyway-Womens-Dress-Shrug-DRSSHRG_peach_Pink_S/dp/B08VV8D6HC/ref=sr_1_20?dchild=1&keywords=women+dresses&qid=1624810679&sr=8-20
VERO MODA Polyester Fit and Flare Casual Dress  ,,Sponsored,Only 1 left in stock.,"₹4,299","₹3,869",Save ₹430 (10%),1.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01814552CWFEQ58NT7MQ&url=%2FVERO-MODA-Polyester-237676901_Sepia-Rose_XL%2Fdp%2FB08YK8PT3C%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bdresses%26qid%3D1624810679%26sr%3D8-21-spons%26psc%3D1&qualifier=1624810679&id=1598334155329943&widgetName=sp_mtf
