name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Columbia Women's Arcadia Ii Jacket  ,,Sponsored,,"₹5,499","₹5,004",Save ₹495 (9%),4.7 out of 5 stars,"6,271",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A030174736HBFTUEIPVAR&url=%2FColumbia-Womens-Synthetic-Jacket-RL2436-010-M_Black%2Fdp%2FB00DQYPM6O%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1626149820%26sr%3D8-1-spons%26psc%3D1&qualifier=1626149820&id=2811341593317105&widgetName=sp_atf
Columbia Women's Raincoat  ,,Sponsored,,"₹7,499","₹6,899",Save ₹600 (8%),4.6 out of 5 stars,247,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0300799QJRGMF9QLTDG&url=%2FColumbia-Womens-Synthetic-Jacket-RL2023-010-S_Black%2Fdp%2FB00DIJW5Q2%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1626149820%26sr%3D8-2-spons%26psc%3D1&qualifier=1626149820&id=2811341593317105&widgetName=sp_atf
Scott International Women's Solid Wind Cheater Jacket (AW18-IDRY-LJKT-BL-S_Black_Small)  ,,Sponsored,,"₹2,499",₹447,"Save ₹2,052 (82%)",3.5 out of 5 stars,167,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06810463G23TTMNYN0FZ&url=%2FScott-International-Polyester-Weather-AW18-IDRY-LJKT-BL-S%2Fdp%2FB07HRTWJDQ%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1626149820%26sr%3D8-3-spons%26psc%3D1&qualifier=1626149820&id=2811341593317105&widgetName=sp_atf
JB JUST BLACK Women's Western Jackets(SIZE M)  ,,Sponsored,Only 1 left in stock.,"₹2,099",₹909,"Save ₹1,190 (57%)",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07731842RGDU193YJAI8&url=%2FWomens-Western-Jackets-SIZE-M%2Fdp%2FB09739PZTB%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1626149820%26sr%3D8-4-spons%26psc%3D1&qualifier=1626149820&id=2811341593317105&widgetName=sp_atf
MONTREZ Full Sleeve Solid Women Jacket  ,,,,"₹1,499",₹399,"Save ₹1,100 (73%)",4.0 out of 5 stars,929,https://www.amazon.in/Montrez-Womens-Jacket-MNT-4023_Light-Blue_X-Large/dp/B08GJ4JP64/ref=sr_1_5?dchild=1&keywords=women+jackets&qid=1626149820&sr=8-5
DNEXT Women Solid Cotton Jacket Full Sleeve for Girls  ,,,,"₹1,499",₹335,"Save ₹1,164 (78%)",3.8 out of 5 stars,312,https://www.amazon.in/DNEXT-Cotton-Jacket-Sleeve-Maroon/dp/B08T6NXLVG/ref=sr_1_6?dchild=1&keywords=women+jackets&qid=1626149820&sr=8-6
FUNDAY FASHION Full Sleeve Blue Solid Women's Denim Jacket  ,Best seller,,,,₹449,,3.8 out of 5 stars,"1,166",https://www.amazon.in/gp/bestsellers/apparel/1968508031/ref=sr_bs_6_1968508031_1
Qube By Fort Collins Women's Jacket  ,,,,"₹2,099",₹819,"Save ₹1,280 (61%)",4.0 out of 5 stars,608,https://www.amazon.in/Fort-Collins-Womens-Jacket-43315AZ_Blue_Large/dp/B0851CQY4M/ref=sr_1_8?dchild=1&keywords=women+jackets&qid=1626149820&sr=8-8
Qube By Fort Collins Women's Jacket  ,,,,"₹2,299",₹989,"Save ₹1,310 (57%)",3.7 out of 5 stars,246,https://www.amazon.in/Qube-Fort-Collins-Womens-84121Q_Wine_Medium/dp/B08C34K5JV/ref=sr_1_9?dchild=1&keywords=women+jackets&qid=1626149820&sr=8-9
Qube By Fort Collins Women's Nylon Bomber Jacket  ,,,,"₹2,299",₹939,"Save ₹1,360 (59%)",3.8 out of 5 stars,335,https://www.amazon.in/Qube-Fort-Collins-39231-SMU_red_M/dp/B07FBWB1G6/ref=sr_1_10?dchild=1&keywords=women+jackets&qid=1626149820&sr=8-10
