name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Scott International Women's Solid Wind Cheater Jacket (AW18-IDRY-LJKT-BL-S_Black_Small)  ,,Sponsored,,"₹2,499",₹529,"Save ₹1,970 (79%)",3.5 out of 5 stars,186,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06810463G23TTMNYN0FZ&url=%2FScott-International-Polyester-Weather-AW18-IDRY-LJKT-BL-S%2Fdp%2FB07HRTWJDQ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1627821888%26sr%3D8-1-spons%26psc%3D1&qualifier=1627821888&id=3216734332166154&widgetName=sp_atf
Scott International Women's Striped Regular Jacket  ,,Sponsored,,"₹2,999",₹549,"Save ₹2,450 (82%)",3.8 out of 5 stars,31,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09789902VDR4841Z86H4&url=%2FScott-Wrinkle-Dryfit-Jacket-Stripes%2Fdp%2FB01C7ARZE4%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1627821888%26sr%3D8-2-spons%26psc%3D1&qualifier=1627821888&id=3216734332166154&widgetName=sp_atf
Columbia Women's Jacket  ,,Sponsored,Only 2 left in stock.,"₹8,999","₹8,279",Save ₹720 (8%),4.2 out of 5 stars,42,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A064229428CDGFF8RFVWL&url=%2FColumbia-Womens-Jacket-WK0243-010-Black_XS%2Fdp%2FB07MNH77FZ%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1627821888%26sr%3D8-3-spons%26psc%3D1&qualifier=1627821888&id=3216734332166154&widgetName=sp_atf
DIMPY GARMENTS Women's Regular Jacket  ,,Sponsored,,"₹1,499",₹399,"Save ₹1,100 (73%)",3.9 out of 5 stars,"1,293",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0909138175LRTQGGLZWP&url=%2FDIMPY-GARMENTS-Womens-Jacket-Medium%2Fdp%2FB07KR8SZJG%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1627821888%26sr%3D8-4-spons%26psc%3D1%26smid%3DAVGFAL027ZM1U&qualifier=1627821888&id=3216734332166154&widgetName=sp_atf
Puma Women's' Jacket  ,,,,"₹3,499","₹1,399","Save ₹2,100 (60%)",4.9 out of 5 stars,8,https://www.amazon.in/PUMA-Womens-Jacket-58356701-Black_Small/dp/B0882BDB6B/ref=sr_1_5?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-5
Columbia Women's Hoodie (WK0635-522_Elderberry_Small)  ,,,,"₹16,999","₹15,639","Save ₹1,360 (8%)",4.7 out of 5 stars,184,https://www.amazon.in/Columbia-Womens-Jacket-WK0635-548-M_Pale-Purple_M/dp/B07JC2LN5D/ref=sr_1_6?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-6
MONTREZ Full Sleeve Solid Women Jacket  ,Best seller,,,"₹1,499",₹399,"Save ₹1,100 (73%)",4.0 out of 5 stars,"1,058",https://www.amazon.in/gp/bestsellers/apparel/1968508031/ref=sr_bs_6_1968508031_1
DNEXT Women Solid Cotton Jacket Full Sleeve for Girls  ,,,,"₹1,499",₹399,"Save ₹1,100 (73%)",3.8 out of 5 stars,379,https://www.amazon.in/DNEXT-Cotton-Jacket-Sleeve-Maroon/dp/B08T6NXLVG/ref=sr_1_8?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-8
Qube By Fort Collins Women's Jacket  ,,,,"₹2,399","₹1,166","Save ₹1,233 (51%)",4.2 out of 5 stars,793,https://www.amazon.in/Qube-Fort-Collins-Womens-89408AZ_2_Fusia_Large/dp/B07SDG9NDP/ref=sr_1_9?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-9
FUNDAY FASHION Full Sleeve Blue Solid Women's Denim Jacket  ,,,,"₹1,499",₹499,"Save ₹1,000 (67%)",3.8 out of 5 stars,"1,262",https://www.amazon.in/FUNDAY-FASHION-Sleeve-Womens-Jacket/dp/B084HDTG6R/ref=sr_1_10?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-10
MONTREZ Full Sleeve Self Design Women Quilted Jacket  ,,,,"₹1,499",₹299,"Save ₹1,200 (80%)",3.9 out of 5 stars,37,https://www.amazon.in/MONTREZ-Sleeve-Design-Quilted-Jacket/dp/B08XQFRK9Y/ref=sr_1_11?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-11
absorbing Women Full Sleeve Solid Jacket  ,,,,"₹1,999",₹349,"Save ₹1,650 (83%)",3.0 out of 5 stars,4,https://www.amazon.in/absorbing-Women-Sleeve-White-Jacket/dp/B08WRN8W5Q/ref=sr_1_12?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-12
Adidas Women's Jacket  ,,,,"₹2,999","₹1,429","Save ₹1,570 (52%)",4.2 out of 5 stars,93,https://www.amazon.in/Adidas-Womens-Jacket-EI5529_Black-White_M/dp/B07RZ77LJR/ref=sr_1_13?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-13
MONTREZ Women Solid Cotton Jacket Full Sleeve  ,,,,"₹1,999",₹399,"Save ₹1,600 (80%)",3.9 out of 5 stars,"1,146",https://www.amazon.in/MONTREZ-Sleeve-Solid-Women-Jacket/dp/B08LCBKZ9D/ref=sr_1_14?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-14
Scott International Women's Solid Wind Cheater Jacket (AW18-IDRY-LJKT-BL-S_Black_Small)  ,,,,"₹2,499",₹529,"Save ₹1,970 (79%)",3.5 out of 5 stars,186,https://www.amazon.in/Scott-International-Polyester-Weather-AW18-IDRY-LJKT-BL-S/dp/B07HRTWJDQ/ref=sr_1_15?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-15
Fabricorn Women's Fleece Sweatshirt  ,,,,"₹1,199",₹599,Save ₹600 (50%),3.8 out of 5 stars,"1,376",https://www.amazon.in/Fabricorn-Plain-Black-Sweatshirt-Women/dp/B082R93MH4/ref=sr_1_16?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-16
Amazon Brand - Symbol womens Quilted Jacket  ,,,,"₹3,499",₹452,"Save ₹3,047 (87%)",4.0 out of 5 stars,365,https://www.amazon.in/Amazon-Brand-Quilted-AW19KJ002_Mount-Olive_S/dp/B07V6KRMNF/ref=sr_1_17?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-17
FUNDAY FASHION Women's Solid Regular Jacket  ,,,,"₹1,499",₹489,"Save ₹1,010 (67%)",3.8 out of 5 stars,"1,514",https://www.amazon.in/Funday-Fashion-Sleeve-Womens-Jacket/dp/B07P9136MB/ref=sr_1_18?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-18
Generic Full Sleeve Solid Women Denim Jacket  ,,,,₹999,₹297,Save ₹702 (70%),4.2 out of 5 stars,4,https://www.amazon.in/Sleeve-Solid-Women-Denim-Jacket/dp/B08L6MZ4ZL/ref=sr_1_19?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-19
DIMPY GARMENTS Solid Regular Denim Women's Jacket  ,,,,"₹1,499",₹399,"Save ₹1,100 (73%)",3.7 out of 5 stars,129,https://www.amazon.in/DIMPY-GARMENTS-BuyNewTrend-Buttoned-Blue-2437/dp/B083ZY43P3/ref=sr_1_20?dchild=1&keywords=women+jackets&qid=1627821888&sr=8-20
Scott International Women's Solid Regular Jacket  ,,Sponsored,,"₹2,999",₹529,"Save ₹2,470 (82%)",3.8 out of 5 stars,53,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05679761O3GHA9F6JR28&url=%2FScott-Womens-Premium-Cotton-Sleeveless%2Fdp%2FB01BNKJKDI%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1627821888%26sr%3D8-21-spons%26psc%3D1%26smid%3DA1O8TNEQMURBNZ&qualifier=1627821888&id=3216734332166154&widgetName=sp_mtf
Miss Chase Women's Light Blue Collared Full Sleeves Solid Buttoned Denim Jacket  ,,Sponsored,,"₹1,999",₹799,"Save ₹1,200 (60%)",3.8 out of 5 stars,53,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0456715G4XKEI1RP8YZ&url=%2FMiss-Chase-Womens-MCAW18DEN05-11-158-04_Light-Blue_Medium%2Fdp%2FB07JN8X4RQ%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjackets%26qid%3D1627821888%26sr%3D8-22-spons%26psc%3D1&qualifier=1627821888&id=3216734332166154&widgetName=sp_mtf
