name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Diverse Women's Stretchable Slim Jeans  ,,Sponsored,,"₹1,799",₹599,"Save ₹1,200 (67%)",3.9 out of 5 stars,4,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00366381LP8AYNWVHLHO&url=%2FDiverse-Womens-Stretchable-DCWDT01SC17L36-621F_Iron-Grey_30%2Fdp%2FB08N46BZ4W%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-1-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_atf
Diverse Women's Stretchable Skinny Jeans  ,,Sponsored,,"₹1,799",₹549,"Save ₹1,250 (69%)",5.0 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00363945Z20HCQJCVE7&url=%2FDiverse-Womens-Stretchable-DCWDT02KC17L36-622H_Prussian-Blue_34%2Fdp%2FB08N4VRY2G%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-2-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_atf
Diverse Women's Stretchable Slim Jeans  ,,Sponsored,,"₹1,599",₹499,"Save ₹1,100 (69%)",4.0 out of 5 stars,9,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00367943BW6X3Y09M9O3&url=%2FDiverse-Womens-Stretchable-Jeans-DCWDT01SC15L36-622C_Indigo_34%2Fdp%2FB08N3X9L8Q%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-3-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_atf
Miss Olive Women's Skinny Fit Slim Jeans  ,,Sponsored,,"₹1,999",₹616,"Save ₹1,383 (69%)",3.9 out of 5 stars,283,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A062591426LTL4UDDPP6C&url=%2FMiss-Olive-Womens-MOSS19DEN30-13-115_Mid-Blue_30%2Fdp%2FB07PBGC8V9%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-4-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_atf
Levi's Women's Boyfriend Skinny Jeans  ,,,,"₹2,299",₹970,"Save ₹1,329 (58%)",4.6 out of 5 stars,3,https://www.amazon.in/Levis-Womens-Boyfriend-Skinny-21325-0228_Blue_30/dp/B08WCQ6ZTY/ref=sr_1_5?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-5
Levi's Women's Boyfriend Skinny Jeans  ,,,,"₹2,299","₹1,368",Save ₹931 (40%),3.5 out of 5 stars,2,https://www.amazon.in/Levis-Womens-Boyfriend-Skinny-21306-0456_Blue_32/dp/B08XBHYMG5/ref=sr_1_6?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-6
KOTTY Womens High Rise Cotton Lycra Jeans  ,,,,,₹849,,2.5 out of 5 stars,10,https://www.amazon.in/KOTTY-Womens-Cotton-Lycra-Jeans/dp/B09174M8Q5/ref=sr_1_7?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-7
LAXELLA Womens Denim Joggers Fit Printed Jeans for Women and Girls Stretchable in Dark Blue & Sky Blue Color(Pack of 2)  ,,,,₹999,₹465,Save ₹534 (53%),3.0 out of 5 stars,24,https://www.amazon.in/LAXELLA-Womens-Joggers-Printed-Stretchable/dp/B093YTCZY8/ref=sr_1_8?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-8
KOTTY Womens High Rise Cotton Lycra Jeans  ,,,,,₹849,,,,https://www.amazon.in/KOTTY-Womens-Cotton-Lycra-Jeans/dp/B09174LR32/ref=sr_1_9?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-9
NIFTY Women's Jeans  ,,,,"₹1,299",₹528,Save ₹771 (59%),3.9 out of 5 stars,"2,063",https://www.amazon.in/NIFTY-Womens-Slim-Jeans-Jean_PLN_Gry_Grey_30/dp/B06XJ8HYMH/ref=sr_1_10?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-10
HOVAC Double Buttoned Slim Fit Stretchable Denim Jeans for Girl's and Women's (Ice Blue)  ,,,,"₹1,499",₹442,"Save ₹1,057 (71%)",4.6 out of 5 stars,3,https://www.amazon.in/HOVAC-Buttons-Stretchable-Denim-Womens/dp/B084TP6J5T/ref=sr_1_11?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-11
KOTTY Black and Grey Cotton Lycra Slim High Rise Women Jeans  ,,,,,₹849,,3.0 out of 5 stars,8,https://www.amazon.in/KOTTY-Black-Cotton-Lycra-KTTWOMENSJEANS706M/dp/B08RWR7TV6/ref=sr_1_12?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-12
Wearo Women's & Girls' Regular Fit Jeans  ,,,,"₹1,499",₹499,"Save ₹1,000 (67%)",3.9 out of 5 stars,45,https://www.amazon.in/Wearo-Womens-Girls-Regular-Jeans/dp/B0917WZZPC/ref=sr_1_13?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-13
AKA CHIC Women's Skinny fit Jeans  ,,,,"₹2,199",₹291,"Save ₹1,908 (87%)",3.8 out of 5 stars,10,https://www.amazon.in/AKA-CHIC-AKCB-1305-B_Light/dp/B08G2RJXW3/ref=sr_1_14?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-14
AKA CHIC Women Jeans  ,,,,"₹2,599",₹849,"Save ₹1,750 (67%)",4.0 out of 5 stars,828,https://www.amazon.in/AKA-CHIC-Womens-AKCB-1445_Blue_30/dp/B07ZVS5B7K/ref=sr_1_15?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-15
Amazon Brand - Symbol Women's Skinny Fit Jeans  ,,,,"₹1,999",₹777,"Save ₹1,222 (61%)",3.9 out of 5 stars,878,https://www.amazon.in/Amazon-Brand-Symbol-SS19DNM002E_Med-Blue_32/dp/B07QGVDK7Z/ref=sr_1_16?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-16
AKA CHIC Women Jeans  ,,,,"₹2,399",₹799,"Save ₹1,600 (67%)",4.2 out of 5 stars,196,https://www.amazon.in/AKA-CHIC-Womens-AKCB-1429_Blue_34/dp/B07W48JQ9Q/ref=sr_1_17?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-17
AKA CHIC Women's Skinny fit Jeans  ,,,,"₹2,299",₹450,"Save ₹1,849 (80%)",4.0 out of 5 stars,7,https://www.amazon.in/AKA-CHIC-AKCB-1202-D_Light/dp/B08G2YSBTB/ref=sr_1_18?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-18
AKA CHIC Women's Tapered Fit Relaxed Jeans  ,,,,"₹2,699",₹849,"Save ₹1,850 (69%)",3.4 out of 5 stars,171,https://www.amazon.in/AKA-CHIC-Tapered-AKCB-1438_Blue_28/dp/B07ZVS123R/ref=sr_1_19?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-19
AKA CHIC Women's Skinny Fit Jeans  ,,,,"₹2,399",₹304,"Save ₹2,095 (87%)",,,https://www.amazon.in/AKA-CHIC-Womens-AKCB1474_Dark-Blue_32/dp/B08T1JSH1R/ref=sr_1_20?dchild=1&keywords=women+jeans&qid=1624686452&sr=8-20
AMERICAN CREW Women's Slim Fit Ankle Jeans  ,,Sponsored,Only 4 left in stock.,,₹699,,3.4 out of 5 stars,8,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A052642712QBDVIPN6TYR&url=%2FAMERICAN-CREW-Womens-Indigo-Jeans%2Fdp%2FB07V9R6JK6%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-21-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_mtf
AMERICAN CREW Women's Slim Fit Ankle Jeans  ,,Sponsored,,,₹699,,3.7 out of 5 stars,5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05385483DQHSIM0FY4OJ&url=%2FAMERICAN-CREW-Womens-Indigo-Jeans%2Fdp%2FB07VFFLXK3%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-22-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_mtf
Raiter Women's Cotton Skinny Fit Jeans  ,,Sponsored,,"₹1,498",₹599,Save ₹899 (60%),3.8 out of 5 stars,152,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03174251PAT0TOMU8BFT&url=%2FRaiter-Women-Cotton-Skinny-Light%2Fdp%2FB07VVLWH64%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-23-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_mtf
AKA CHIC Women's Relaxed Fit Jeans  ,,Sponsored,,"₹2,399",₹849,"Save ₹1,550 (65%)",4.2 out of 5 stars,656,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09632183Q9YJFPYBDY0A&url=%2FAKA-CHIC-Relaxed-AKCB-1425_Blue_36%2Fdp%2FB07W3V8GDW%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1624686452%26sr%3D8-24-spons%26psc%3D1&qualifier=1624686452&id=4665444485814161&widgetName=sp_mtf
