name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
ONLY Women's Skinny Fit Jeans  ,,Sponsored,,"₹2,999","₹1,299","Save ₹1,700 (57%)",3.2 out of 5 stars,5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0872679DEE1XM7PJSHY&url=%2FONLY-Womens-Skinny-2121059002_Dark-Denim_30%2Fdp%2FB08DS1SFFZ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1625062711%26sr%3D8-1-spons%26psc%3D1&qualifier=1625062711&id=2586055340674617&widgetName=sp_atf
Miss Chase Women's Light Blue Wide-Leg Fit High Rise Clean Look Regular Length Stretchable Denim Jeans  ,,Sponsored,Only 1 left in stock.,"₹1,899",₹855,"Save ₹1,044 (55%)",3.8 out of 5 stars,378,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04607862KKGD871OKWV8&url=%2FMiss-Chase-Wide-Leg-MCAW18DEN02-80-158-32_Light-Blue_32%2Fdp%2FB07HQJGKFT%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1625062711%26sr%3D8-2-spons%26psc%3D1&qualifier=1625062711&id=2586055340674617&widgetName=sp_atf
ONLY Women Casual Jeans  ,,Sponsored,,"₹2,499",₹899,"Save ₹1,600 (64%)",4.6 out of 5 stars,3,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08998711RKD44LPVW3US&url=%2FONLY-Womens-Skinny-201571401_Black-Denim_26%2Fdp%2FB07HGMVXRZ%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1625062711%26sr%3D8-3-spons%26psc%3D1&qualifier=1625062711&id=2586055340674617&widgetName=sp_atf
AKA CHIC Women's Skinny Fit Jeans  ,Deal of the Day ,Sponsored,,"₹1,999",₹749,"Save ₹1,250 (63%)",4.0 out of 5 stars,563,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03195041HCSUIMZQ8JYZ&url=%2FAKA-CHIC-Womens-AKCB-1301_Black_26%2Fdp%2FB07PD4T7M2%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bjeans%26qid%3D1625062711%26smid%3DAT95IG9ONZD7S%26sr%3D8-4-spons%26psc%3D1&qualifier=1625062711&id=2586055340674617&widgetName=sp_atf
AKA CHIC Women's Skinny fit Jeans  ,,,,"₹2,599",₹599,"Save ₹2,000 (77%)",4.3 out of 5 stars,10,https://www.amazon.in/AKA-CHIC-AKCB-1464-Blue_28/dp/B08G399JBH/ref=sr_1_5?dchild=1&keywords=women+jeans&qid=1625062711&sr=8-5
KOTTY Womens High Rise Cotton Lycra Jeans  ,,,,,₹849,,2.5 out of 5 stars,10,https://www.amazon.in/KOTTY-Womens-Cotton-Lycra-Jeans/dp/B09174M8Q5/ref=sr_1_6?dchild=1&keywords=women+jeans&qid=1625062711&sr=8-6
KOTTY Women's Loose Fit Jeans  ,,,,"₹1,999",₹809,"Save ₹1,190 (60%)",3.6 out of 5 stars,55,https://www.amazon.in/KOTTY-Womens-Loose-Jeans-KTTLADIESJEANS670M_Black_28/dp/B08L25T3QL/ref=sr_1_7?dchild=1&keywords=women+jeans&qid=1625062711&sr=8-7
NIFTY Women's Jeans  ,,,,"₹1,299",₹528,Save ₹771 (59%),3.9 out of 5 stars,"2,107",https://www.amazon.in/NIFTY-Womens-Slim-Jeans-Jean_PLN_Gry_Grey_30/dp/B06XJ8HYMH/ref=sr_1_8?dchild=1&keywords=women+jeans&qid=1625062711&sr=8-8
AKA CHIC Women's Skinny Fit Jeans  ,,,,"₹2,399",₹326,"Save ₹2,073 (86%)",,,https://www.amazon.in/AKA-CHIC-Womens-AKCB1474_Dark-Blue_30/dp/B08T1TLW54/ref=sr_1_9?dchild=1&keywords=women+jeans&qid=1625062711&sr=8-9
HOVAC Double Buttoned Slim Fit Stretchable Denim Jeans for Girl's and Women's (Ice Blue)  ,,,,"₹1,499",₹442,"Save ₹1,057 (71%)",4.1 out of 5 stars,4,https://www.amazon.in/HOVAC-Buttons-Stretchable-Denim-Womens/dp/B084TP6J5T/ref=sr_1_10?dchild=1&keywords=women+jeans&qid=1625062711&sr=8-10
