name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Unifab Women's Formal Black Shirt  ,,Sponsored,,"₹1,299",₹599,Save ₹700 (54%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02514142E1MCVUPRPP1U&url=%2FUnifab-Womens-Formal-Black-Shirt%2Fdp%2FB08ZS85SKB%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bshirts%26qid%3D1625720953%26sr%3D8-1-spons%26psc%3D1&qualifier=1625720953&id=4459737357001009&widgetName=sp_atf
Unifab Women's Formal White Shirt  ,,Sponsored,,"₹1,299",₹599,Save ₹700 (54%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0252094EQ4JHCJL3GMZ&url=%2FUnifab-Womens-Formal-White-FSF500B_36%2Fdp%2FB08ZRR1KGB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bshirts%26qid%3D1625720953%26sr%3D8-2-spons%26psc%3D1&qualifier=1625720953&id=4459737357001009&widgetName=sp_atf
Wish Tree Women Floral Print Casual Shirt  ,,Sponsored,,"₹1,299",₹444,Save ₹855 (66%),,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01794283AAZYZ2RUFIR2&url=%2FWish-Tree-Women-Floral-Casual%2Fdp%2FB08LD5T78J%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bshirts%26qid%3D1625720953%26sr%3D8-3-spons%26psc%3D1&qualifier=1625720953&id=4459737357001009&widgetName=sp_atf
Amazon Brand - Symbol Women's Slim Fit Shirt  ,,Sponsored,,"₹1,599",₹520,"Save ₹1,079 (67%)",3.6 out of 5 stars,27,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0794586VZL14NQPFJ7M&url=%2FAmazon-Brand-Symbol-Womens-INS-2601S_Green%2Fdp%2FB083SVZS49%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwomen%2Bshirts%26qid%3D1625720953%26sr%3D8-4-spons%26psc%3D1&qualifier=1625720953&id=4459737357001009&widgetName=sp_atf
Leriya Fashion Offers All Kinds of Tops for Both Women and Girls - Tops for Women  ,Best seller,,,"₹1,999",₹399,"Save ₹1,600 (80%)",3.4 out of 5 stars,"1,044",https://www.amazon.in/gp/bestsellers/apparel/1968444031/ref=sr_bs_4_1968444031_1
J B Fashion Women's Animal Print Regular fit (Shirt White L)  ,Limited time deal,,,"₹1,499",₹439,"Save ₹1,060 (71%)",3.6 out of 5 stars,543,https://www.amazon.in/Jaybhavanifashion-Womens-Shirt-white-shirt_Large_White/dp/B01F38LBDS/ref=sr_1_6?dchild=1&keywords=women+shirts&qid=1625720953&sr=8-6
Harpa Women Boat Neck Solid Top  ,,,,"₹1,199",₹393,Save ₹806 (67%),3.9 out of 5 stars,"1,277",https://www.amazon.in/Harpa-Womens-Plain-Regular-GR5693_Pink_Medium/dp/B07NGN61XK/ref=sr_1_7?dchild=1&keywords=women+shirts&qid=1625720953&sr=8-7
DAMEN MODE Women Red Checkered Cotton Shirt  ,,,,,₹375,,3.7 out of 5 stars,857,https://www.amazon.in/DAMEN-MODE-Women-White-Medium/dp/B07BL65R1Q/ref=sr_1_8?dchild=1&keywords=women+shirts&qid=1625720953&sr=8-8
FUNDAY FASHION Women's Long Sleeve Formal Shirt  ,Deal of the Day ,,,"₹1,299",₹250.86,"Save ₹1,048.14 (81%)",3.6 out of 5 stars,"1,049",https://www.amazon.in/FUNDAY-FASHION-Womens-Sleeve-Formal/dp/B07RRL8GD8/ref=sr_1_9?dchild=1&keywords=women+shirts&qid=1625720953&sr=8-9
Amazon Brand - Symbol Women Shirt  ,,,,"₹1,399",₹245,"Save ₹1,154 (82%)",2.7 out of 5 stars,3,https://www.amazon.in/Amazon-Brand-Symbol-Regular-TP051_Off/dp/B083C6DB3F/ref=sr_1_10?dchild=1&keywords=women+shirts&qid=1625720953&sr=8-10
