name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Bubble Gum Shirt,,COLOR OF THE MONTH,,1599,₹699,,,,
Black Mandarin Collar Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹799,,,,
Gibral Tar Sea Mandarin Collar Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹799,,,,
Tusok Men Short Sleeve Rayon Printed Leafy Grey Ash Shirt,,,FEW LEFT,949,₹799,,,,
Men's Printed Indigo Shirt,,,,1399,₹899,,,,
Black Solid Half Sleeve Shirt,,,,1249,₹799,,,,
Tusok Men Short Sleeve Cotton Printed Leaf Pineapple Fruit Blue Shirt,,,FEW LEFT,949,₹799,,,,
Heather Rose Mandarin Collar Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹799,,,,
White Seersucker Slim Fit Casual Shirt,BUY 2 GET 1,,,1299,₹899,,,,
Men's Printed Mandarin Collar T-Shirt,,,,1199,₹549,,,,
Campus Sutra Cotton Shirt for men,,,,1399,₹839,,,,
Men Checks Casual Stylish Spread Shirt,,,,1499,₹824,,,,
White Mandrin CollarPique Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹799,,,,
Men's Printed Ethnic Half Sleeves Maroon Shirt,,,FEW LEFT,1399,₹499,,,,
The Bear House Printed Casual Shirt,,,,1995,₹1097,,,,
Hangup Solid Casual Shirt,,,,1599,₹799,,,,
Tusok Men Short Sleeve Cotton Printed Scenery Green Scenic Shirt,,,FEW LEFT,949,₹799,,,,
Tusok Men Short Sleeve Cotton Printed Green Leafy Beige Shirt,,,FEW LEFT,949,₹799,,,,
Beige Cotton Melange Shirt,,,,1499,₹749,,,,
Dark Blue Poplin Print Shirt,,,,1399,₹699,,,,
Men Checks Casual Spread Shirt,,,,1399,₹839,,,,
Snitch Mustard Double Pocket Cotlin Shirt,,,,,₹1199,,,,
Men White AOP Slim Fit Casual Shirt,,,,1299,₹599,,,,
Snitch Elitist White Shirt,,,,,₹1099,,,,
Comfort Pique Knit Navy Shirt,,,,1299,₹699,,,,
Men's Yellow Slim Fit Casual Indigo Shirt,BUY 2 GET 1,,,1299,₹799,,,,
Mens Checks Double Pocket Shirt,,,,1799,₹799,,,,
Blue Poplin Print Shirt,,,,1399,₹699,,,,
Dark Blue Casual Over Dyed Shirt,BUY 2 GET 1,,,1299,₹999,,,,
Tusok Men Short Sleeve Cotton Printed Green Camouflage Shirt,,,FEW LEFT,949,₹799,,,,
White SLUB Shirt,BUY 1 GET 1,,,1399,₹999,,,,
Snitch Navy Enigma Cut & Sew Shirt,,,,,₹1099,,,,
Comfort Stretch Pique Knit White Shirt,,,,1299,₹699,,,,
Men's Beige Casual Slim Fit Over Dyed Shirts,BUY 2 GET 1,,,1299,₹899,,,,
Snitch Brick Red Double Pocket Cotlin Shirt,,,,,₹1199,,,,
Men Checks Stylish New Trends Spread Casual Shirt,,,,1499,₹824,,,,
Blue Seersucker Slim Fit Casual Shirt,BUY 2 GET 1,,,1299,₹899,,,,
Men's Printed Indigo Shirt,,,,1399,₹899,,,,
Men Solid Stylish New Trends Casual Spread Shirt,,,,1599,₹879,,,,
The Bear House Men'S Short Sleeves Printed Shirt,,,,1995,₹798,,,,
Tusok Men Short Sleeve Cotton Printed Jaipuri Block Geometric Yellow Shirt,,,FEW LEFT,949,₹799,,,,
Men's Blue Slim Fit Casual Melange Shirt,,,,1299,₹799,,,,
Tusok Men Short Sleeve Cotton Printed Leafy Pink Floral Shirt,,,FEW LEFT,949,₹799,,,,
Men AOP Slim Fit Casual Shirt,,,,1299,₹599,,,,
Snitch Curvet Blue Shirt,,,,,₹699,,,,
Men White AOP Slim Fit Casual Shirt,,,,1299,₹599,,,,
Mens Sleeveless Checks Hoodie Shirt,,,,1399,₹899,,,,
Snitch Glimmer Plus Size White Shirt,,,,,₹1399,,,,
Snitch Glimmer Plus Size Black Shirt,,,,,₹1399,,,,
Men's Navy Slim Fit Casual Oxford Shirt,,,,1299,₹799,,,,
The Bear House The Bear House Cotton-Linen Button-Down Shirt,,,,2295,₹689,,,,
Mens Sleeveless Checks Hoodie Shirt,,,,1399,₹649,,,,
Campus Sutra Men Stylish Casual Shirt,,,,1499,₹899,,,,
Campus Sutra Men Stylish Casual Shirt,,,,1499,₹899,,,,
AOP Satin Print Half Sleeve Shirt,,,,1449,₹699,,,,
Grey Camo Full Sleeve Camo Shirt,BUY 2 GET 1,,,1049,₹799,,,,
Tusok Men Short Sleeve Cotton Printed Tilted Fish Shirt,,,FEW LEFT,949,₹799,,,,
Campus Sutra Men Casual Checkered Shirt,,,,1499,₹839,,,,
Light Blue Twill Lycra Print Shirt,,,,1499,₹749,,,,
Men's Lt Blue Casual Slim Fit Over Dyed Shirt,BUY 2 GET 1,,,1299,₹749,,,,
Campus Sutra Men Solid Full Sleeve Stylish Casual Shirts,,,,1499,₹824,,,,
Yolo Yellow Stripe Shirt,,,,1399,₹699,,,,
Men's Lt Blue Slim Fit Casual Oxford Shirt,,,,1299,₹799,,,,
Grey Print AOP Shirt,,,,1399,₹849,,,,
White Twill Lycra Print Shirt,,,,1499,₹599,,,,
Olive Madarin Collar Print Shirt,BUY 1 GET 1,,,1399,₹999,,,,
Mens Checks Pocket Casual Shirt,,,,1499,₹699,,,,
Retro Red Stripe Shirt,,,,1299,₹749,,,,
Campus Sutra Men Black Regular Fit Solid Casual Shirt,,,,1499,₹899,,,,
Beach Blue Comfort Stretch Pique Shirt,,,,1299,₹699,,,,
Seashell Pink Solid Half Sleeve Shirt,,,,1249,₹799,,,,
Comfort Stretch Pique Knit Mustard Shirt,,,,1299,₹699,,,,
Mens Checks Pocket Casual Shirt,,,,1499,₹699,,,,
Mens Checks Pocket Casual Shirt,,,,1499,₹899,,,,
Snitch Florite Green Shirt,,,,,₹699,,,,
Men's Slim Fit Casual Cotton Indigo Shirt,,,,1299,₹799,,,,
Citron Solid Half Sleeve Shirt,,,,1249,₹799,,,,
Snitch Dark Khaki Double Pocket Cotlin Shirt,,,,,₹1199,,,,
Hangup Printed Casual Daily Wear Shirt,,,,1999,₹599,,,,
School Ruined My Life Shirt,,,,1399,₹699,,,,
Men's Printed Ethnic Half Sleeves White Shirt,,,,1399,₹549,,,,
Arcade Green Checks Casual Shirt,BUY 2 GET 1,,,1299,₹899,,,,
Tusok Men Short Sleeve Cotton Printed White Graphical Surfer Shirt,,,FEW LEFT,949,₹649,,,,
Mens Sleeveless Checks Hoodie Shirt,,,,1399,₹899,,,,
Mens Checks Double Pocket Shirt,,,,1799,₹899,,,,
Men Maroon Seersucker Slim Fit Casual Shirt,BUY 2 GET 1,,,1299,₹999,,,,
Mens Checks Pocket Casual Shirt,,,,1499,₹699,,,,
Navy AOP Blue Shirt,,,,1499,₹699,,,,
Tusok Men Short Sleeve Cotton Printed Palm Tree Pink Peach Shirt,,,FEW LEFT,949,₹799,,,,
Men Navy AOP Slim Fit Casual Shirt,BUY 2 GET 1,,,1299,₹699,,,,
White Pique Half Sleeve Shirt,,,,1249,₹799,,,,
Mens Checks Hoodie Shirt,,,,1799,₹899,,,,
Men's Printed Indigo Shirt,,,,1399,₹899,,,,
Campus Sutra Men Stylish Casual Shirt,,,,1499,₹899,,,,
