name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Seashell Pink Solid Half Sleeve Shirt,BUY 2 GET 1,,,1249,₹799,,,,
Light Blue Cotton Melange Shirt,,,,1499,₹649,,,,
Beige Cotton Melange Shirt,,,,1499,₹649,,,,
Black Mandarin Collar Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹899,,,,
Black Solid Half Sleeve Shirt,BUY 2 GET 1,,,1249,₹799,,,,
Men Navy AOP Slim Fit Casual Shirt,,,,1299,₹599,,,,
Men White AOP Slim Fit Casual Shirt,,,,1299,₹449,,,,
Blue Seersucker Slim Fit Casual Shirt,,,,1299,₹899,,,,
Camo Print AOP Shirt,,LAST SIZES LEFT - SPECIAL PRICE,,1399,₹799,,,,
Dark Blue Casual Over Dyed Shirt,BUY 2 GET 1,,,1299,₹999,,,,
Citron Solid Half Sleeve Shirt,BUY 2 GET 1,,,1249,₹799,,,,
Men's Printed Indigo Shirt,BUY 2 GET 1,,,1399,₹899,,,,
The Bear House Men'S Blue Printed Denim Shirt,,,,2795,₹1202,,,,
Campus Sutra Men Stylish Graphic Design Full Sleeve Casual Shirts,,,,1599,₹959,,,,
Gibral Tar Sea Mandarin Collar Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹899,,,,
Mens Sleeveless Checks Hoodie Shirt,,,,1399,₹649,,,,
White Twill Lycra Print Shirt,,,,1499,₹599,,,,
Men's Blue Slim Fit Casual Melange Shirt,,,,1299,₹799,,,,
White Mandrin CollarPique Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹899,,,,
Men's Printed Manadarin Collar Black Shirt,,,,1299,₹699,,,,
White Pique Half Sleeve Shirt,BUY 2 GET 1,,,1249,₹799,,,,
Men's Dk Olive Slim Fit Casual Oxford Shirt,,,,1299,₹649,,,,
Heather Rose Mandarin Collar Half Sleeve Shirt,BUY 1 GET 1,,,1249,₹899,,,,
Beach Blue Comfort Stretch Pique Shirt,BUY 2 GET 1,,FEW LEFT,1299,₹749,,,,
