name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
White Contrast Sleeve Polo,,,,1199,₹649,,,,
Navy Short Collar Tipping Polo,,,,1199,₹699,,,,
Anthra Melange & Black Melange Cut & Sew Polo,BUY 1 GET 1,,,899,₹699,,,,
Black Contrast Sleeve Polo,,,,1199,₹649,,,,
Light Blue Half & Half Polo,,,,1299,₹799,,,,
Seashell Pink Contrast Sleeve Polo,,,,1199,₹649,,,,
Warm Olive Art is Art Color Block Polo,,,,1399,₹799,,,,
Shaded Spruce Standing Collar Zipper Polo,,,,1299,₹699,,,,
Citron Contrast Sleeve Polo,,,,1199,₹649,,,,
Egret Melange Contrast Shoulder Polo,BUY 1 GET 1,,,899,₹699,,,,
Navy Candy Color Block Polo,,,,1299,₹799,,,,
Chili Pepper Shoulder Stripe Polo,,,,1299,₹699,,,,
Mustard Yellow Classic Polo,BUY 2 GET 1,,,999,₹749,,,,
Captain America Logo Sleeve Panel Polo (AVL),BUY 1 GET 1,,,999,₹499,,,,
White Full Sleeve Henley T-Shirt,BUY 2 GET 1,,,499,₹349,,,,
White Half Sleeve Contrast Zipper Polo,,,,999,₹549,,,,
Meteor Grey Full Sleeve Henley T-Shirt,BUY 2 GET 1,,,499,₹349,,,,
Light Blue Candy Color Block Polo,,,,1299,₹799,,,,
Olive Short Collar Tipping Polo,,,,1199,₹699,,,,
Chili Pepper Half Sleeve Tipping polo,,,,999,₹499,,,,
High on Life Varsity Polo,,,,1299,₹699,,,,
Chili Pepper Short Collar Tipping Polo,,,,1199,₹699,,,,
Warm Olive Raglan Zipper Polo,,,,1299,₹749,,,,
Black Half Sleeve Contrast Polo,,,,999,₹499,,,,
Chili Pepper Contrast Collar Zipper Polo,,,,1299,₹749,,,,
Baleine Blue Half Sleeve Raglan Shoulder Cut & Sew Polo,BUY 2 GET 1,,,1049,₹699,,,,
Black Varsity Polo,,,,1199,₹699,,,,
Pitch Black Classic Polo,,,,999,₹499,,,,
High Maintenance Navy Polo,,,,1299,₹749,,,,
Sunny Lime  Pique Polo,,,,999,₹499,,,,
Marvel Shield Camo Green Raglan Polo T-Shirts,BUY 2 GET 1,,,1299,₹649,,,,
High Maintenance Chili Pepper Polo,,,,1299,₹749,,,,
Enjoy Coca-Cola Half Sleeves Polo T-Shirt,BUY 2 GET 1,,,,₹699,,,,
Pastle Yellow Full Sleeve Henley T-Shirt,BUY 2 FOR 549,FLASH SALE,,599,₹279,,,,
Neon Green Full Sleeve Henley T-Shirt,BUY 2 GET 1,,,499,₹399,,,,
Navy Shoulder Stripe Polo,,,,1299,₹699,,,,
French Navy Classic Polo,,,,999,₹499,,,,
Hulk T-Shirt (AVL) Three Panel Polo,BUY 2 GET 1,,,999,₹699,,,,
Seashell Pink Art is Art Color Block Polo,,,,1399,₹799,,,,
Chili Pepper Contrast Shoulder Cut & Sew Polo,,,,1049,₹549,,,,
Shaded Spruce Contrast Sleeve Polo,,,,1199,₹799,,,,
White Contrast Shoulder Cut & Sew Polo,,,,1049,₹549,,,,
Turquoise Contrast Thread Polo,,,,1049,₹549,,,,
Retro Red Polo T-Shirt,,,,1199,₹599,,,,
Blue Haze V-Neck Henley T-Shirt,,,,499,₹399,,,,
Enjoy Coca-Cola Half Sleeves Polo T-Shirt,BUY 2 GET 1,,,,₹699,,,,
Chili Pepper Standing Collar Zipper Polo,,,,1299,₹699,,,,
White Contrast Sleeve Polo,,,,1199,₹799,,,,
White-Dark Navy-Cyber Yellow Asymmetric Polo T-Shirt,,,,1299,₹449,,,,
Burnt Orange & White Half Sleeve Stripes Polo,,,,1049,₹549,,,,
Imperial Red-White Contrast Collar Pique Polo T-Shirt,,,,1299,₹499,,,,
Seashell Pink Varsity Polo,,,,1199,₹699,,,,
Black Raglan Zipper Polo,,,,1299,₹749,,,,
Baleine Contrast Shoulder Cut & Sew Polo,,,,1049,₹549,,,,
Chili Pepper Raglan Contrast Polo,,,,1049,₹549,,,,
Marvel Shield Raglan Contrast Polo,BUY 2 GET 1,,,1299,₹649,,,,
Black Contrast Shoulder Cut & Sew Polo,,,,1049,₹549,,,,
White Half Sleeve Raglan Contrast Polo,,,,1049,₹549,,,,
