name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Gamer Men Socks Combo,BUY 2 GET 1,,,499,₹349,,,,
Hp Full-Length Socks,,,,299,₹199,,,,
Lmao & School Runied Combo,BUY 2 GET 1,,,699,₹399,,,,
Lover of Beer Ankle Length Socks,,,,249,₹139,,,,
Rasta Block Ankle Length Socks,,,,249,₹139,,,,
Stoner's Block No Show Socks,,,,199,₹179,,,,
Flow Ankle Length Rawl Socks,BUY 1 GET 1,,,,₹249,,,,
Gamer Console No Show Socks,,,,199,₹179,,,,
Stoner Gamer No Show Combo Socks,,,,,₹349,,,,
Brown Mocha Pack of 3 Black Ankle Length Socks,,,,599,₹499,,,,
Brown Mocha Pack of 3 Bold Tribe Socks,,,,499,₹399,,,,
Mint & Oak Gift box of 3 Socks - Dog,,,,1197,₹1050,,,,
The Moja Club printed Socks,,,,299,₹269,,,,
The Moja Club printed Socks,,,,399,₹359,,,,
Mint & Oak Gift box of 3 Socks - BESTSELLERS,,,,1197,₹1050,,,,
Mint & Oak Set Of 2 - Nautical,,,,798,₹699,,,,
Soxytoes Bibliophille Ankle Socks (Pack of 3),,,,599,₹569,,,,
Soxytoes Funky Monkeys Crew Socks (Pack of 3),,,,499,₹474,,,,
Nautical Navy No Show Socks,,,,199,₹179,,,,
Brown Mocha Pack of 2 Glee Ankle Length Socks,,,,499,₹399,,,,
Teal And Black Ankle Combo Socks,,,,449,₹349,,,,
The Moja Club printed Socks,,,,299,₹269,,,,
Brown Mocha Pack of 2 Sanity Ankle Length Socks,,,,499,₹399,,,,
The Moja Club printed Socks,,,,399,₹359,,,,
Mint & Oak Ankle Combo For Men - Animals,,,,1050,₹897,,,,
Brown Mocha Pack of 3 White Ankle Length Socks,,,,599,₹499,,,,
Brown Mocha Pack of 2 Hush Ankle Length Socks,,,,499,₹399,,,,
Brown Mocha Pack of 2 Fling Ankle Length Socks,,,,499,₹399,,,,
Soxytoes The Cue-rious case Ankle Socks,,,,199,₹189,,,,
Soxytoes Beguiling Argyle Ankle Socks,,,,199,₹189,,,,
Soxytoes Sockaholic Crew Socks (Pack of 3),,,,499,₹449,,,,
Soxytoes Code Red Crew Socks (Pack of 3),,,,749,₹712,,,,
Soxytoes The Game Night Crew & Ankle Socks (Pack of 2),,,,448,₹403,,,,
Soxytoes Ballsies II Ankle Socks (Pack of 3),,,,599,₹377,,,,
Mint & Oak Gift box of 3 Socks - ON THE MOVE,,,,1197,₹1050,,,,
Mint & Oak Gift box of 3 Socks - TROPICAL,,,,1197,₹1050,,,,
Mint & Oak Gift box of 3 Socks - HANDPICKED,,,,1197,₹1050,,,,
Mint & Oak Gift box of 3 Socks - ANIMAL KINGDOM,,,,1197,₹1050,,,,
Mint & Oak Gift box of 3 Socks - POLKA LOVE,,,,1197,₹1050,,,,
The Moja Club printed Socks,,,,399,₹359,,,,
The Moja Club printed Socks,,,,399,₹359,,,,
The Moja Club printed Socks,,,,399,₹359,,,,
The Moja Club printed Socks,,,,299,₹269,,,,
The Moja Club printed Socks,,,,399,₹359,,,,
Mint & Oak Ankle Combo For Men - Vehicle,,,,1050,₹897,,,,
Mint & Oak Gift Box Of 3 - A Bit Of Red,,,,1197,₹1050,,,,
Mint & Oak Set Of 2 - Tropical,,,,798,₹699,,,,
Mint & Oak Gift Box Of 3 - The Auto,,,,1197,₹1050,,,,
Mint & Oak Set Of 2 - A Dash Of Pink,,,,798,₹699,,,,
Mint & Oak Gift Box Of 3 - Panda,,,,1197,₹1050,,,,
Mint & Oak Set Of 2 - Animals,,,,798,₹699,,,,
Mint & Oak Ankle Combo For Men - Favourites,,,,1050,₹897,,,,
Brown Mocha Pack of 2 Moxie Ankle Length Socks,,,,499,₹399,,,,
Brown Mocha Pack of 2 Serene Ankle Length Socks,,,,499,₹399,,,,
The Moja Club printed Socks,,,,299,₹269,,,,
Mint & Oak Gift Box of 3 - DRIFT AWAY,,,,1197,₹1050,,,,
Mint & Oak Gift Box of 3 - SIMPLY BLUE,,,,1197,₹1050,,,,
