name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Men's Cut and Sew Joggers,BUY 1 GET 1,,,1599,₹1199,,,,
Men's Cargo Zipper Joggers,,,,1899,₹999,,,,
Men's Solid Plain Jogger Pant,BUY 1 GET 1,,,1299,₹1199,,,,
Wine Red Cotton Jogger Pants,BUY 2 GET 1,,,1699,₹999,,,,
Men's Cut and Sew Joggers,,,,1599,₹999,,,,
Jet Black Casual Jogger Pants,BUY 2 GET 1,,FEW LEFT,899,₹699,,,,
Men's Cargo Zipper Joggers,BUY 1 GET 1,,,1899,₹1499,,,,
Meteor Grey Men's Plain Casual Jogger With Elastic at Ankle,BUY 2 GET 1,,,1399,₹1049,,,,
Color Don't Bother AOP Joggers,BUY 2 GET 1,,,1499,₹899,,,,
Royal Logo Side Tape Casual Joggers,,,,1499,₹799,,,,
Retro Red Side Panel Joggers,,,,1499,₹799,,,,
Jet Black Casual Jogger Pants With Zipper,BUY 2 GET 1,,,1299,₹999,,,,
Re - Imagined Side Panel Joggers,BUY 2 GET 1,,FEW LEFT,1599,₹899,,,,
Atlantic Deep Men's Core Joggers,BUY 2 GET 1,,,1299,₹849,,,,
Alpha Green Casual Jogger Pants,,,,999,₹799,,,,
Black Men's Plain Casual Jogger With Elastic at Ankle,BUY 2 GET 1,,,1399,₹1049,,,,
Desert Beige Cotton Jogger Pants,BUY 2 GET 1,,,1699,₹1299,,,,
Black-Neon Lime Reflector Jogger,BUY 2 GET 1,,,1699,₹1299,,,,
Navy Blue Cotton Joggers Pants,BUY 1 GET 1,,,1699,₹1399,,,,
Peageant Blue Men's Plain Casual Jogger With Elastic at Ankle,BUY 2 GET 1,,,1399,₹1049,,,,
Pageant Blue Men's Drop Crotch Joggers,BUY 1 GET 1,,,,₹1299,,,,
Popcorn Yellow Tie & Dye Joggers,,,,1999,₹899,,,,
Pageant Blue Men's Core Joggers,BUY 2 GET 1,,,1299,₹849,,,,
Men's Melange Joggers,,,,1149,₹499,,,,
Pageant Blue Basic Jogger Pants,BUY 2 GET 1,,,1299,₹999,,,,
Sky Blue Cotton Jogger Pants,BUY 2 GET 1,,,1699,₹1299,,,,
Jet Black Cotton Jogger Pants,BUY 1 GET 1,,,1699,₹1399,,,,
Olive Camo White Stripe Casual Jogger,,,,1499,₹899,,,,
Care Free Cargo Joggers Pants,,,,1599,₹749,,,,
Popcorn Yellow Sport Trim Joggers,,,,1499,₹749,,,,
Mickey Silhouette AOP Joggers (DL),,,,1399,₹749,,,,
Men's True Indigo Joggers,,,,1499,₹799,,,,
White Pride Side Panel Jogger's,,,FEW LEFT,1399,₹899,,,,
Men's Cut and Sew Joggers,BUY 2 GET 1,,,1599,₹1049,,,,
Dark Maroon Casual Jogger Pant,BUY 2 GET 1,,,999,₹899,,,,
Men's Drop Crotch Plain Joggers Pant,BUY 2 GET 1,,,1299,₹849,,,,
Badass Number Sports Trim Joggers,BUY 2 GET 1,,FEW LEFT,1599,₹899,,,,
Dark Navy Chino Joggers,,,,1499,₹999,,,,
Retro Red Sports Trim Joggers,,,,1499,₹799,,,,
Black Basic Jogger Pants,,,,1299,₹899,,,,
Dark Forest Green Casual Jogger Pants,BUY 2 GET 1,,,899,₹699,,,,
Coca-Cola Color Block Jogger,BUY 2 GET 1,,,,₹899,,,,
Hashtag Blue Sport Trim Jogger,BUY 2 GET 1,,,1949,₹899,,,,
Beach Blue Color Block Joggers,,,,1299,₹899,,,,
Superman minimal (SML) AOP Jogger Pants,,,,1399,₹799,,,,
Captain America Moss Green Badge Joggers,,,,1399,₹499,,,,
KKR Logo 2.0 Basic Casual Joggers,BUY 1 GET 1,,,1499,₹1399,,,,
Dark Forest Green Zipper Jogger,BUY 2 GET 1,,,1299,₹999,,,,
Black Pride Basic Joggers's,,,FEW LEFT,1399,₹899,,,,
Men's Melange Zipper Joggers,BUY 1 GET 1,,,1249,₹1049,,,,
School Ruined My Life AOP Joggers,,,,1399,₹649,,,,
Dark Olive Cotton Jogger Pants,BUY 2 GET 1,,,1699,₹1299,,,,
Dark Maroon Jogger Pants,,,,1299,₹599,,,,
Jet Black Men's Ottoman Panel Jogger,,,FEW LEFT,1399,₹1199,,,,
Navy Blue Plus Size Casual Jogger Pants,,,,1299,₹999,,,,
Sky Blue Casual Jogger Pants With Zipper,,,,1299,₹599,,,,
Dark Grey Plus Size Casual Jogger Pants,BUY 2 GET 1,,,1299,₹899,,,,
Kkr Est 2008 Joggers,BUY 1 GET 1,,,1499,₹1399,,,,
Navy Blue Zipper Jogger,BUY 2 GET 1,,,1299,₹999,,,,
Jet Black Plus Size Casual Jogger Pants,,,,1299,₹999,,,,
Popcorn Yellow Sport Trim Joggers,,,,1599,₹899,,,,
Fugazee Black Patched Distressed Joggers,,,FEW LEFT,1999,₹1000,,,,
