name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Digi Teal Raglan Dress,,,,899,₹399,,,,
Panda Fun Aop T-Shirt Dress,BUY 2 GET 1,,,849,₹699,,,,
Friends Logo High Neck Pocket Dress (FRL),,,,799,₹399,,,,
Women's Linen Gathered Dress,,,,1899,₹949,,,,
Women's Linen Color Block Dress,BUY 2 GET 1,,,1899,₹1049,,,,
High Neck Rib Dress,BUY 1 GET 1,,,999,₹599,,,,
Women All Over Printed Button Down Blue Dress,,,,1499,₹849,,,,
Women's Rib Raglan Dress,BUY 1 GET 1,,,899,₹599,,,,
Anthra Melange Flared Dress,,,,949,₹399,,,,
Sky blue-Navy Blue Women Hip Hop Dress,,,,1399,₹599,,,,
Marvel Logo Half Sleeve Hyper Print T-shirt Dress (AVL) Black,,,,1699,₹649,,,,
Mickey silhouette AOP Dresses(DL),BUY 2 GET 1,,,849,₹699,,,,
Women's Striper Boyfriend Fit Dress,BUY 2 GET 1,,,1699,₹799,,,,
Mickey Black Half Sleeve Hyper Print T-shirt Dress (DL) Black,BUY 2 GET 1,,,1699,₹899,,,,
Star Captain Cap Sleeve Printed T-Shirt Dress (AVEGL),BUY 2 GET 1,,,899,₹499,,,,
Sweet Dreams Printed Night T-Shirt Dress,BUY 2 GET 1,,,1199,₹599,,,,
Bubble Gum Tie & Dye AOP Dress,,,,1399,₹699,,,,
Women's Panda Printed Night Dress,,,,1199,₹449,,,,
Retro Red Color Block Dress,BUY 2 GET 1,,,1299,₹699,,,,
Womens Boyfriend Fit Dress,BUY 2 GET 1,,,1599,₹599,,,,
Women's Long Printed Kurti Dress,,,,1849,₹999,,,,
Just Beachy Stripe Dress,BUY 2 GET 1,,,999,₹799,,,,
Pink Raglan Dress,BUY 2 FOR 549,,,899,₹299,,,,
Women's Cap Sleeve Plain T-Shirt Dress,BUY 2 GET 1,,,699,₹549,,,,
Women's Red High Neck Ribbed Dress,BUY 1 GET 1,,,899,₹549,,,,
Women All Over Printed Button Down Beige Dress,,,,1499,₹849,,,,
Women's All Over Printed Night Dress,,,,1199,₹449,,,,
Sprinkles Plain Dresses AOP,,,,849,₹349,,,,
Women's Lemon All Over Printed Night Dress,,,,1199,₹499,,,,
Women's White Printed Sleeveless Kurti Dress,,,,1299,₹599,,,,
Hashtag Blue Gather AOP Dress,,,,1899,₹749,,,,
Women's Printed Button Down Dress,,,,1849,₹799,,,,
Womens Checks Shirt Tunic,,,,1999,₹599,,,,
Young & Wild Hoodie Dress Black,,,FEW LEFT,999,₹599,,,,
Women's Plain High Neck Pocket Dress -Pink,,,FEW LEFT,899,₹449,,,,
Bugs Bunny Half Sleeve Hyper Print T-shirt Dress (LT),,,,1699,₹749,,,,
Enjoy Coca-Cola Raglan Dress,BUY 1 GET 1,,,,₹749,,,,
Women's Long Printed Kurti Dress,,,,1849,₹899,,,,
Women's Linen Button Down Shirt Dress with Pockets,BUY 2 GET 1,,,1699,₹1049,,,,
Sleeping Beaty Half Sleeve Hyper Print T-shirt Dress,BUY 2 GET 1,,,1699,₹899,,,,
Whateva  Raglan Dress,,,,1799,₹399,,,,
Women's Sleeveless All Over Printed Night Dress,,,,1199,₹499,,,,
Women's Long Printed Kurti Dress,,,,1849,₹999,,,,
Women's Long Printed Kurti Dress,,,,1849,₹799,,,,
Wonder Woman stripe (DCL) AOP Dress,BUY 2 GET 1,,,849,₹649,,,,
Friends Logo T-shirt Dress,BUY 2 GET 1,,,899,₹599,,,,
Infinity Freedom Hoodie Dress Black,,,FEW LEFT,999,₹599,,,,
Women's Printed Curvy Kurti Dress,,,,1949,₹999,,,,
Women's Navy Printed Sleeveless Kurti Dress,,,,1299,₹599,,,,
Tropical Blue-Sailor Blue Women Half N Half Dress,,,,1399,₹649,,,,
Women's Sleeveless All Over Printed Night Dress,,,,1199,₹499,,,,
Women Hip Hop Dress,,,,1399,₹599,,,,
Bold Red High Neck Pocket Dress,,,FEW LEFT,899,₹399,,,,
Orange Rush Belt Dress,,,FEW LEFT,999,₹399,,,,
Her Story  Hoodie Dress,,,,1799,₹599,,,,
Pastel Yellow High Neck Pocket Dress,,,,899,₹399,,,,
Women's Printed Button Down Dress,,,,1849,₹899,,,,
Retro Red Slub Flared Dress,BUY 2 GET 1,,,1399,₹649,,,,
Black Cap Sleeve Plain T-Shirt Dress,BUY 2 GET 1,,,,₹449,,,,
Constellations AOP Dress,BUY 2 GET 1,,,849,₹599,,,,
Women's Printed Puff Sleeves Dress,,,,1549,₹899,,,,
Women's True Indigo Printed Dress,,,,1499,₹699,,,,
Women's High Low Solid Maxi Dress with belt,,,,1399,₹599,,,,
Women's Long Printed Kurti Dress,,,,1849,₹899,,,,
Popcorn Yellow Color Block Dress,,,,1199,₹799,,,,
Style Quotient Women Navy & Rust Red Checked A-Line Dress,,,,1799,₹759,,,,
Brick Red Cap Sleeve Plain T-Shirt Dress,BUY 1 GET 1,,FEW LEFT,,₹499,,,,
Women's Printed Curvy Kurti Dress,,,,2299,₹999,,,,
Women's Printed Button Down Dress,,,,1849,₹899,,,,
Womens Solid Tape Tunic,,,,1899,₹599,,,,
Bubble Gum Stripe Dress,,,,999,₹699,,,,
Women's All Over Printed Night Dress,,,,1199,₹449,,,,
Women's All Over Printed Night Dress,,,,1199,₹449,,,,
Blue Haze High Neck Pocket Dress,,,,899,₹399,,,,
High Star Women Blue Solid Shirt Dress,,,,1879,₹939,,,,
Campus Sutra Women Stylish Floral Design & Front Drawstring Casual Dresses,,,,2199,₹910,,,,
Sleeping beauty Women's Night Dress,BUY 2 GET 1,,,1199,₹599,,,,
Classic Tj Logo Single Jersey T-Shirt Dress (TJL) Black,,,,899,₹349,,,,
Popcorn Yellow Tie & Dye Dress,,,,1299,₹899,,,,
Cool Apple Pique Dress,BUY 2 GET 1,,,1499,₹649,,,,
Womens Solid Tape Tunic,,,,1899,₹599,,,,
Black Women High Neck Rib Dress,BUY 1 GET 1,,FEW LEFT,899,₹549,,,,
Womens Solid Tape Tunic,,,,1899,₹599,,,,
Women's High Low Solid Maxi Dress with belt,,,,1399,₹599,,,,
Friends Logo High Neck Pocket Dress (FRL),,,FEW LEFT,799,₹399,,,,
Bold Red Cap Sleeve Plain T-Shirt Dress,BUY 2 GET 1,,FEW LEFT,449,₹429,,,,
Women's Printed Puff Sleeves Dress,,,,1549,₹899,,,,
High Star Women Blue Solid Shirt Dress,,,,1879,₹939,,,,
Women's Printed Button Down Dress,,,,1849,₹899,,,,
Arcade Green Sleeveless High Neck Zipper Dress,BUY 2 GET 1,,FEW LEFT,1299,₹699,,,,
Women's Cap Sleeve Plain T-Shirt Dress,BUY 2 GET 1,,,699,₹399,,,,
Women's Printed Curvy Kurti Dress,,,,2299,₹999,,,,
Style Quotient Womens Pink Printed Fit and Flare Dress,,,,1299,₹599,,,,
Women's Printed Curvy Kurti Dress,,,,2299,₹999,,,,
Clovia Cotton Printed Short Nighty with Pocket,,,,1299,₹636,,,,
Brown High Neck Pocket Dress,,,,899,₹399,,,,
MWB Fit And Flare Black Dress,BUY 2 GET 1,,FEW LEFT,1999,₹1199,,,,
Women's Plain High Neck Pocket Dress Navy Blue,BUY 2 GET 1,,FEW LEFT,899,₹599,,,,
Women's High Neck Ribbed Dress,BUY 1 GET 1,,FEW LEFT,999,₹599,,,,
Anthra Melange Hip Hop Dress,,,,899,₹499,,,,
