name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Women All Over Printed Button Down Blue Dress,,,,1499,₹849,,,,
Sky blue-Navy Blue Women Hip Hop Dress,,,,1399,₹599,,,,
Sweet Dreams Printed Night T-Shirt Dress,BUY 2 GET 1,,,1199,₹599,,,,
High Neck Rib Dress,BUY 1 GET 1,,FEW LEFT,999,₹599,,,,
Women's Rib Raglan Dress,BUY 1 GET 1,,,899,₹599,,,,
Marvel Logo Half Sleeve Hyper Print T-shirt Dress (AVL) Black,,,,1699,₹649,,,,
Women's Striper Boyfriend Fit Dress,BUY 2 GET 1,,,1699,₹799,,,,
Popcorn Yellow Color Block Dress,,,,1199,₹799,,,,
Just Beachy Stripe Dress,BUY 2 GET 1,,,999,₹799,,,,
Women's All Over Printed Night Dress,,,,1199,₹449,,,,
Women's Linen Gathered Dress,,,,1899,₹949,,,,
Women's Printed Puff Sleeves Dress,,,,1549,₹899,,,,
Bubble Gum Tie & Dye AOP Dress,,,,1399,₹699,,,,
Women's Panda Printed Night Dress,,,,1199,₹449,,,,
Women All Over Printed Button Down Beige Dress,,,,1499,₹849,,,,
Women's Cap Sleeve Plain T-Shirt Dress,BUY 2 GET 1,,,699,₹549,,,,
Women's White Printed Sleeveless Kurti Dress,,,,1299,₹599,,,,
Women's Sleeveless All Over Printed Night Dress,,,,1199,₹499,,,,
Whateva  Raglan Dress,,,,1799,₹399,,,,
Hashtag Blue Gather AOP Dress,,,,1899,₹749,,,,
Young & Wild Hoodie Dress Black,,,FEW LEFT,999,₹599,,,,
Women's Long Printed Kurti Dress,,,,1849,₹999,,,,
Wonder Woman stripe (DCL) AOP Dress,BUY 2 GET 1,,,849,₹649,,,,
Panda Fun Aop T-Shirt Dress,BUY 2 GET 1,,,849,₹699,,,,
Digi Teal Raglan Dress,,,,899,₹399,,,,
Mickey silhouette AOP Dresses(DL),BUY 2 GET 1,,,849,₹699,,,,
Women's Linen Button Down Shirt Dress with Pockets,BUY 2 GET 1,,,1699,₹1049,,,,
Retro Red Color Block Dress,BUY 2 GET 1,,,1299,₹699,,,,
Bugs Bunny Half Sleeve Hyper Print T-shirt Dress (LT),,,,1699,₹749,,,,
Womens Boyfriend Fit Dress,BUY 2 GET 1,,,1599,₹599,,,,
Her Story  Hoodie Dress,,,,1799,₹599,,,,
Sleeping Beaty Half Sleeve Hyper Print T-shirt Dress,BUY 2 GET 1,,,1699,₹899,,,,
Women's Navy Printed Sleeveless Kurti Dress,,,,1299,₹599,,,,
Black Cap Sleeve Plain T-Shirt Dress,BUY 2 GET 1,,,,₹449,,,,
Women's Printed Curvy Kurti Dress,,,,2299,₹999,,,,
Women's Linen Color Block Dress,BUY 2 GET 1,,,1899,₹1049,,,,
Women's Printed Button Down Dress,,,,1849,₹799,,,,
Sprinkles Plain Dresses AOP,,,,849,₹349,,,,
Women's Printed Curvy Kurti Dress,,,,2299,₹999,,,,
Retro Red Slub Flared Dress,BUY 2 GET 1,,,1399,₹649,,,,
Womens Checks Shirt Tunic,,,,1999,₹599,,,,
Women's Printed Button Down Dress,,,,1849,₹899,,,,
Classic Tj Logo Single Jersey T-Shirt Dress (TJL) Black,,,,899,₹349,,,,
Women's Long Printed Kurti Dress,,,,1849,₹899,,,,
Mickey Black Half Sleeve Hyper Print T-shirt Dress (DL) Black,BUY 2 GET 1,,,1699,₹899,,,,
Women Hip Hop Dress,,,,1399,₹599,,,,
Women's Red High Neck Ribbed Dress,BUY 1 GET 1,,,899,₹549,,,,
Friends Logo High Neck Pocket Dress (FRL),,,,799,₹399,,,,
Infinity Freedom Hoodie Dress Black,,,FEW LEFT,999,₹599,,,,
