name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Sleeveless Ice Blue Denim Jacket,,,,1699,₹799,,,,
Red Embossed Puffer Jacket,,,,2799,₹1499,,,,
Maroon Stylised Shoulder Stripe Bomber Jacket,,,,2799,₹1399,,,,
Marsala Varsity Bomber Jacket,,,,1599,₹999,,,,
Varsity Blue Denim Jacket,,,,1749,₹799,,,,
Orange Chill Block Puffer Jacket,,,,2299,₹1399,,,,
White-Red Plum Panel Zipper Bomber Jacket,,,,1599,₹799,,,,
Savage Varsity Denim Jacket,,,,1749,₹649,,,,
Mickey M Badge Bomber Jacket,,,,1699,₹799,,,,
Super Girl Varsity Bomber Jacket,,,,1799,₹749,,,,
White Stylised Shoulder Stripe Bomber Jacket,,,FEW LEFT,2799,₹1399,,,,
Maroon Stylised Panel Jacket,,,,2299,₹1399,,,,
Minnie Badge Varsity Bomber Jacket,,,,1799,₹899,,,,
Blue Utra Varsity Bomber Jacket,,,,2299,₹1399,,,,
Orange Plain Puffer Jacket with Detachable Hood,,,,1999,₹1299,,,,
Grey Stylised Shoulder Stripe Bomber Jacket,,,,2799,₹1399,,,,
Jet Black Plain Sleeveless Puffer Jacket with Detachable Hood,,,FEW LEFT,1799,₹1199,,,,
Navy Lightweight Denim Parka,,,,1699,₹799,,,,
Distressed Navy Denim Bomber Jacket,,,,1749,₹799,,,,
Black-Neutral Grey Panel Zipper Bomber Jacket,,,,1599,₹799,,,,
Peace Logo Puffer Jacket with Detachable Hood,,,,1999,₹1299,,,,
Food Pop Badge Varsity Bomber Jacket,,,,1799,₹749,,,,
Maroon Utra Varsity Bomber Jacket,,,,2299,₹1299,,,,
Black Chill Block Puffer Jacket,,,,2299,₹1499,,,,
Olive Plain Sleeveless Puffer Jacket With Detachable Hood,,,,1799,₹1199,,,,
Dark Blue Denim Shacket,,,FEW LEFT,1699,₹799,,,,
Orange Rush Contrast Sleeves Panel Zipper Hoodie,,,,1499,₹749,,,,
