name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
White Stylised Shoulder Stripe Bomber Jacket,,,,2799,₹1399,,,,
Black Varsity Bomber Jacket,,,,1599,₹599,,,,
Peace Logo Puffer Jacket with Detachable Hood,,,,1999,₹1049,,,,
Maroon Stylised Panel Jacket,,,,2299,₹1399,,,,
Black Raw Edge Denim Shacket,,,,1399,₹749,,,,
Orange Chill Block Puffer Jacket,,,,2299,₹1399,,,,
Grey Stylised Shoulder Stripe Bomber Jacket,,,,2799,₹1399,,,,
Pink Chill Block Puffer Jacket,,,,2299,₹1399,,,,
Dark Blue Denim Shacket,,,FEW LEFT,1699,₹749,,,,
Beacon Blue Varsity Bomber Jacket,,,,1599,₹699,,,,
Ice Blue Denim Shacket,,,,1699,₹599,,,,
White-Red Plum Panel Zipper Bomber Jacket,,,,1599,₹749,,,,
Campus Sutra Women Stylish Solid Casual Bomber Jacket,,,,3299,₹1649,,,,
Varsity Black Denim Jacket,,,,1749,₹799,,,,
Grey Utra Varsity Bomber Jacket,,,,2299,₹849,,,,
Maroon Stylised Shoulder Stripe Bomber Jacket,,,,2799,₹1399,,,,
Dark Blue Raw Edge Denim Shacket,BUY 2 GET 1,,FEW LEFT,1299,₹849,,,,
Varsity Blue Denim Jacket,,,,1749,₹799,,,,
Yellow Plain Sleeveless Puffer Jacket with Detachable Hood,BUY 2 GET 1,,,1799,₹1399,,,,
Food Pop Badge Varsity Bomber Jacket,,,,1799,₹749,,,,
Mickey M Badge Varsity Bomber Jacket,,,,1799,₹649,,,,
Orange Rush Contrast Sleeves Panel Zipper Hoodie,,,,1499,₹599,,,,
Red Embossed Puffer Jacket,,,,2799,₹1399,,,,
Maroon Utra Varsity Bomber Jacket,,,,2299,₹1299,,,,
Sleeveless Ice Blue Denim Jacket,,,FEW LEFT,1699,₹699,,,,
Black Chill Block Puffer Jacket,,,,2299,₹1499,,,,
Marsala Varsity Bomber Jacket,,,,1599,₹999,,,,
Jet Black Plain Sleeveless Puffer Jacket with Detachable Hood,,,FEW LEFT,1799,₹1199,,,,
Blue Utra Varsity Bomber Jacket,,,,2299,₹1299,,,,
Varsity Denim Shacket,,,,1749,₹699,,,,
Navy Lightweight Denim Parka,,,,1699,₹699,,,,
Orange Plain Puffer Jacket with Detachable Hood,,,,1999,₹999,,,,
Red Pear Varsity Plain Bomber Jacket,,,,1199,₹649,,,,
Minnie Badge Varsity Bomber Jacket,,,,1799,₹749,,,,
Jet Black Plain Varsity Plain Jacket,,,,1199,₹699,,,,
Campus Sutra Women Stylish Solid Casual Bomber Jacket,,,,2799,₹1399,,,,
Savage Varsity Denim Jacket,,,,1749,₹649,,,,
Campus Sutra Women Stylish Solid Casual Bomber Jacket,,,,2799,₹1399,,,,
Silver Pink Varsity Plain Bomber Jacket,,,,1199,₹599,,,,
Campus Sutra Women Stylish Casual & Bomber Jackets,,,,2999,₹1499,,,,
Campus Sutra Women Stylish Bomber Jacket,,,,2999,₹1499,,,,
Style Quotient Women Blue Solid Denim Jacket,,,,2099,₹1049,,,,
Black-Neutral Grey Panel Zipper Bomber Jacket,,,,1599,₹749,,,,
Style Quotient Women Navy Blue Solid Velvet Finish Bomber,,,,1999,₹891,,,,
Campus Sutra Full Sleeve Women Solid Casual Jacket,,,,2199,₹1319,,,,
Distressed Navy Denim Bomber Jacket,,,FEW LEFT,1749,₹749,,,,
Dark Navy Denim Bomber Jacket,,,FEW LEFT,1899,₹849,,,,
Style Quotient Women Blue Solid Denim Jacket,,,,2099,₹1049,,,,
Cedar Green Varsity Bomber Jacket,,,,1599,₹649,,,,
