name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
High Star Womens Black Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
Ribbon Blue Mid Rise Stretchable Women's Jeans,,,,1299,₹699,,,,
High Star Womens Black Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Black Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist palazzo,,,,2199,₹699,,,,
High Star Womens White Washed Slim Fit Mid Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed Slim Fit High Waist palazzo,,,,2199,₹699,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1649,₹824,,,,
High Star Womens White Washed Slim Fit High Waist,,,,2199,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1699,₹849,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
High Star Womens Blue Washed Boot Cut Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed Slim Fit Mid Waist Jeans,,,,2199,₹749,,,,
High Star Womens Grey Washed Slim Fit High Waist Jeans With Belt loops,,,,1499,₹749,,,,
High Star Womens Black Washed Slim Fit Mid Waist Jeans,,,,2199,₹749,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1699,₹849,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Black Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
Campus Sutra Women Stylish Side Striped Denim Jeans,,,,1899,₹769,,,,
High Star Womens Black Washed A-Line High Waist Skirt,,,,2199,₹699,,,,
High Star Women Slim Fit Mid-Rise Clean Look Cropped Jeans,,,,1649,₹824,,,,
High Star Women Boyfriend Fit High-Rise Clean Look Cropped Jeans,,,,1399,₹699,,,,
Campus Sutra Women Stylish Side Striped Denim Jeans,,,,1899,₹834,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans,,,,1399,₹799,,,,
High Star Women Blue Slim Fit High-Rise Clean Look Jeans,,,,1399,₹799,,,,
High Star Women Grey Slim Fit High-Rise Clean Look Stretchable Jeans,,,,2599,₹849,,,,
High Star Women Grey Slim Fit High-Rise Clean Look Stretchable Jeans,,,,2599,₹849,,,,
High Star Women Blue Bootcut High-Rise Clean Look Stretchable Jeans,,,,1599,₹849,,,,
High Star Women Blue Bootcut High-Rise Clean Look Jeans,,,,1499,₹849,,,,
High Star Women Blue Bootcut Jeans,,,,1499,₹849,,,,
High Star Women Black Slim Fit High-Rise Clean Look Stretchable Jeans,,,,1499,₹849,,,,
High Star Women Blue Relaxed Fit High-Rise Light Fade Jeans,,,,1999,₹799,,,,
High Star Women Blue Relaxed Fit High-Rise Heavy Fade Jeans,,,,1999,₹799,,,,
High Star Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans,,,,1549,₹799,,,,
Women Blue Slim Fit High Rise Clean Look Stretchable Jeans,,,,1549,₹799,,,,
High Star Women White Slim Fit High-Rise Clean Look Stretchable Crop Jeans,,,,1499,₹849,,,,
High Star Women Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,,,,2599,₹799,,,,
High Star Women Blue Slim Fit Jeans,,,,1999,₹799,,,,
High Star Women Blue Jogger Jeans,,,,1999,₹799,,,,
High Star Women Blue Solid Cropped Palazzos,,,,1799,₹799,,,,
High Star Women Blue Straight Fit High-Rise Jeans,,,,1999,₹799,,,,
High Star Women Navy Blue Straight Fit High-Rise Jeans,,,,1599,₹799,,,,
High Star Women Black Slim Fit Stretchable Jeans,,,,2299,₹799,,,,
High Star Women Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,,,,2599,₹799,,,,
High Star Women Blue Cropped Denim Palazzos,,,,1799,₹799,,,,
High Star Women Boyfriend Fit High-Rise Clean Look Cropped Jeans,,,,1399,₹699,,,,
High Star Womens Blue Washed Slim Fit Mid Waist Jeans With Belt loops,,,,1499,₹749,,,,
Campus Sutra Super Skinny Side Striped Women Blue Denim Jeans,,,,1899,₹834,,,,
High Star Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans,,,,1549,₹799,,,,
High Star Women Slim Fit Mid-Rise Clean Look Cropped Jeans,,,,1649,₹824,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1649,₹824,,,,
High Star Women Grey Slim Fit High-Rise Clean Look Stretchable Jeans,,,,1599,₹799,,,,
High Star Women Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,,,,1499,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist palazzo,,,,2199,₹699,,,,
High Star Womens Blue Washed Slim Fit Mid Waist Jeans With Belt loops,,,,1499,₹749,,,,
High Star Women Blue Slim Fit High-Rise Clean Look Jeans,,,,1449,₹799,,,,
High Star Women White Bootcut Mid-Rise Clean Look Stretchable Jeans,,,,1499,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Women Flared Fit High-Rise Clean Look Cropped Bootcut Jeans,,,,1549,₹775,,,,
High Star Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans1,,,,1549,₹799,,,,
Campus Sutra Super Skinny Side  Women Black Denim Jeans,,,,1899,₹769,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
Royal Blue Distressed Mid Rise Stretchable Women's Jeans,,,,1499,₹799,,,,
High Star Womens Black Washed Slim Fit High Waist Jeggings,,,,2199,₹779,,,,
High Star Women Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,,,,1499,₹799,,,,
Campus Sutra Super Skinny Side Striped Women Blue Denim Jeans,,,,1899,₹769,,,,
Campus Sutra Women Stylish Side Striped Denim Jeans,,,,1899,₹834,,,,
High Star Womens Blue Washed Slim Fit Mid Waist Jeans With Belt loops,,,,1499,₹749,,,,
High Star Womens Blue Washed Slim Fit Mid Waist Jeans With Belt loops,,,,1499,₹749,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
Campus Sutra Women Stylish Side Striped Denim Jeans,,,,1899,₹769,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1699,₹849,,,,
High Star Womens Blue Washed Bootcut Fit High Waist Jeans With Belt loops,,,,1649,₹824,,,,
High Star Womens Blue Washed Boot Cut Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Women Boyfriend Fit High-Rise Clean Look Cropped Jeans,,,,1649,₹824,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
Campus Sutra Super Skinny Side  Women Black Denim Jeans,,,,1899,₹834,,,,
Jade Black Distressed Mid Rise Stretchable Women's Jeans,,,,1499,₹899,,,,
High Star Womens Grey Washed Slim Fit High Waist Jeans With Belt loops,,,,1499,₹749,,,,
High Star Womens Grey Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
Pool Blue Mid Rise Stretchable Women's Jeans,,,,1299,₹699,,,,
High Star Womens Blue Washed A-Line High Waist Skirt,,,,2199,₹699,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
Backpack Blue Mid Rise Stretchable Women's Jeans,,,,1299,₹699,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1549,₹775,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Boot Cut Jeans,,,,1549,₹775,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1649,₹824,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1649,₹824,,,,
Style Quotient Women Black Solid Slim Smart Fit Stretchable Jeggings,,,,,₹1699,,,,
Sky Blue Mid Rise Stretchable Women's Jeans,,,,1299,₹699,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeggings,,,,2199,₹779,,,,
High Star Women Boot Cut Fit High-Rise Clean Look Cropped Jeans,,,,1699,₹849,,,,
Campus Sutra Women Stylish Side Striped Denim Jeans,,,,1899,₹786,,,,
Campus Sutra Women Stylish Side Striped Denim Jeans,,,,1899,₹834,,,,
