name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
Babyhug 100% Cotton Cap Mittens & Booties Set Animal Print Blue...,,1 Left ,224,176.96,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-100-cotton-cap-mittens-and-booties-set-animal-print-blue-white-diameter-10-cm/3326242/product-detail
Babyhug Sleeveless Biowashed Tee Leaf Print - Navy Blue,,1 Left ,249,196.71,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-sleeveless-biowashed-tee-leaf-print-navy-blue/8489067/product-detail
Simply Baby Caps Pack of 2 Multicolor - Diameter 9 cm,,,225,202.5,(10% Off),,,https://www.firstcry.com//www.firstcry.com/simply/simply-baby-caps-pack-of-2-multicolor-diameter-9-cm/9075062/product-detail
Simply Baby Cap Bear Print Pink Blue Pack of 3 - Diameter 10.5 cm,,,255,229.5,(10% Off),,,https://www.firstcry.com//www.firstcry.com/simply/simply-baby-cap-bear-print-pink-blue-pack-of-3-diameter-105-cm/9075071/product-detail
Ben Benny Reversible Winter Cap Rabbit Print White - Diameter 12cm,,1 Left ,249,201.69,(19% Off),,,https://www.firstcry.com//www.firstcry.com/ben-benny/ben-benny-reversible-winter-cap-rabbit-print-white-diameter-12cm/8309114/product-detail
Simply Baby Cap Bear Print Pink Blue Green  Pack of 3 - Diameter 10 cm,,,240,216,(10% Off),,,https://www.firstcry.com//www.firstcry.com/simply/simply-baby-cap-bear-print-pink-blue-green-pack-of-3-diameter-10-cm/9075069/product-detail
Babyhug 100% Cotton Cap Mitten & Bootie Set Blue - Diameter 11.5 cm,,,229,180.91,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-100-cotton-cap-mitten-and-bootie-set-blue-diameter-115-cm/8490198/product-detail
Ziory Summer Cap Grey - Diameter 18 cm,,1 Left ,499,449.1,(10% Off),,,https://www.firstcry.com//www.firstcry.com/ziory/ziory-summer-cap-grey-diameter-18-cm/8989027/product-detail
Simply Baby Caps Pack of 4 Multicolor - Diameter 9 cm,,,225,202.5,(10% Off),,,https://www.firstcry.com//www.firstcry.com/simply/simply-baby-caps-pack-of-4-multicolor-diameter-9-cm/9075061/product-detail
Babyhug Summer Cap Mickey Print Blue - Diameter 15 cm,,,470,380.7,(upto 19% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-summer-cap-mickey-print-blue-diameter-15-cm/8711186/product-detail
