name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
Babyhug Advanced Pant Style Diapers Large - 64 Pieces,Bestseller,,1095,602.25,(45% Off),3.96,                                (4168 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-advanced-pant-style-diapers-large-64-pieces/2874155/product-detail
MamyPoko Extra Absorb Pant Style Diaper XX Large Size...,Bestseller,,999,677.92,(32% Off),4.26,                                (2686 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/mamypoko/mamypoko-extra-absorb-pant-style-diaper-xx-large-size-44-pieces/2947298/product-detail
Babyhug Advanced Pant Style Diapers Medium - 76 Pieces,Bestseller,,1095,602.25,(45% Off),3.96,                                (4168 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-advanced-pant-style-diapers-medium-76-pieces/2874154/product-detail
Babyhug Advanced Pant Style Diapers Extra Large - 56...,Bestseller,,1145,629.75,(45% Off),3.96,                                (4168 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-advanced-pant-style-diapers-extra-large-56-pieces/2874156/product-detail
MamyPoko Extra Absorb Pant Style Diapers Extra Large -...,Bestseller,,1998,1266.53,(37% Off),4.28,                                (317 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/mamypoko/mamypoko-extra-absorb-pant-style-diapers-extra-large-104-pieces/3104237/product-detail
"Pampers Active Baby Taped Diapers, Large size diapers,...",Bestseller,,1549,1239.2,(20% Off),4.43,                                (1115 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/pampers/pampers-active-baby-taped-diapers-large-size-diapers-lg-78-count-taped-style-custom-fit/137063/product-detail
"Pampers All round Protection Pants, Double Extra Large...",,,1149,779.71,(32% Off),4.19,                                (1370 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/pampers/pampers-all-round-protection-pants-double-extra-large-size-xxl-42-count-anti-rash-diapers-lotion-with-aloe-vera/3271328/product-detail
"Pampers Premium Care Pants, Extra Large size baby...",Bestseller,,2199,1511.81,(31% Off),4.34,                                (2385 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/pampers/pampers-premium-care-pants-extra-large-size-baby-diapers-xl-72-count-softest-ever-pampers-pants/2163908/product-detail
"Pampers Active Baby Diapers, New Born, Extra Small,...",Bestseller,,1099,706.55,(36% Off),4.43,                                (1115 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/pampers/pampers-active-baby-diapers-new-born-extra-small-nb-xs-size-72-count-taped-style-diaper/1809071/product-detail
"Pampers Active Baby Taped Diapers, Medium size...",#1 Mom's Pick,,1549,1239.2,(20% Off),4.43,                                (1115 Reviews)                                       ,https://www.firstcry.com//www.firstcry.com/pampers/pampers-active-baby-taped-diapers-medium-size-diapers-md-90-count-taped-style-custom-fit/137065/product-detail
