name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
FEETWELL SHOES Color Block Shoes - WHITE,,,650,578.5,(11% Off),,,https://www.firstcry.com//www.firstcry.com/feetwell-shoes/feetwell-shoes-color-block-shoes-white/9381428/product-detail
FEETWELL SHOES Solid Shoes - Black,,,650,578.5,(11% Off),,,https://www.firstcry.com//www.firstcry.com/feetwell-shoes/feetwell-shoes-solid-shoes-black/9381454/product-detail
KIDLINGSS Buckle Applique Zip Up Shoes - White,,3 Left ,999,819.18,(18% Off),,,https://www.firstcry.com//www.firstcry.com/kidlingss/kidlingss-buckle-applique-zip-up-shoes-white/9338017/product-detail
Cute Walk by Babyhug Casual Shoes Butterfly Applique - Blue,,,635,514.35,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-butterfly-applique-blue/8640202/product-detail
Cute Walk by Babyhug Casual Shoes Butterfly Applique - Yellow,,,635,514.35,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-butterfly-applique-yellow/8640208/product-detail
Cute Walk by Babyhug Casual Shoes Heart Print - Purple,,,635,393.7,(upto 38% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-heart-print-purple/3785994/product-detail
Yellow Bee Unicorn Print Canvas Shoes - Light Pink,,,499,434.13,(upto 13% Off),,,https://www.firstcry.com//www.firstcry.com/yellow-bee/yellow-bee-unicorn-print-canvas-shoes-light-pink/8876390/product-detail
KIDLINGSS Metal Embellished Loafers - Tan,,2 Left ,999,819.18,(18% Off),,,https://www.firstcry.com//www.firstcry.com/kidlingss/kidlingss-metal-embellished-loafers-tan/9338143/product-detail
Cute Walk by Babyhug Casual Shoes Butterfly Applique - Pink,,,635,514.35,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-butterfly-applique-pink/8640213/product-detail
Cute Walk by Babyhug Casual Shoes - Red,,,825,668.25,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-red/8640601/product-detail
KIDLINGSS Buckle Applique Zip Up Shoes - Brown,,3 Left ,999,819.18,(18% Off),,,https://www.firstcry.com//www.firstcry.com/kidlingss/kidlingss-buckle-applique-zip-up-shoes-brown/9338006/product-detail
Cute Walk by Babyhug Casual Shoes - Navy Blue,,,825,668.25,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-navy-blue/8640604/product-detail
Cute Walk by Babyhug Casual Shoes Checks - Navy Blue,,,825,668.25,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-checks-navy-blue/8640545/product-detail
Cute Walk by Babyhug Casual Shoes  - Blue,,,635,514.35,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-blue/8640255/product-detail
Cute Walk by Babyhug Casual Shoes Teddy Bear Embroidery - Red,,,635,514.35,(upto 19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-teddy-bear-embroidery-red/8787534/product-detail
Cute Walk by Babyhug Casual Shoes Bow Applique - Pink,,,635,514.35,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-bow-applique-pink/8787550/product-detail
Cute Walk by Babyhug Casual Shoes Rainbow Print - Blue,,,625,456.25,(upto 38% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-rainbow-print-blue/8239498/product-detail
Cute Walk by Babyhug Casual Shoes Heart Embroidery - Purple,,,585,310.05,(upto 47% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-heart-embroidery-purple/3333389/product-detail
Cute Walk by Babyhug Sandals Elephant Patch - Red,,,595,481.95,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-sandals-elephant-patch-red/8787665/product-detail
Cute Walk by Babyhug Casual Shoes Bow Applique - Dark Pink,,,635,514.35,(19% Off),,,https://www.firstcry.com//www.firstcry.com/cute-walk-by-babyhug/cute-walk-by-babyhug-casual-shoes-bow-applique-dark-pink/8787561/product-detail
