name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
Tinycare Hooded Towel Super Baby Print - Light Green,,,,442,(upto 19% Off),,,https://www.firstcry.com//www.firstcry.com/tinycare/tinycare-hooded-towel-super-baby-print-light-green/307298/product-detail
Babyhug Towel Star Print - Navy White,,1 Left ,399,291.27,(27% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-towel-star-print-navy-white/8094415/product-detail
Tinycare Hooded Towel Strawberry Print - White Blue,,,,315,,,,https://www.firstcry.com//www.firstcry.com/tinycare/tinycare-hooded-towel-strawberry-print-white-blue/1308170/product-detail
Tinycare Baby Towel With Teddy Print - Green,,2 Left ,284,230.04,(upto 19% Off),,,https://www.firstcry.com//www.firstcry.com/tinycare/tinycare-baby-towel-with-teddy-print-green/21172/product-detail
Babyhug Towel Solid Color - White,,,399,315.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-towel-solid-color-white/9004587/product-detail
Babyhug Towel Solid Color - Blue,,,399,315.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-towel-solid-color-blue/9004588/product-detail
Babyhug Towel Solid Color - Yellow,,,399,315.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-towel-solid-color-yellow/9004583/product-detail
Babyhug Towel Solid Color - Red,,,399,315.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-towel-solid-color-red/9004589/product-detail
Babyhug Towel Solid Color - Pink,,,399,315.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-towel-solid-color-pink/9004585/product-detail
Babyhug Towel Solid Color - Pink,,,399,315.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-towel-solid-color-pink/9004586/product-detail
Pink Rabbit Towel Printed - Multicolor,,,245,227.85,(7% Off),,,https://www.firstcry.com//www.firstcry.com/pink-rabbit/pink-rabbit-towel-printed-multicolor/9245604/product-detail
Doreme Hooded Towel Music Instrument Print - Pink,,,390,358.8,(8% Off),,,https://www.firstcry.com//www.firstcry.com/doreme/doreme-hooded-towel-music-instrument-print-pink/9238484/product-detail
Doreme Hooded Towel - Green,,,390,358.8,(8% Off),,,https://www.firstcry.com//www.firstcry.com/doreme/doreme-hooded-towel-green/9238489/product-detail
Pink Rabbit Towel Ice Cream Print - Multicolor,,,245,227.85,(7% Off),,,https://www.firstcry.com//www.firstcry.com/pink-rabbit/pink-rabbit-towel-ice-cream-print-multicolor/9245602/product-detail
Doreme Hooded Towel Bear Print - Off White,,,390,358.8,(8% Off),,,https://www.firstcry.com//www.firstcry.com/doreme/doreme-hooded-towel-bear-print-off-white/9238488/product-detail
Pink Rabbit Hooded Towel Bear Print - Light Pink,,,325,299,(8% Off),,,https://www.firstcry.com//www.firstcry.com/pink-rabbit/pink-rabbit-hooded-towel-bear-print-light-pink/9245576/product-detail
Pink Rabbit Hooded Towel Elephant Print - Light Green,,,325,299,(8% Off),,,https://www.firstcry.com//www.firstcry.com/pink-rabbit/pink-rabbit-hooded-towel-elephant-print-light-green/9245578/product-detail
Pink Rabbit Hooded Towel Elephant Print - Sky Blue,,,325,299,(8% Off),,,https://www.firstcry.com//www.firstcry.com/pink-rabbit/pink-rabbit-hooded-towel-elephant-print-sky-blue/9245577/product-detail
babywish Hooded Towel Pack of 2 - Multicolour,,,1299,571.56,(56% Off),,,https://www.firstcry.com//www.firstcry.com/babywish/babywish-hooded-towel-pack-of-2-multicolour/9217971/product-detail
Simply Printed Hooded Towel - Blue,,,315,292.95,(7% Off),,,https://www.firstcry.com//www.firstcry.com/simply/simply-printed-hooded-towel-blue/9075050/product-detail
Simply Cotton Bath Towels Floral Print Pack of 3 - Blue White Pink,,,840,772.8,(8% Off),,,https://www.firstcry.com/simply/simply-cotton-bath-towels-floral-print-pack-of-3-blue-white-pink/9075059/product-detail
Babyhug Unicorn Wrapper - Pink,,,499,394.21,(21% Off),,,https://www.firstcry.com/babyhug/babyhug-unicorn-wrapper-pink/9004592/product-detail
Zero Hooded Towel Bear Design - Pink,,,330,303.6,(8% Off),,,https://www.firstcry.com/zero/zero-hooded-towel-bear-design-pink/9235165/product-detail
Zero Hooded Towel Bear Design - Red,,,330,303.6,(8% Off),,,https://www.firstcry.com/zero/zero-hooded-towel-bear-design-red/9235167/product-detail
Zero Hooded Towel Bear Design - Blue,,,330,303.6,(8% Off),,,https://www.firstcry.com/zero/zero-hooded-towel-bear-design-blue/9235168/product-detail
Zero Hooded Towel Bear Design - Green,,,330,303.6,(8% Off),,,https://www.firstcry.com/zero/zero-hooded-towel-bear-design-green/9235170/product-detail
Quick Dry Fluffy Towel  - Orange,,,,399,,,,https://www.firstcry.com/quick-dry/quick-dry-fluffy-towel-orange/2910547/product-detail
Quick Dry Fluffy Towel  - Blue,,,,399,,,,https://www.firstcry.com/quick-dry/quick-dry-fluffy-towel-blue/2910546/product-detail
Babyhug Hooded Bath Towel - Blue,,,379,299.41,(21% Off),,,https://www.firstcry.com/babyhug/babyhug-hooded-bath-towel-blue/9202949/product-detail
Babyhug Hooded Bath Towel - Red,,,379,299.41,(21% Off),,,https://www.firstcry.com/babyhug/babyhug-hooded-bath-towel-red/9202948/product-detail
Babyhug Hooded Bath Towel - Peach,,,379,299.41,(21% Off),,,https://www.firstcry.com/babyhug/babyhug-hooded-bath-towel-peach/9202947/product-detail
Simply Printed Hooded Towel - Pink,,,315,292.95,(7% Off),,,https://www.firstcry.com/simply/simply-printed-hooded-towel-pink/9075047/product-detail
Simply Printed Hooded Towel - Pink,,,315,292.95,(7% Off),,,https://www.firstcry.com/simply/simply-printed-hooded-towel-pink/9075048/product-detail
Simply Printed Hooded Towel - Peach,,,325,299,(8% Off),,,https://www.firstcry.com/simply/simply-printed-hooded-towel-peach/9075042/product-detail
Zero Stripes Towel - Red,,,275,255.75,(7% Off),,,https://www.firstcry.com/zero/zero-stripes-towel-red/9234151/product-detail
Simply Printed Hooded Towel - Blue,,,345,317.4,(8% Off),,,https://www.firstcry.com/simply/simply-printed-hooded-towel-blue/9075114/product-detail
Zero Printed Towel - Pink,,,295,274.35,(7% Off),,,https://www.firstcry.com/zero/zero-printed-towel-pink/9234155/product-detail
Pink Rabbit Printed Hooded Towel - Pink,,,305,283.65,(7% Off),,,https://www.firstcry.com/pink-rabbit/pink-rabbit-printed-hooded-towel-pink/9245584/product-detail
Simply Printed Hooded Towel - Green,,,325,299,(8% Off),,,https://www.firstcry.com/simply/simply-printed-hooded-towel-green/9075043/product-detail
Simply Hooded Towel Zebra Print - Green,,,345,317.4,(8% Off),,,https://www.firstcry.com/simply/simply-hooded-towel-zebra-print-green/9169917/product-detail
Pink Rabbit Hooded Towel Bunny Print - Pink,,,305,283.65,(7% Off),,,https://www.firstcry.com/pink-rabbit/pink-rabbit-hooded-towel-bunny-print-pink/9245586/product-detail
Zero Stripes Towel - Blue,,,275,255.75,(7% Off),,,https://www.firstcry.com/zero/zero-stripes-towel-blue/9234149/product-detail
Simply Printed Hooded Towel - Blue,,,345,317.4,(8% Off),,,https://www.firstcry.com/simply/simply-printed-hooded-towel-blue/9075116/product-detail
Simply Hooded Towel Giraffe Print - Pink,,,345,317.4,(8% Off),,,https://www.firstcry.com/simply/simply-hooded-towel-giraffe-print-pink/9169914/product-detail
Simply Cotton Bath Towels Dotted Print Pack of 3 - Pink Green,,,840,772.8,(8% Off),,,https://www.firstcry.com/simply/simply-cotton-bath-towels-dotted-print-pack-of-3-pink-green/9075060/product-detail
Simply Hooded Towel Text Print - Orange,,,335,308.2,(8% Off),,,https://www.firstcry.com/simply/simply-hooded-towel-text-print-orange/9230619/product-detail
Babyhug Hooded Towel Monkey Design - Brown,,,549,433.71,(21% Off),,,https://www.firstcry.com/babyhug/babyhug-hooded-towel-monkey-design-brown/1504542/product-detail
Simply Printed Hooded Towel - Pink,,,345,317.4,(8% Off),,,https://www.firstcry.com/simply/simply-printed-hooded-towel-pink/9075112/product-detail
Mee Mee Baby Towel Bear Print - Light Pink,,,449,363.69,(19% Off),,,https://www.firstcry.com/mee-mee/mee-mee-baby-towel-bear-print-light-pink/8905811/product-detail
