name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
Carter's 3-Piece Floral Little Short Set - Pink,,,1499,1049.3,(30% Off),,,https://www.firstcry.com//www.firstcry.com/carters/carters-3-piece-floral-little-short-set-pink/8432147/product-detail
Carter's 2-Piece Flutter Bodysuit & Short Set - Pink,,,1049,734.3,(30% Off),,,https://www.firstcry.com//www.firstcry.com/carters/carters-2-piece-flutter-bodysuit-and-short-set-pink/8432221/product-detail
Babyhug 100% Cotton Singlet Romper Floral Print - Pink White,,3 Left ,399,315.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-100-cotton-singlet-romper-floral-print-pink-white/3439558/product-detail
Mom's Love Full Sleeves Winter Wear Romper  - Yellow,,1 Left ,645,496.65,(23% Off),,,https://www.firstcry.com//www.firstcry.com/moms-love/moms-love-full-sleeves-winter-wear-romper-yellow/8287356/product-detail
Baby Naturelle & Me Sleeveless Jumpsuit Dragonfly Print - Blue,,2 Left ,380,307.8,(19% Off),,,https://www.firstcry.com//www.firstcry.com/baby-naturelle-and-me/baby-naturelle-and-me-sleeveless-jumpsuit-dragonfly-print-blue/8953460/product-detail
Babyhug Dungaree Style Romper with Cap Sleeves Inner Tee & Belt...,,2 Left ,899,710.21,(21% Off),,,https://www.firstcry.com//www.firstcry.com/babyhug/babyhug-dungaree-style-romper-with-cap-sleeves-inner-tee-and-belt-kitty-print-white-blue/3179704/product-detail
Baby Naturelle & Me Sleeveless Jumpsuit Bunny Print - Blue,,1 Left ,330,267.3,(19% Off),,,https://www.firstcry.com//www.firstcry.com/baby-naturelle-and-me/baby-naturelle-and-me-sleeveless-jumpsuit-bunny-print-blue/8947625/product-detail
Kookie Kids Sleeveless Dungaree Elephant Print - Blue,,1 Left ,688,543.52,(21% Off),,,https://www.firstcry.com//www.firstcry.com/kookie-kids/kookie-kids-sleeveless-dungaree-elephant-print-blue/8595927/product-detail
Dapper Dudes Half Sleeves Abstract Print Tee With Dungaree - Green,,1 Left ,699,594.15,(15% Off),,,https://www.firstcry.com//www.firstcry.com/dapper-dudes/dapper-dudes-half-sleeves-abstract-print-tee-with-dungaree-green/9021787/product-detail
Tales & Stories Sleeveless Home Run Embroidered Dungaree - Dark Blue,,2 Left ,1199,719.4,(40% Off),,,https://www.firstcry.com//www.firstcry.com/tales-and-stories/tales-and-stories-sleeveless-home-run-embroidered-dungaree-dark-blue/9291179/product-detail
Tales & Stories Sleeveless Car Patch Dungaree - Blue,,,1399,839.4,(40% Off),,,https://www.firstcry.com//www.firstcry.com/tales-and-stories/tales-and-stories-sleeveless-car-patch-dungaree-blue/9291158/product-detail
The Mom Store Pack of 3 Cap Sleeves Tree Print Romper - White,,,2999,2399.2,(20% Off),,,https://www.firstcry.com//www.firstcry.com/the-mom-store/the-mom-store-pack-of-3-cap-sleeves-tree-print-romper-white/9282579/product-detail
ToffyHouse Dungaree Style Romper With Half Sleeves Tee Jungle...,,1 Left ,795,643.95,(19% Off),,,https://www.firstcry.com//www.firstcry.com/toffyhouse/toffyhouse-dungaree-style-romper-with-half-sleeves-tee-jungle-embroidery-blue-white/8662237/product-detail
Carter's Cotton Romper - Pink,,1 Left ,899,629.3,(30% Off),,,https://www.firstcry.com//www.firstcry.com/carters/carters-cotton-romper-pink/8012836/product-detail
Dapper Dudes Checkered & Teddy Patch Dungaree With Half Sleeves Tee -...,,1 Left ,649,551.65,(15% Off),,,https://www.firstcry.com//www.firstcry.com/dapper-dudes/dapper-dudes-checkered-and-teddy-patch-dungaree-with-half-sleeves-tee-red/8662869/product-detail
Tales & Stories Sleeveless Striped Jumpsuit - Pink,,2 Left ,999,499.5,(50% Off),,,https://www.firstcry.com//www.firstcry.com/tales-and-stories/tales-and-stories-sleeveless-striped-jumpsuit-pink/8861294/product-detail
Tales & Stories Sleeveless Polka Dots Print Jumpsuit - Dark Blue,,1 Left ,1599,799.5,(50% Off),,,https://www.firstcry.com//www.firstcry.com/tales-and-stories/tales-and-stories-sleeveless-polka-dots-print-jumpsuit-dark-blue/8861286/product-detail
ToffyHouse Half Sleeves Tee With Dungaree Stripes - Blue,,1 Left ,675,546.75,(19% Off),,,https://www.firstcry.com//www.firstcry.com/toffyhouse/toffyhouse-half-sleeves-tee-with-dungaree-stripes-blue/8655066/product-detail
Little Jump Short Sleeves Button Down Jumpsuit - Green,,1 Left ,1299,1039.2,(20% Off),,,https://www.firstcry.com//www.firstcry.com/little-jump/little-jump-short-sleeves-button-down-jumpsuit-green/9156838/product-detail
Kookie Kids Half Sleeves Romper Animal Print - Yellow,,1 Left ,688,543.52,(21% Off),,,https://www.firstcry.com//www.firstcry.com/kookie-kids/kookie-kids-half-sleeves-romper-animal-print-yellow/8703778/product-detail
Little Jump Short Sleeves Button Down Jumpsuit - Green,,1 Left,1299,1039.2,(20% Off),,,https://www.firstcry.com/little-jump/little-jump-short-sleeves-button-down-jumpsuit-green/9156838/product-detail
Kookie Kids Half Sleeves Romper Animal Print - Yellow,,1 Left,688,543.52,(21% Off),,,https://www.firstcry.com/kookie-kids/kookie-kids-half-sleeves-romper-animal-print-yellow/8703778/product-detail
Babyhug Sleeveless Jumpsuit Floral Design - Navy,,1 Left,499,399.2,(20% Off),,,https://www.firstcry.com/babyhug/babyhug-sleeveless-jumpsuit-floral-design-navy/3467027/product-detail
Babyhug 100% Cotton Half Sleeves Onesie Vehicle Print - Yellow,,1 Left,229,185.49,(upto 24% Off),,,https://www.firstcry.com/babyhug/babyhug-100-cotton-half-sleeves-onesie-vehicle-print-yellow/3241675/product-detail
Play by Little Kangaroos Sleeveless Dungaree - Yellow,,1 Left,899,728.19,(19% Off),,,https://www.firstcry.com/play-by-little-kangaroos/play-by-little-kangaroos-sleeveless-dungaree-yellow/9019898/product-detail
Jo&Bo Half Sleeves Checked Romper - Green,,1 Left,599,509.15,(15% Off),,,https://www.firstcry.com/joandbo/joandbo-half-sleeves-checked-romper-green/8928148/product-detail
