name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Fashionable & Trendy Baby Diaper Bag Studio - Brick Red,1 left,,"₹2,395",,,,https://www.hopscotch.in/product/465228/my-milestones-fashionable-%26-trendy-baby-diaper-bag-studio---brick-red?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Chicco Baby Diaper Rash Cream 100 gm,,,₹279,,,,https://www.hopscotch.in/product/939522/chicco-baby-chicco-baby-diaper-rash-cream-100-gm?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Diaper Bag Swing Navy,1 left,,"₹2,195",,,,https://www.hopscotch.in/product/755612/my-milestones-diaper-bag-swing-navy?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
The Moms Co. Natural Diaper Rash Cream (25 gm),,₹199,₹159,(20% off),,,https://www.hopscotch.in/product/939437/the-moms-co-the-moms-co.-natural-diaper-rash-cream-(25-gm)?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Purple Diaper Messenger Bag,1 left,,"₹2,575",,,,https://www.hopscotch.in/product/538492/mes-enfants--purple-diaper-messenger-bag?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Fashionable & Trendy Baby Diaper Bag Duo Detach - Coffee,2 left,,"₹2,795",,,,https://www.hopscotch.in/product/465216/my-milestones-fashionable-%26-trendy-baby-diaper-bag-duo-detach---coffee?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
"Mother Sparsh Plant Powered Diaper Rash Cream for Babies, 50 g",,₹299,₹239,(20% off),,,https://www.hopscotch.in/product/939283/mother-sparsh-mother-sparsh-plant-powered-diaper-rash-cream-for-babies%2c-50-g?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Fashionable & Trendy Baby Diaper Bag Diva Tote - Lavender Checks,1 left,,"₹2,295",,,,https://www.hopscotch.in/product/565568/my-milestones-fashionable-%26-trendy-baby-diaper-bag-diva-tote---lavender-checks?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Animal Print White Diaper with Absorbent Insert,2 left,,₹549,,,,https://www.hopscotch.in/product/853445/seven-rainbows-animal-print-white-diaper-with-absorbent-insert?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Fashionable & Trendy Baby Diaper Bag Duo Detach - Pink,2 left,,"₹2,795",,,,https://www.hopscotch.in/product/465218/my-milestones-fashionable-%26-trendy-baby-diaper-bag-duo-detach---pink?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Fashionable & Trendy Baby Diaper Bag Diva Tote - Pink Geometric,2 left,,"₹2,295",,,,https://www.hopscotch.in/product/465222/my-milestones-fashionable-%26-trendy-baby-diaper-bag-diva-tote---pink-geometric?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
Sebamed Baby Rash Cream 100 ml,,,₹470,,,,https://www.hopscotch.in/product/939984/sebamed-sebamed-baby-rash-cream-100-ml?funnel=Search&funnel_tile=baby diaper&funnel_section=Keyword&section=Keyword&plp=baby diaper&from_screen=search
