name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Navy Blue LED Shoes,1 left,₹999,₹591,(41% off),,,https://www.hopscotch.in/product/697286/yangguang-navy-blue-led-shoes?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Pink Stars Printed LED Shoes,,,₹999,,,,https://www.hopscotch.in/product/685536/yunmu-pink-stars-printed-led-shoes?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Gray Fixed Lace LED Sneakers,,₹969,₹829,(14% off),,,https://www.hopscotch.in/product/783482/wanka-gray-fixed-lace-led-sneakers?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Gold Glittery Mary Jane With Satin Bow,,₹559,₹519,,,,https://www.hopscotch.in/product/575241/yangguang-gold-glittery-mary-jane-with-satin-bow?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Blue Solid Double Strap Sandals,,₹719,₹657,,,,https://www.hopscotch.in/product/847852/hsy-blue-solid-double-strap-sandals?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Peach Floral Sandals,1 left,₹709,₹284,(60% off),,,https://www.hopscotch.in/product/641648/thunderstone-peach-floral-sandals?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Gray High Tops Athletic Shoes,,₹999,₹738,(26% off),,,https://www.hopscotch.in/product/783476/wanka-gray-high-tops-athletic-shoes?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Denim Slip-On Booties With Elastic,,,₹435,,,,https://www.hopscotch.in/product/335401/ivee-denim-slip-on-booties-with-elastic?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Beige LED  Fixed Lace Sneakers,1 left,₹999,₹346,(65% off),,,https://www.hopscotch.in/product/783497/wanka-beige-led-fixed-lace-sneakers?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Cool Black LED Sneakers,1 left,₹999,₹491,(51% off),,,https://www.hopscotch.in/product/796763/natural-beauty--cool-black-led-sneakers?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
Nude Fixed Lace Sneakers,1 left,₹999,₹434,(57% off),,,https://www.hopscotch.in/product/783499/wanka-nude-fixed-lace-sneakers?funnel=Search&funnel_tile=baby footwear&funnel_section=Keyword&section=Keyword&plp=baby footwear&from_screen=search
