name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Chicco Baby Shampoo - 500 ML,,,₹449,,,,https://www.hopscotch.in/product/984146/chicco-baby-chicco-baby-shampoo-500-ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Cetaphil Baby Shampoo,,,₹585,,,,https://www.hopscotch.in/product/1064970/cetaphil-baby-cetaphil-baby-shampoo?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Chicco Baby Bathing Shampoo - 500ML,,₹899,₹674,(25% off),,,https://www.hopscotch.in/product/984165/chicco-baby-chicco-baby-bathing-shampoo-500ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Sebamed Children's Shampoo 150 ml,2 left,,₹427,,,,https://www.hopscotch.in/product/939981/sebamed-sebamed-children's-shampoo-150-ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Chicco Baby No Tears Shampoo 100 ml,,,₹99,,,,https://www.hopscotch.in/product/939518/chicco-baby-chicco-baby-no-tears-shampoo-100-ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Foam Shampoo For Newborns 150ML,,"₹1,040",₹728,(30% off),,,https://www.hopscotch.in/product/940519/mustela-foam-shampoo-for-newborns-150ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Mamaearth Gentle Cleansing Shampoo 400ml,1 left,₹399,₹359,(10% off),,,https://www.hopscotch.in/product/939231/mamaearth-mamaearth-gentle-cleansing-shampoo-400ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Mother Sparsh Plant Powered Natural Baby Shampoo 200ml,,₹390,₹312,(20% off),,,https://www.hopscotch.in/product/1059167/mother-sparsh-mother-sparsh-plant-powered-natural-baby-shampoo-200ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Chicco Baby Baby Shampoo  300ml,,,₹599,,,,https://www.hopscotch.in/product/939529/chicco-baby-chicco-baby-baby-shampoo-300ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
The Moms Co.Baby Shampoo (400 ml),,,₹699,,,,https://www.hopscotch.in/product/939474/the-moms-co-the-moms-co.baby-shampoo-(400-ml)?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
Suave Kids Shampoo 2 In1 Surfs Up 12 Oz / 355 ml,,,₹385,,,,https://www.hopscotch.in/product/1087532/suave-kids-suave-kids-shampoo-2-in1-surfs-up-12-oz-~2f-355-ml?funnel=Search&funnel_tile=baby shampoo&funnel_section=Keyword&section=Keyword&plp=baby shampoo&from_screen=search
