name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Elephant Shaped Baby Learning To Sit Chair Children'S Plush Toy,1 left,,"₹1,449",,,,https://www.hopscotch.in/product/837894/skylofts-elephant-shaped-baby-learning-to-sit-chair-children's-plush-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Soft Stuffed Animal Elephant Short Plush Doll Cotton Cushion Pillow Cover Toy Gray,2 left,"₹1,999","₹1,599",(20% off),,,https://www.hopscotch.in/product/539407/skylofts-soft-stuffed-animal-elephant-short-plush-doll-cotton-cushion-pillow-cover-toy-gray?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Animal Purple Pulling Toy,1 left,,₹599,,,,https://www.hopscotch.in/product/1059223/baby-moo-animal-purple-pulling-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Sunflower Yellow Pulling Toy,,,₹899,,,,https://www.hopscotch.in/product/1059226/baby-moo-sunflower-yellow-pulling-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Moon Green Pulling Toy,,,₹899,,,,https://www.hopscotch.in/product/1059224/baby-moo-moon-green-pulling-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Your Star is Born Orange Pulling Toy,,,₹899,,,,https://www.hopscotch.in/product/1059225/baby-moo-your-star-is-born-orange-pulling-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Elephant Pull and Push Toy,,,₹899,,,,https://www.hopscotch.in/product/944496/hapsters-elephant-pull-and-push-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Lion Yellow Hanging Musical Toy,,,₹699,,,,https://www.hopscotch.in/product/1073630/baby-moo-lion-yellow-hanging-musical-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Hippo Pull and Push Toy,,,₹899,,,,https://www.hopscotch.in/product/944497/hapsters-hippo-pull-and-push-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Squeaky Bath Toys - Set of 6,,,₹499,,,,https://www.hopscotch.in/product/944460/hapsters-squeaky-bath-toys---set-of-6?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Fox Orange And Green Hanging Musical Toy,,,₹699,,,,https://www.hopscotch.in/product/1073629/baby-moo-fox-orange-and-green-hanging-musical-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Baby Toddles ChuChu Toys Set of 5 pieces,,,₹499,,,,https://www.hopscotch.in/product/1006498/seven-rainbows-baby-toddles-chuchu-toys-set-of-5-pieces?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Wooden Baby Snel Pull Along Toy - Green,,,₹399,,,,https://www.hopscotch.in/product/1041624/seven-rainbows-wooden-baby-snel-pull-along-toy---green?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Wooden Baby Snel Pull Along Toy - Yellow,1 left,,₹399,,,,https://www.hopscotch.in/product/1041625/seven-rainbows-wooden-baby-snel-pull-along-toy---yellow?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Bright Baby Duchies,1 left,,₹369,,,,https://www.hopscotch.in/product/942496/playgro-bright-baby-duchies?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Smart Fox Orange Hanging Pulling Toy With Teether,,,₹999,,,,https://www.hopscotch.in/product/1073626/baby-moo-smart-fox-orange-hanging-pulling-toy-with-teether?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Smiley Panda White Hanging Pulling Toy With Teether,,,₹999,,,,https://www.hopscotch.in/product/1073625/baby-moo-smiley-panda-white-hanging-pulling-toy-with-teether?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Zoo Squeeze And Shower,,,"₹1,399",,,,https://www.hopscotch.in/product/1010999/skip-hop-zoo-squeeze-and-shower?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Unbreakable Mini Monster 4 Wheel Friction Powered Push Toys - 4 Pcs,,"₹1,499",₹849,(43% off),,,https://www.hopscotch.in/product/1014485/enorme-unbreakable-mini-monster-4-wheel-friction-powered-push-toys---4-pcs?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Skip Hop Stroll & Go Portable Baby Soother- Owl,1 left,,"₹2,299",,,,https://www.hopscotch.in/product/976826/skip-hop-skip-hop-stroll-%26-go-portable-baby-soother--owl?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Picnic By The Pond Multicolour Musical Cot Mobile,,,"₹1,199",,,,https://www.hopscotch.in/product/1073604/baby-moo-picnic-by-the-pond-multicolour-musical-cot-mobile?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Unbreakable Mini Monster 4 Wheel Friction Powered Push Toys- Any 2 Pcs,,₹899,₹449,(50% off),,,https://www.hopscotch.in/product/1014483/enorme-unbreakable-mini-monster-4-wheel-friction-powered-push-toys--any-2-pcs?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Baby Elephant Musical Press Sliding Toy,,,₹999,,,,https://www.hopscotch.in/product/944461/hapsters-baby-elephant-musical-press-sliding-toy?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
Farmstand Rock A Mole Guitar,,,"₹2,299",,,,https://www.hopscotch.in/product/1010985/skip-hop-farmstand-rock-a-mole-guitar?funnel=Search&funnel_tile=baby toys&funnel_section=Keyword&section=Keyword&plp=baby toys&from_screen=search
