name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Pink Flower Print Halter Neck Onesies with Headband,1 left,₹999,₹828,(17% off),,,https://www.hopscotch.in/product/668260/hopscotch-pink-flower-print-halter-neck-onesies-with-headband?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
VPK -  Multicolour Pack of 5 Onesies,1 left,₹999,₹784,(22% off),,,https://www.hopscotch.in/product/536204/tedmimak-vpk---multicolour-pack-of-5-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Black Sleeveless Lace Onesies For Girl's,,₹779,₹607,(22% off),,,https://www.hopscotch.in/product/791937/tnsc-black-sleeveless-lace-onesies-for-girl's?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Pink Heart Print Onesies with Headband,,₹819,₹551,(33% off),,,https://www.hopscotch.in/product/667747/hopscotch-pink-heart-print-onesies-with-headband?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Blue Flower Print Onesies with Headband,,₹799,₹621,(22% off),,,https://www.hopscotch.in/product/662499/hopscotch-blue-flower-print-onesies-with-headband?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Floral Applique Sleeveless Onesies  - Red,,₹839,₹744,(11% off),,,https://www.hopscotch.in/product/841999/fuerjia-floral-applique-sleeveless-onesies---red?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Pink Flower Lace Onesies with Headband,1 left,₹917,₹488,(47% off),,,https://www.hopscotch.in/product/665814/cat-papa-pink-flower-lace-onesies-with-headband?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Floral Print Wing Sleeves White Onesie,1 left,₹899,₹598,(33% off),,,https://www.hopscotch.in/product/812321/yts-floral-print-wing-sleeves-white-onesie?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Lovely White Lace Onesies,1 left,₹989,₹526,(47% off),,,https://www.hopscotch.in/product/794174/yuzikou-lovely-white-lace-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Black Flower Applique Onesies,1 left,₹849,₹704,(17% off),,,https://www.hopscotch.in/product/667724/yts-black-flower-applique-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
