name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Duke, New ,, ₹995 ,₹ 846,15% off,,,https://www.limeroad.com/yellow-cottoncotton-blend-duke-p17757575?imgIdx=3
        by Duke, New ,, ₹599 ,₹ 360,40% off,,,https://www.limeroad.com/white-cottoncotton-blend-duke-p17754337?imgIdx=3
        by Jockey,,,,₹ 799,,,,https://www.limeroad.com/white-cotton-jockey-p13994858?imgIdx=3
        by Duke,,, ₹925 ,₹ 555,40% off,,,https://www.limeroad.com/navy-blue-cottonpoly-cotton-duke-p17710223?imgIdx=3
        by Fat Bob,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 516,66% off,,,https://www.limeroad.com/yellow-cottoncotton-blend-fat-bob-p17629469?imgIdx=3
        by Duke, New ,, ₹925 ,₹ 834,10% off,,,https://www.limeroad.com/multi-cottoncotton-blend-duke-p17784955?imgIdx=3
        by Austin Wood,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 527,65% off,,,https://www.limeroad.com/grey-cottoncotton-blend-austin-wood-p17628914?imgIdx=3
        by Austin Wood, New ,, ₹1499 ,₹ 499,67% off,,,https://www.limeroad.com/multi-cottoncotton-blend-austin-wood-p17783647?imgIdx=3
        by Swiss Club, New , offer Buy 2 Get 1 Free , ₹1199 ,₹ 959,20% off,,,https://www.limeroad.com/yellow-cotton100-cotton-swiss-club-p17607719?imgIdx=3&src_id=fromsearch__0
        by Smash Get Noticed,, offer Buy 2 Get 1 Free , ₹1699 ,₹ 776,54% off,,,https://www.limeroad.com/blue-cotton100-cotton-smash-get-noticed-p17753075?imgIdx=3&src_id=fromsearch__0
        by The Million Club, New ,, ₹1799 ,₹ 699,61% off,,,https://www.limeroad.com/blue-polyester100-the-million-club-p17783779?imgIdx=3&src_id=fromsearch__0
        by Marca Disati, New ,, ₹999 ,₹ 599,40% off,,,https://www.limeroad.com/black-cottonpoly-cotton-marca-disati-p17782962?imgIdx=3&src_id=fromsearch__0
        by The Million Club, New ,, ₹1799 ,₹ 699,61% off,,,https://www.limeroad.com/black-polyester100-the-million-club-p17783771?imgIdx=3&src_id=fromsearch__0
        by Smash Get Noticed,, offer Buy 2 Get 1 Free , ₹1099 ,₹ 554,50% off,,,https://www.limeroad.com/red-cotton100-cotton-smash-get-noticed-p17753083?imgIdx=3&src_id=fromsearch__0
        by HARBOR N BAY, New ,, ₹1299 ,₹ 449,65% off,,,https://www.limeroad.com/yellow-cottoncotton-blend-harbor-n-bay-p17771130?imgIdx=3&src_id=fromsearch__0
        by Monte Carlo,,, ₹790 ,₹ 632,20% off,,,https://www.limeroad.com/blue-cottoncotton-blend-monte-carlo-p17687357?imgIdx=3&src_id=fromsearch__0
        by The Million Club,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 399,73% off,,,https://www.limeroad.com/black-polyesterpoly-blend-the-million-club-p17652287?imgIdx=3&src_id=fromsearch__0
        by Duke, New ,, ₹699 ,₹ 560,20% off,,,https://www.limeroad.com/maroon-cottoncotton-blend-duke-p17757567?imgIdx=3&src_id=fromsearch__0
        by Ruggers, New ,, ₹599 ,₹ 509,15% off,,,https://www.limeroad.com/yellow-cottoncotton-blend-ruggers-p17584356?imgIdx=3&src_id=fromsearch__0
        by HARBOR N BAY, New ,, ₹1299 ,₹ 449,65% off,,,https://www.limeroad.com/yellow-cottoncotton-blend-harbor-n-bay-p17771126?imgIdx=3&src_id=fromsearch__0
        by Duke,,, ₹1495 ,₹ 897,40% off,,,https://www.limeroad.com/black-cotton100-cotton-duke-p17760014?imgIdx=3&src_id=fromsearch__0
        by Duke, New ,, ₹599 ,₹ 360,40% off,,,https://www.limeroad.com/black-cottoncotton-blend-duke-p17754330?imgIdx=3&src_id=fromsearch__0
        by Youngsquad,, offer Buy 2 Get 1 Free , ₹2499 ,₹ 1219,51% off,,,https://www.limeroad.com/multi-cotton100-cotton-youngsquad-p17673364?imgIdx=3&src_id=fromsearch__0
        by Duke,,, ₹699 ,₹ 420,40% off,,,https://www.limeroad.com/grey-cottoncotton-blend-duke-p17754341?imgIdx=3&src_id=fromsearch__0
        by Duke,,, ₹995 ,₹ 597,40% off,,,https://www.limeroad.com/white-cottonpoly-cotton-duke-p17754318?imgIdx=3&src_id=fromsearch__0
