name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Fat Bob, New , offer Buy 2 Get 1 Free , ₹1699 ,₹ 549,68% off,,,https://www.limeroad.com/white-cotton-fat-bob-p17690274?imgIdx=3
        by PARK AVENUE, New ,, ₹1250 ,₹ 812,35% off,,,https://www.limeroad.com/black-cotton-park-avenue-p17800139?imgIdx=3
        by Alcis, New ,, ₹1699 ,₹ 1019,40% off,,,https://www.limeroad.com/grey-alcis-p17825417?imgIdx=3
        by Fat Bob, New , offer Buy 2 Get 1 Free , ₹1649 ,₹ 549,67% off,,,https://www.limeroad.com/black-cotton-fat-bob-p17690277?imgIdx=3
        by Fitz, New , offer Buy 2 Get 1 Free , ₹1595 ,₹ 758,52% off,,,https://www.limeroad.com/navy-blue-fitz-p17832383?imgIdx=3
        by PARK AVENUE, New ,, ₹1699 ,₹ 1104,35% off,,,https://www.limeroad.com/black-cotton-blend-park-avenue-p17800141?imgIdx=3
        by Sapper, New ,, ₹2499 ,₹ 1299,48% off,,,https://www.limeroad.com/multi-cotton-sapper-p17856581?imgIdx=3
        by Fitz, New , offer Buy 2 Get 1 Free , ₹1395 ,₹ 663,52% off,,,https://www.limeroad.com/black-fitz-p17832384?imgIdx=3
        by Pkr Sports,, offer Buy 2 Get 1 Free , ₹1299 ,₹ 529,59% off,,,https://www.limeroad.com/grey-pkr-sports-p17663963?imgIdx=3&src_id=fromsearch__0
        by Yogair,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 749,50% off,,,https://www.limeroad.com/black-yogair-p16768074?imgIdx=3&src_id=fromsearch__0
        by HARBOR N BAY,, offer Buy 2 Get 1 Free , ₹2249 ,₹ 758,66% off,,,https://www.limeroad.com/black-cotton-harbor-n-bay-p17771120?imgIdx=3&src_id=fromsearch__0
        by Pkr Sports,, offer Buy 2 Get 1 Free , ₹1299 ,₹ 529,59% off,,,https://www.limeroad.com/green-pkr-sports-p17663964?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2299 ,₹ 897,61% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p15231844?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹1400 ,₹ 546,61% off,,,https://www.limeroad.com/navy-blue-cotton-vimal-jonney-p16994962?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹1800 ,₹ 900,50% off,,,https://www.limeroad.com/multi-cotton-vimal-p11462180?imgIdx=3&src_id=fromsearch__0
        by Muffy,, offer Buy 2 Get 1 Free , ₹899 ,₹ 561,38% off,,,https://www.limeroad.com/blue-cotton-muffy-p16933209?imgIdx=3&src_id=fromsearch__0
        by Balista,,, ₹1599 ,₹ 749,53% off,,,https://www.limeroad.com/black-cotton-balista-p15573954?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2800 ,₹ 896,68% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p15231856?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2800 ,₹ 896,68% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p15231858?imgIdx=3&src_id=fromsearch__0
        by Sapper,, offer Buy 2 Get 1 Free , ₹1299 ,₹ 772,41% off,,,https://www.limeroad.com/black-cotton-sapper-p17553793?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2299 ,₹ 897,61% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p15231796?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2299 ,₹ 897,61% off,,,https://www.limeroad.com/multi-cotton-vimal-p11678019?imgIdx=3&src_id=fromsearch__0
        by Black Panther,,,,₹ 999,,,,https://www.limeroad.com/black-black-panther-p17599519?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹899 ,₹ 548,39% off,,,https://www.limeroad.com/black-cotton-vimal-jonney-p16994957?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹899 ,₹ 548,39% off,,,https://www.limeroad.com/navy-blue-cotton-vimal-jonney-p16994970?imgIdx=3&src_id=fromsearch__0
        by Sapper,, offer Buy 2 Get 1 Free , ₹2199 ,₹ 1113,49% off,,,https://www.limeroad.com/blue-sapper-p16690995?imgIdx=3&src_id=fromsearch__0
        by Lesuzaki,,, ₹799 ,₹ 449,44% off,,,https://www.limeroad.com/grey-cotton-lesuzaki-p16679397?imgIdx=3&src_id=fromsearch__0
        by Lesuzaki,,, ₹799 ,₹ 449,44% off,,,https://www.limeroad.com/navy-blue-cotton-lesuzaki-p16679436?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹1800 ,₹ 900,50% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p15231743?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2229 ,₹ 892,60% off,,,https://www.limeroad.com/multi-cotton-vimal-p11462217?imgIdx=3&src_id=fromsearch__0
        by Mash Unlimited,, offer Buy 2 Get 1 Free , ₹899 ,₹ 699,22% off,,,https://www.limeroad.com/black-cotton-mash-unlimited-p17216633?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹1400 ,₹ 546,61% off,,,https://www.limeroad.com/black-cotton-vimal-jonney-p16994937?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹1800 ,₹ 900,50% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p15231751?imgIdx=3&src_id=fromsearch__0
        by Kissero,,, ₹1599 ,₹ 999,38% off,,,https://www.limeroad.com/multi-cotton-kissero-p16791699?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2299 ,₹ 897,61% off,,,https://www.limeroad.com/multi-cotton-vimal-p11677956?imgIdx=3&src_id=fromsearch__0
        by Zeffit,, offer Buy 2 Get 1 Free , ₹2099 ,₹ 949,55% off,,,https://www.limeroad.com/multi-cotton-blend-zeffit-p17548077?imgIdx=3&src_id=fromsearch__0
