name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Breakbounce Streetwear,,, ₹1299 ,₹ 649,50% off,,,https://www.limeroad.com/grey-cotton-breakbounce-streetwear-p17431991?imgIdx=3
        by PLUSS,,, ₹1499 ,₹ 749,50% off,,,https://www.limeroad.com/grey-cotton-pluss-p17196871?imgIdx=3
        by Zeffit,, offer Buy 2 Get 1 Free , ₹999 ,₹ 507,49% off,,,https://www.limeroad.com/grey-cotton-zeffit-p16783438?imgIdx=3
        by Vimal Jonney, New ,, ₹2299 ,₹ 897,61% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p17059322?imgIdx=3
        by Jockey,,,,₹ 1009,,,,https://www.limeroad.com/grey-cotton-jockey-p13121345?imgIdx=3
        by Monte Carlo,,, ₹1799 ,₹ 1259,30% off,,,https://www.limeroad.com/black-cotton-blend-monte-carlo-p17734728?imgIdx=3
        by Fat Bob,, offer Buy 2 Get 1 Free , ₹1649 ,₹ 549,67% off,,,https://www.limeroad.com/black-cotton-fat-bob-p17690277?imgIdx=3
        by Vimal Jonney,,, ₹899 ,₹ 548,39% off,,,https://www.limeroad.com/multi-cotton-vimal-p11462252?imgIdx=3
        by Fitz, New , offer Buy 2 Get 1 Free , ₹1595 ,₹ 758,52% off,,,https://www.limeroad.com/navy-blue-fitz-p17832383?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney, New ,, ₹2800 ,₹ 952,66% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p17823875?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1699 ,₹ 1007,41% off,,,https://www.limeroad.com/green-poker-active-p17855308?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹2699 ,₹ 1416,48% off,,,https://www.limeroad.com/red-poker-active-p17855310?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney, New ,, ₹1400 ,₹ 504,64% off,,,https://www.limeroad.com/black-cotton-vimal-jonney-p17698492?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1499 ,₹ 1007,33% off,,,https://www.limeroad.com/red-poker-active-p17855306?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney, New ,, ₹2800 ,₹ 952,66% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p17823908?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1499 ,₹ 1007,33% off,,,https://www.limeroad.com/navy-blue-poker-active-p17855305?imgIdx=3&src_id=fromsearch__0
        by Zeffit,, offer Buy 2 Get 1 Free , ₹2099 ,₹ 949,55% off,,,https://www.limeroad.com/multi-cotton-blend-zeffit-p17548080?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹2049 ,₹ 681,67% off,,,https://www.limeroad.com/navy-blue-poker-active-p17855272?imgIdx=3&src_id=fromsearch__0
        by Kissero,,, ₹799 ,₹ 535,33% off,,,https://www.limeroad.com/black-cotton-kissero-p16664672?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney, New ,, ₹1798 ,₹ 899,50% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p17059305?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹1400 ,₹ 546,61% off,,,https://www.limeroad.com/multi-cotton-vimal-p11461372?imgIdx=3&src_id=fromsearch__0
        by Zeffit,, offer Buy 2 Get 1 Free , ₹999 ,₹ 507,49% off,,,https://www.limeroad.com/grey-cotton-zeffit-p16783441?imgIdx=3&src_id=fromsearch__0
        by Zeffit,, offer Buy 2 Get 1 Free , ₹999 ,₹ 518,48% off,,,https://www.limeroad.com/blue-cotton-zeffit-p16799747?imgIdx=3&src_id=fromsearch__0
        by Lesuzaki,,, ₹799 ,₹ 449,44% off,,,https://www.limeroad.com/black-cotton-lesuzaki-p16679392?imgIdx=3&src_id=fromsearch__0
        by Rock.It, New ,, ₹1499 ,₹ 1049,30% off,,,https://www.limeroad.com/grey-rockit-p17844230?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1699 ,₹ 1007,41% off,,,https://www.limeroad.com/black-poker-active-p17855311?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1699 ,₹ 965,43% off,,,https://www.limeroad.com/navy-blue-cotton-poker-active-p17855296?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney, New ,, ₹1798 ,₹ 899,50% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p17059299?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney, New ,, ₹1798 ,₹ 899,50% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p17059319?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1699 ,₹ 1007,41% off,,,https://www.limeroad.com/black-poker-active-p17855307?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1499 ,₹ 1469,2% off,,,https://www.limeroad.com/grey-poker-active-p17855313?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1699 ,₹ 965,43% off,,,https://www.limeroad.com/black-cotton-poker-active-p17855295?imgIdx=3&src_id=fromsearch__0
        by Colt, New ,,,₹ 599,,,,https://www.limeroad.com/grey-cotton-colt-p17845079?imgIdx=3&src_id=fromsearch__0
        by Neva, New ,, ₹899 ,₹ 809,10% off,,,https://www.limeroad.com/black-cotton-blend-neva-p17833764?imgIdx=3&src_id=fromsearch__0
        by Colt, New ,,,₹ 599,,,,https://www.limeroad.com/navy-blue-cotton-colt-p17845064?imgIdx=3&src_id=fromsearch__0
        by Rock.It, New ,, ₹1599 ,₹ 1039,35% off,,,https://www.limeroad.com/navy-blue-rockit-p17844268?imgIdx=3&src_id=fromsearch__0
        by Duke, New ,, ₹1295 ,₹ 908,30% off,,,https://www.limeroad.com/grey-cotton-blend-duke-p17874036?imgIdx=3&src_id=fromsearch__0
        by Kissero,,, ₹1599 ,₹ 999,38% off,,,https://www.limeroad.com/multi-cotton-kissero-p16791761?imgIdx=3&src_id=fromsearch__0
        by Zeffit,,, ₹1799 ,₹ 899,50% off,,,https://www.limeroad.com/multi-cotton-blend-zeffit-p17548050?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹899 ,₹ 548,39% off,,,https://www.limeroad.com/grey-cotton-vimal-jonney-p16994958?imgIdx=3&src_id=fromsearch__0
        by Rock.It,,, ₹1995 ,₹ 1297,35% off,,,https://www.limeroad.com/grey-cotton-blend-rockit-p17511562?imgIdx=3&src_id=fromsearch__0
        by Rock.It,,, ₹1995 ,₹ 1496,25% off,,,https://www.limeroad.com/grey-rockit-p17524464?imgIdx=3&src_id=fromsearch__0
        by Muffy,, offer Buy 2 Get 1 Free , ₹1049 ,₹ 655,38% off,,,https://www.limeroad.com/brown-cotton-muffy-p16933226?imgIdx=3&src_id=fromsearch__0
        by HARBOR N BAY,, offer Buy 2 Get 1 Free , ₹2599 ,₹ 969,63% off,,,https://www.limeroad.com/grey-cotton-harbor-n-bay-p17605153?imgIdx=3&src_id=fromsearch__0
        by Canary London,, offer Buy 2 Get 1 Free , ₹1799 ,₹ 1169,35% off,,,https://www.limeroad.com/green-wool-canary-london-p17521062?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2299 ,₹ 897,61% off,,,https://www.limeroad.com/multi-cotton-vimal-jonney-p15231933?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney, New ,, ₹1400 ,₹ 504,64% off,,,https://www.limeroad.com/grey-cotton-vimal-jonney-p17698491?imgIdx=3&src_id=fromsearch__0
        by Poker Active, New ,, ₹1699 ,₹ 692,59% off,,,https://www.limeroad.com/green-poker-active-p17855278?imgIdx=3&src_id=fromsearch__0
        by Sapper, New ,, ₹2499 ,₹ 1299,48% off,,,https://www.limeroad.com/multi-cotton-sapper-p17856581?imgIdx=3&src_id=fromsearch__0
        by Vimal Jonney,,, ₹2229 ,₹ 892,60% off,,,https://www.limeroad.com/multi-cotton-vimal-p11462194?imgIdx=3&src_id=fromsearch__0
        by Lesuzaki,,, ₹799 ,₹ 449,44% off,,,https://www.limeroad.com/yellow-cotton-lesuzaki-p16679382?imgIdx=3&src_id=fromsearch__0
        by Rock.It, New ,, ₹1499 ,₹ 1049,30% off,,,https://www.limeroad.com/navy-blue-rockit-p17844263?imgIdx=3&src_id=fromsearch__0
