name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Saanjh,, offer Buy 2 Get 1 Free , ₹3019 ,₹ 1181,61% off,,,https://www.limeroad.com/offwhite-cotton-saanjh-p17438581?imgIdx=3
        by Sera,, offer Buy 2 Get 1 Free , ₹1598 ,₹ 983,38% off,,,https://www.limeroad.com/blue-sera-p17345611?imgIdx=3
        by Karigari,,, ₹899 ,₹ 764,15% off,,,https://www.limeroad.com/white-rayon-karigari-p17580588?imgIdx=3
        by Clorals,, offer Buy 2 Get 1 Free , ₹2250 ,₹ 696,69% off,,,https://www.limeroad.com/navy-blue-viscose-clorals-p16767301?imgIdx=3
        by buynewtrend,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 653,56% off,,,https://www.limeroad.com/black-cotton-lycra-buynewtrend-p16894800?imgIdx=3
        by Ly2,, offer Buy 2 Get 1 Free , ₹5899 ,₹ 3539,40% off,,,https://www.limeroad.com/black-spangles-p17651649?imgIdx=3
        by Ly2,, offer Buy 2 Get 1 Free , ₹4799 ,₹ 2879,40% off,,,https://www.limeroad.com/white-cotton-spangles-p17651658?imgIdx=3
        by Myshka,,, ₹2499 ,₹ 698,72% off,,,https://www.limeroad.com/pink-cotton-myshka-p17474325?imgIdx=3
        by MsFQ,,, ₹2499 ,₹ 1624,35% off,,,https://www.limeroad.com/maroon-msfq-p17585094?imgIdx=3&src_id=fromsearch__0
        by Veldress,,, ₹999 ,₹ 699,30% off,,,https://www.limeroad.com/brown-rayon-veldress-p17504749?imgIdx=3&src_id=fromsearch__0
        by Ethnic Street,,, ₹1899 ,₹ 850,55% off,,,https://www.limeroad.com/multi-cotton-ethnic-street-p17006740?imgIdx=3&src_id=fromsearch__0
        by Parory,,, ₹2999 ,₹ 1299,57% off,,,https://www.limeroad.com/Grey-Georgette-Parory-p17653170?imgIdx=3&src_id=fromsearch__0
        by A K Fashion, exclusive ,, ₹1300 ,₹ 576,56% off,,,https://www.limeroad.com/yellow-a-k-fashion-p15946353?imgIdx=3&src_id=fromsearch__0
        by Girly Girls,,, ₹1099 ,₹ 599,45% off,,,https://www.limeroad.com/black-crepe-girly-girls-p17598343?imgIdx=3&src_id=fromsearch__0
        by Wedani,,, ₹2499 ,₹ 599,76% off,,,https://www.limeroad.com/peach-crepe-wedani-p17745762?imgIdx=3&src_id=fromsearch__0
        by GOD BLESS, New ,, ₹1499 ,₹ 735,51% off,,,https://www.limeroad.com/blue-rayon-god-bless-p17790412?imgIdx=3&src_id=fromsearch__0
        by Iti, New ,, ₹2099 ,₹ 1616,23% off,,,https://www.limeroad.com/blue-georgette-iti-p17776360?imgIdx=3&src_id=fromsearch__0
        by Globus,,, ₹2199 ,₹ 550,75% off,,,https://www.limeroad.com/red-globus-p16889936?imgIdx=3&src_id=fromsearch__0
        by Saanjh, New ,, ₹3489 ,₹ 1291,63% off,,,https://www.limeroad.com/grey-cotton-saanjh-p17769070?imgIdx=3&src_id=fromsearch__0
        by GOODWILL,, offer Buy 2 Get 1 Free , ₹1399 ,₹ 999,29% off,,,https://www.limeroad.com/black-georgette-goodwill-p17148555?imgIdx=3&src_id=fromsearch__0
        by Henry And Zoe,, offer Buy 2 Get 1 Free , ₹1500 ,₹ 1300,13% off,,,https://www.limeroad.com/white-henry-and-zoe-p17568181?imgIdx=3&src_id=fromsearch__0
        by PLUSS,,, ₹1999 ,₹ 999,50% off,,,https://www.limeroad.com/purple-pluss-p17764952?imgIdx=3&src_id=fromsearch__0
        by Mode Connection,,, ₹1999 ,₹ 789,61% off,,,https://www.limeroad.com/white-cotton-mode-connection-p17588236?imgIdx=3&src_id=fromsearch__0
        by Antheaa,, offer Buy 2 Get 1 Free , ₹2459 ,₹ 1496,39% off,,,https://www.limeroad.com/navy-blue-georgette-antheaa-p16940200?imgIdx=3&src_id=fromsearch__0
        by PLUSS,,, ₹2499 ,₹ 1249,50% off,,,https://www.limeroad.com/red-pluss-p17764877?imgIdx=3&src_id=fromsearch__0
        by Guniaa,,, ₹2199 ,₹ 1099,50% off,,,https://www.limeroad.com/multi-cotton-guniaa-p17350303?imgIdx=3&src_id=fromsearch__0
        by Besiva,,, ₹1599 ,₹ 829,48% off,,,https://www.limeroad.com/maroon-besiva-p15728525?imgIdx=3&src_id=fromsearch__0
        by Anvi Be Yourself,,, ₹3150 ,₹ 945,70% off,,,https://www.limeroad.com/navy-blue-georgette-anvi-be-yourself-p17642057?imgIdx=3&src_id=fromsearch__0
        by Cottinfab,, offer Buy 2 Get 1 Free , ₹3359 ,₹ 926,72% off,,,https://www.limeroad.com/multicolor-polyester-dress-cottinfab-p10460930?imgIdx=3&src_id=fromsearch__0
        by Aks Couture, New ,, ₹1299 ,₹ 844,35% off,,,https://www.limeroad.com/navy-blue-cotton-aks-couture-p17770015?imgIdx=3&src_id=fromsearch__0
        by PLUSS,, offer Buy 2 Get 1 Free , ₹1899 ,₹ 807,58% off,,,https://www.limeroad.com/pink-pluss-p17361913?imgIdx=3&src_id=fromsearch__0
        by Addyvero,, offer Buy 2 Get 1 Free , ₹1899 ,₹ 769,60% off,,,https://www.limeroad.com/black-cotton-blend-addyvero-p15806269?imgIdx=3&src_id=fromsearch__0
        by Wedani,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 799,60% off,,,https://www.limeroad.com/white-net-wedani-p17754950?imgIdx=3&src_id=fromsearch__0
        by Kassually,, offer Buy 2 Get 1 Free , ₹1699 ,₹ 822,52% off,,,https://www.limeroad.com/green-kassually-p16041184?imgIdx=3&src_id=fromsearch__0
        by PLUSS,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 675,55% off,,,https://www.limeroad.com/maroon-pluss-p17438292?imgIdx=3&src_id=fromsearch__0
        by Clorals,,, ₹2500 ,₹ 800,68% off,,,https://www.limeroad.com/pink-cotton-clorals-p16767320?imgIdx=3&src_id=fromsearch__0
        by Style Mill,,, ₹2799 ,₹ 2195,22% off,,,https://www.limeroad.com/Yellow-Georgette-STYLE-MILL-p17674465?imgIdx=3&src_id=fromsearch__0
        by A K Fashion,,, ₹1300 ,₹ 693,47% off,,,https://www.limeroad.com/blue-georgette-a-k-fashion-p16667842?imgIdx=3&src_id=fromsearch__0
        by Cottinfab,, offer Buy 2 Get 1 Free , ₹2099 ,₹ 897,57% off,,,https://www.limeroad.com/brown-poly-viscose-cottinfab-p17413918?imgIdx=3&src_id=fromsearch__0
        by Blue Chic,, offer Freebie , ₹1899 ,₹ 950,50% off,,,https://www.limeroad.com/navy-blue-rayon-blue-chic-p16908232?imgIdx=3&src_id=fromsearch__0
        by SHYAMMC,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 583,71% off,,,https://www.limeroad.com/green-crepe-shyammc-p15661123?imgIdx=3&src_id=fromsearch__0
        by Myshka,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 991,50% off,,,https://www.limeroad.com/white-rayon-myshka-p17127257?imgIdx=3&src_id=fromsearch__0
        by Ethnic Street,,, ₹1799 ,₹ 799,56% off,,,https://www.limeroad.com/blue-cotton-ethnic-street-p17006744?imgIdx=3&src_id=fromsearch__0
        by Absorbing,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 749,63% off,,,https://www.limeroad.com/white-georgette-absorbing-p16135673?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹1699 ,₹ 620,64% off,,,https://www.limeroad.com/multi-oxolloxo-p16527669?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,,, ₹1899 ,₹ 741,61% off,,,https://www.limeroad.com/blue-oxolloxo-p17715261?imgIdx=3&src_id=fromsearch__0
        by Color Cocktail,, offer Buy 2 Get 1 Free , ₹1899 ,₹ 949,50% off,,,https://www.limeroad.com/beige-crepe-color-cocktail-p17578740?imgIdx=3&src_id=fromsearch__0
        by Girly Girls,,, ₹1099 ,₹ 599,45% off,,,https://www.limeroad.com/green-crepe-girly-girls-p17598347?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹2499 ,₹ 875,65% off,,,https://www.limeroad.com/black-park-avenue-p17793020?imgIdx=3&src_id=fromsearch__0
        by Aks Couture, New ,, ₹1699 ,₹ 1104,35% off,,,https://www.limeroad.com/multi-viscose-aks-couture-p17770098?imgIdx=3&src_id=fromsearch__0
        by Iti, New ,, ₹2599 ,₹ 1689,35% off,,,https://www.limeroad.com/navy-blue-georgette-iti-p17776474?imgIdx=3&src_id=fromsearch__0
        by Five Stones, New ,, ₹1799 ,₹ 899,50% off,,,https://www.limeroad.com/pink-five-stones-p17756121?imgIdx=3&src_id=fromsearch__0
        by Myshka, New ,, ₹2999 ,₹ 1499,50% off,,,https://www.limeroad.com/blue-cotton-myshka-p17782565?imgIdx=3&src_id=fromsearch__0
        by Cottinfab, New ,, ₹1749 ,₹ 787,55% off,,,https://www.limeroad.com/maroon-viscose-cottinfab-p17797379?imgIdx=3&src_id=fromsearch__0
        by texco, New ,, ₹1899 ,₹ 999,47% off,,,https://www.limeroad.com/multi-crepe-texco-p17164723?imgIdx=3&src_id=fromsearch__0
        by Iti, New ,, ₹2299 ,₹ 1609,30% off,,,https://www.limeroad.com/teal-blue-georgette-iti-p17780744?imgIdx=3&src_id=fromsearch__0
        by Aasi   House Of Nayo,, offer Buy 2 Get 1 Free , ₹1199 ,₹ 671,44% off,,,https://www.limeroad.com/maroon-cotton-aasi-house-of-nayo-p16723216?imgIdx=3&src_id=fromsearch__0
        by Myshka,, offer Buy 2 Get 1 Free , ₹2499 ,₹ 750,70% off,,,https://www.limeroad.com/blue-myshka-p17415437?imgIdx=3&src_id=fromsearch__0
        by Myshka, New ,, ₹2999 ,₹ 1499,50% off,,,https://www.limeroad.com/navy-blue-rayon-myshka-p17782556?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹1699 ,₹ 620,64% off,,,https://www.limeroad.com/multi-oxolloxo-p16506751?imgIdx=3&src_id=fromsearch__0
        by A K Fashion, exclusive ,, ₹1300 ,₹ 576,56% off,,,https://www.limeroad.com/olive-a-k-fashion-p15946354?imgIdx=3&src_id=fromsearch__0
        by Iti, New ,, ₹2299 ,₹ 1724,25% off,,,https://www.limeroad.com/blue-georgette-iti-p17776421?imgIdx=3&src_id=fromsearch__0
        by A K Fashion,,, ₹1400 ,₹ 467,67% off,,,https://www.limeroad.com/black-a-k-fashion-p16662934?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹2299 ,₹ 736,68% off,,,https://www.limeroad.com/black-cotton-oxolloxo-p17715241?imgIdx=3&src_id=fromsearch__0
        by Dodo & Moa,, offer Buy 2 Get 1 Free , ₹3090 ,₹ 1416,54% off,,,https://www.limeroad.com/multi-dodo-moa-p16792462?imgIdx=3&src_id=fromsearch__0
