name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Aasi   House Of Nayo,, offer Buy 2 Get 1 Free , ₹1199 ,₹ 671,44% off,,,https://www.limeroad.com/maroon-cotton-aasi-house-of-nayo-p16723216?imgIdx=3
        by A One Handicrafts,,, ₹1299 ,₹ 845,35% off,,,https://www.limeroad.com/Green-Cotton-A-One-Handicrafts-p17690513?imgIdx=3
        by A K Fashion, exclusive ,, ₹1400 ,₹ 593,58% off,,,https://www.limeroad.com/blue-georgette-a-k-fashion-p15121406?imgIdx=3
        by Jaipur Kurti,, offer Buy 2 Get 1 Free , ₹2399 ,₹ 1238,48% off,,,https://www.limeroad.com/light-blue-rayon-jaipurkurti-p16237440?imgIdx=3
        by Aarsha, exclusive , offer Buy 2 Get 1 Free , ₹1300 ,₹ 801,38% off,,,https://www.limeroad.com/blue-cotton-aarsha-p17006828?imgIdx=3
        by Ly2,, offer Buy 2 Get 1 Free , ₹4699 ,₹ 1880,60% off,,,https://www.limeroad.com/navy-blue-spangles-p17567038?imgIdx=3
        by A K Fashion, exclusive ,, ₹1300 ,₹ 576,56% off,,,https://www.limeroad.com/yellow-a-k-fashion-p15946353?imgIdx=3
        by Besiva,, offer Buy 2 Get 1 Free , ₹1049 ,₹ 692,34% off,,,https://www.limeroad.com/besiva-black-mesh-dress-besiva-p87556?imgIdx=3
        by Iti, New ,, ₹2799 ,₹ 1679,40% off,,,https://www.limeroad.com/maroon-georgette-iti-p17801736?imgIdx=3&src_id=fromsearch__0
        by Miracolos By Ruchi, New ,,,₹ 2250,,,,https://www.limeroad.com/Lightblue-Georgette-Miracolos-by-Ruchi-p17862210?imgIdx=3&src_id=fromsearch__0
        by Papa, New ,, ₹1599 ,₹ 999,38% off,,,https://www.limeroad.com/blue-cotton-papa-p17854255?imgIdx=3&src_id=fromsearch__0
        by Iti, New ,, ₹2799 ,₹ 1819,35% off,,,https://www.limeroad.com/green-georgette-iti-p17801732?imgIdx=3&src_id=fromsearch__0
        by Miracolos By Ruchi, New ,,,₹ 2800,,,,https://www.limeroad.com/Multi-Georgette-Miracolos-by-Ruchi-p17862215?imgIdx=3&src_id=fromsearch__0
        by Miracolos By Ruchi, New ,,,₹ 2688,,,,https://www.limeroad.com/Black-Chiffon-Miracolos-by-Ruchi-p17862223?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹2799 ,₹ 980,65% off,,,https://www.limeroad.com/red-park-avenue-p17759011?imgIdx=3&src_id=fromsearch__0
        by Miracolos By Ruchi, New ,,,₹ 2352,,,,https://www.limeroad.com/Blue-Satin-Miracolos-by-Ruchi-p17861991?imgIdx=3&src_id=fromsearch__0
        by Clorals,, offer Buy 2 Get 1 Free , ₹2200 ,₹ 744,66% off,,,https://www.limeroad.com/yellow-rayon-clorals-p16908888?imgIdx=3&src_id=fromsearch__0
        by MY SWAG,,, ₹1199 ,₹ 330,72% off,,,https://www.limeroad.com/multi-crepe-my-swag-p17758266?imgIdx=3&src_id=fromsearch__0
        by Polo Plus,,, ₹1299 ,₹ 479,63% off,,,https://www.limeroad.com/black-cotton-blend-polo-plus-p17537871?imgIdx=3&src_id=fromsearch__0
        by GOODWILL,, offer Buy 2 Get 1 Free , ₹1200 ,₹ 594,51% off,,,https://www.limeroad.com/multi-viscose-goodwill-p14608234?imgIdx=3&src_id=fromsearch__0
        by Cherokee,,, ₹1199 ,₹ 839,30% off,,,https://www.limeroad.com/pink-rayon-cherokee-p17580672?imgIdx=3&src_id=fromsearch__0
        by PLUSS,,, ₹2699 ,₹ 1349,50% off,,,https://www.limeroad.com/pink-pluss-p17764920?imgIdx=3&src_id=fromsearch__0
        by Yaadleen,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 692,65% off,,,https://www.limeroad.com/grey-cotton-yaadleen-p15646181?imgIdx=3&src_id=fromsearch__0
        by PLUSS,, offer Buy 2 Get 1 Free , ₹2499 ,₹ 706,72% off,,,https://www.limeroad.com/red-pluss-p16763531?imgIdx=3&src_id=fromsearch__0
        by Instacrush,, offer Buy 2 Get 1 Free , ₹1399 ,₹ 979,30% off,,,https://www.limeroad.com/multi-instacrush-p17333351?imgIdx=3&src_id=fromsearch__0
        by Cottinfab,,, ₹1999 ,₹ 899,55% off,,,https://www.limeroad.com/black-poly-crepe-cottinfab-p17773365?imgIdx=3&src_id=fromsearch__0
        by Cottinfab,, offer Buy 2 Get 1 Free , ₹2199 ,₹ 987,55% off,,,https://www.limeroad.com/beige-poly-crepe-cottinfab-p17553984?imgIdx=3&src_id=fromsearch__0
        by Kds Designs,,, ₹999 ,₹ 399,60% off,,,https://www.limeroad.com/pink-crepe-kds-designs-p17765711?imgIdx=3&src_id=fromsearch__0
        by Cottinfab, New ,, ₹1749 ,₹ 787,55% off,,,https://www.limeroad.com/maroon-viscose-cottinfab-p17797379?imgIdx=3&src_id=fromsearch__0
        by Mode Connection,,, ₹1999 ,₹ 740,63% off,,,https://www.limeroad.com/black-cotton-mode-connection-p17588225?imgIdx=3&src_id=fromsearch__0
        by MansiCollections,,, ₹999 ,₹ 499,50% off,,,https://www.limeroad.com/multi-viscose-mansicollections-p17606626?imgIdx=3&src_id=fromsearch__0
        by Ly2,, offer Buy 2 Get 1 Free , ₹3399 ,₹ 1360,60% off,,,https://www.limeroad.com/black-spangles-p16496870?imgIdx=3&src_id=fromsearch__0
        by Dodo & Moa,, offer Buy 2 Get 1 Free , ₹2490 ,₹ 1245,50% off,,,https://www.limeroad.com/blue-dodo-moa-p16792406?imgIdx=3&src_id=fromsearch__0
        by MsFQ,, offer Buy 2 Get 1 Free , ₹1799 ,₹ 755,58% off,,,https://www.limeroad.com/red-chiffon-msfq-p15852326?imgIdx=3&src_id=fromsearch__0
        by Aasi   House Of Nayo,, offer Buy 2 Get 1 Free , ₹1899 ,₹ 1186,38% off,,,https://www.limeroad.com/blue-cotton-aasi-house-of-nayo-p16723215?imgIdx=3&src_id=fromsearch__0
        by Saanjh,, offer Buy 2 Get 1 Free , ₹2039 ,₹ 879,57% off,,,https://www.limeroad.com/grey-cotton-saanjh-p17398852?imgIdx=3&src_id=fromsearch__0
        by The Vanca,, offer Buy 2 Get 1 Free , ₹2299 ,₹ 1057,54% off,,,https://www.limeroad.com/blue-georgette-the-vanca-p16729223?imgIdx=3&src_id=fromsearch__0
        by SHYAMMC,, offer Buy 2 Get 1 Free , ₹999 ,₹ 367,63% off,,,https://www.limeroad.com/blue-georgette-shyammc-p15491013?imgIdx=3&src_id=fromsearch__0
        by Galwiz,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 675,55% off,,,https://www.limeroad.com/multi-cotton-galwiz-p17401319?imgIdx=3&src_id=fromsearch__0
        by PLUSS,,, ₹1899 ,₹ 949,50% off,,,https://www.limeroad.com/brown-pluss-p17764983?imgIdx=3&src_id=fromsearch__0
        by FRENCH FUSION,, offer Buy 2 Get 1 Free , ₹1495 ,₹ 950,36% off,,,https://www.limeroad.com/black-cotton-french-fusion-p17288566?imgIdx=3&src_id=fromsearch__0
        by Eavan,, offer Buy 2 Get 1 Free , ₹2499 ,₹ 1470,41% off,,,https://www.limeroad.com/green-georgette-eavan-p17411426?imgIdx=3&src_id=fromsearch__0
        by Ives,,, ₹2299 ,₹ 1149,50% off,,,https://www.limeroad.com/white-ives-p17158251?imgIdx=3&src_id=fromsearch__0
        by Eyka,,, ₹1599 ,₹ 899,44% off,,,https://www.limeroad.com/green-rayon-eyka-p17717603?imgIdx=3&src_id=fromsearch__0
        by Kassually,, offer Buy 2 Get 1 Free , ₹1699 ,₹ 822,52% off,,,https://www.limeroad.com/green-kassually-p16041184?imgIdx=3&src_id=fromsearch__0
        by Dodo & Moa,, offer Buy 2 Get 1 Free , ₹2590 ,₹ 1036,60% off,,,https://www.limeroad.com/black-dodo-moa-p16764124?imgIdx=3&src_id=fromsearch__0
        by Color Cocktail,, offer Buy 2 Get 1 Free , ₹1899 ,₹ 948,50% off,,,https://www.limeroad.com/navy-blue-rayon-color-cocktail-p16048110?imgIdx=3&src_id=fromsearch__0
        by Myshka,,, ₹2999 ,₹ 1499,50% off,,,https://www.limeroad.com/yellow-rayon-myshka-p17782558?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹2599 ,₹ 910,65% off,,,https://www.limeroad.com/grey-park-avenue-p17710626?imgIdx=3&src_id=fromsearch__0
        by Cottinfab,,, ₹2199 ,₹ 989,55% off,,,https://www.limeroad.com/black-poly-crepe-cottinfab-p17773351?imgIdx=3&src_id=fromsearch__0
        by PLUSS,,, ₹2499 ,₹ 1249,50% off,,,https://www.limeroad.com/grey-pluss-p17764876?imgIdx=3&src_id=fromsearch__0
        by Absorbing,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 749,63% off,,,https://www.limeroad.com/black-georgette-absorbing-p16135674?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹2399 ,₹ 840,65% off,,,https://www.limeroad.com/black-viscose-oxolloxo-p17715085?imgIdx=3&src_id=fromsearch__0
        by Hive91,, offer Buy 2 Get 1 Free , ₹1985 ,₹ 1321,33% off,,,https://www.limeroad.com/green-rayon-hive91-p16897659?imgIdx=3&src_id=fromsearch__0
        by Saanjh,, offer Buy 2 Get 1 Free , ₹2099 ,₹ 917,56% off,,,https://www.limeroad.com/grey-cotton-saanjh-p17398856?imgIdx=3&src_id=fromsearch__0
        by Mode Connection,,, ₹1999 ,₹ 789,61% off,,,https://www.limeroad.com/pink-cotton-mode-connection-p17588239?imgIdx=3&src_id=fromsearch__0
        by Dodo & Moa,, offer Buy 2 Get 1 Free , ₹2190 ,₹ 986,55% off,,,https://www.limeroad.com/black-dodo-moa-p16792449?imgIdx=3&src_id=fromsearch__0
        by Mode Connection,,, ₹1999 ,₹ 740,63% off,,,https://www.limeroad.com/purple-cotton-mode-connection-p17588224?imgIdx=3&src_id=fromsearch__0
        by Divena,, offer Buy 2 Get 1 Free , ₹2599 ,₹ 1299,50% off,,,https://www.limeroad.com/blue-rayon-divena-p16800843?imgIdx=3&src_id=fromsearch__0
        by Wedani,,, ₹2499 ,₹ 599,76% off,,,https://www.limeroad.com/peach-crepe-wedani-p17745762?imgIdx=3&src_id=fromsearch__0
        by PLUSS,, offer Buy 2 Get 1 Free , ₹2399 ,₹ 1052,56% off,,,https://www.limeroad.com/blue-pluss-p17266439?imgIdx=3&src_id=fromsearch__0
