name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Neva, New ,, ₹3599 ,₹ 1799,50% off,,,https://www.limeroad.com/red-neva-p17834449?imgIdx=3
        by Clo Clu, New ,, ₹2499 ,₹ 699,72% off,,,https://www.limeroad.com/Lightblue-Denim-CLO-CLU-p17858024?imgIdx=3
        by TALES & STORIES, New ,, ₹1599 ,₹ 1119,30% off,,,https://www.limeroad.com/red-cotton-tales-stories-p17873494?imgIdx=3
        by Alcis, New ,, ₹2499 ,₹ 1999,20% off,,,https://www.limeroad.com/purple-cotton-alcis-p17820626?imgIdx=3
        by TALES & STORIES, New ,, ₹1599 ,₹ 1119,30% off,,,https://www.limeroad.com/beige-cotton-tales-stories-p17873493?imgIdx=3
        by Clo Clu, New ,, ₹2499 ,₹ 699,72% off,,,https://www.limeroad.com/Darkblue-Denim-CLO-CLU-p17858023?imgIdx=3
        by Campus Sutra,,, ₹1399 ,₹ 769,45% off,,,https://www.limeroad.com/maroon-cotton-campus-sutra-p16592301?imgIdx=3
        by Kassually,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 900,55% off,,,https://www.limeroad.com/navy-blue-fleece-kassually-p16830237?imgIdx=3
        by Trend Arrest,,, ₹1299 ,₹ 399,69% off,,,https://www.limeroad.com/black-georgette-trend-arrest-p16001098?imgIdx=3&src_id=fromsearch__0
        by Campus Sutra,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 824,45% off,,,https://www.limeroad.com/grey-cotton-campus-sutra-p16746466?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹2999 ,₹ 604,80% off,,,https://www.limeroad.com/orange-oxolloxo-p17341446?imgIdx=3&src_id=fromsearch__0
        by MRASIS,,, ₹999 ,₹ 799,20% off,,,https://www.limeroad.com/green-fleece-mrasis-p17490791?imgIdx=3&src_id=fromsearch__0
        by Austin Wood,,, ₹5399 ,₹ 1419,74% off,,,https://www.limeroad.com/navy-blue-austin-wood-p17230519?imgIdx=3&src_id=fromsearch__0
        by Campus Sutra,, offer Buy 2 Get 1 Free , ₹1399 ,₹ 827,41% off,,,https://www.limeroad.com/red-cotton-campus-sutra-p14011989?imgIdx=3&src_id=fromsearch__0
        by Austin Wood,,, ₹4899 ,₹ 1269,74% off,,,https://www.limeroad.com/black-austin-wood-p17381957?imgIdx=3&src_id=fromsearch__0
        by Inocencia,,, ₹1399 ,₹ 699,50% off,,,https://www.limeroad.com/light-blue-inocencia-p17482771?imgIdx=3&src_id=fromsearch__0
        by Campus Sutra,,, ₹1399 ,₹ 840,40% off,,,https://www.limeroad.com/blue-cotton-campus-sutra-p16592300?imgIdx=3&src_id=fromsearch__0
        by Austin Wood,,, ₹4899 ,₹ 1225,75% off,,,https://www.limeroad.com/black-austin-wood-p17413502?imgIdx=3&src_id=fromsearch__0
        by Austin Wood,,, ₹4699 ,₹ 1175,75% off,,,https://www.limeroad.com/black-austin-wood-p17413496?imgIdx=3&src_id=fromsearch__0
        by Austin Wood,,, ₹4699 ,₹ 1504,68% off,,,https://www.limeroad.com/navy-blue-austin-wood-p17413498?imgIdx=3&src_id=fromsearch__0
