name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Rea Lize,,, ₹1999 ,₹ 839,58% off,,,https://www.limeroad.com/blue-cotton-blend-rea-lize-p17557006?imgIdx=3
        by Marca Disati,,, ₹1599 ,₹ 1279,20% off,,,https://www.limeroad.com/light-blue-cotton-blend-marca-disati-p17778685?imgIdx=3
        by River Of Design,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 999,50% off,,,https://www.limeroad.com/dark-blue-cotton-blend-river-of-design-p17142784?imgIdx=3
        by Sugr,,, ₹999 ,₹ 849,15% off,,,https://www.limeroad.com/light-blue-cotton-sugr-p17584844?imgIdx=3
        by Rea Lize,,, ₹2549 ,₹ 939,63% off,,,https://www.limeroad.com/blue-cotton-blend-rea-lize-p17671899?imgIdx=3
        by NAMAN.COM,,, ₹2199 ,₹ 675,69% off,,,https://www.limeroad.com/beige-cotton-naman-com-p12833729?imgIdx=3
        by texco,, offer Buy 2 Get 1 Free , ₹2899 ,₹ 978,66% off,,,https://www.limeroad.com/navy-blue-texco-p15903295?imgIdx=3
        by Indian Flower,,, ₹1599 ,₹ 1299,19% off,,,https://www.limeroad.com/black-cotton-blend-indian-flower-p17234753?imgIdx=3
        by Sugr,,, ₹999 ,₹ 849,15% off,,,https://www.limeroad.com/black-cotton-sugr-p17584840?imgIdx=3&src_id=fromsearch__0
        by Inocencia,, offer Buy 2 Get 1 Free , ₹2459 ,₹ 1479,40% off,,,https://www.limeroad.com/navy-blue-cotton-inocencia-p17498877?imgIdx=3&src_id=fromsearch__0
        by Belliskey,,, ₹2899 ,₹ 2029,30% off,,,https://www.limeroad.com/blue-denim-belliskey-p17756060?imgIdx=3&src_id=fromsearch__0
        by River Of Design,, offer Buy 2 Get 1 Free , ₹2299 ,₹ 1724,25% off,,,https://www.limeroad.com/light-blue-cotton-river-of-design-p16837896?imgIdx=3&src_id=fromsearch__0
        by Marca Disati,, offer Buy 2 Get 1 Free , ₹1599 ,₹ 639,60% off,,,https://www.limeroad.com/blue-poly-spandex-marca-disati-p17783322?imgIdx=3&src_id=fromsearch__0
        by River Of Design, exclusive , offer Buy 2 Get 1 Free , ₹1999 ,₹ 1330,33% off,,,https://www.limeroad.com/black-cotton-river-of-design-p16793243?imgIdx=3&src_id=fromsearch__0
        by TARAMA, New ,, ₹1999 ,₹ 1399,30% off,,,https://www.limeroad.com/dark-blue-denim-tarama-p17837748?imgIdx=3&src_id=fromsearch__0
