name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Highlight Fashion Export,,, ₹1999 ,₹ 539,73% off,,,https://www.limeroad.com/brown-rayon-highlight-fashion-export-p17714709?imgIdx=3
        by Span,,, ₹2699 ,₹ 540,80% off,,,https://www.limeroad.com/beige-cotton-span-p16511391?imgIdx=3
        by Divena,,, ₹1999 ,₹ 1049,48% off,,,https://www.limeroad.com/pink-khadi-divena-p10808094?imgIdx=3
        by ADA,,,,₹ 999,,,,https://www.limeroad.com/white-cotton-ada-p17225770?imgIdx=3
        by Blissta,, offer Buy 2 Get 1 Free , ₹1995 ,₹ 989,50% off,,,https://www.limeroad.com/orange-rayon-blissta-p17478180?imgIdx=3
        by janasya,, offer Buy 2 Get 1 Free , ₹1699 ,₹ 726,57% off,,,https://www.limeroad.com/maroon-crepe-janasya-p17520421?imgIdx=3
        by Kipek,, offer Buy 2 Get 1 Free , ₹1799 ,₹ 949,47% off,,,https://www.limeroad.com/mustard-rayon-kipek-p16987210?imgIdx=3
        by Yash Gallery,, offer Buy 2 Get 1 Free , ₹3999 ,₹ 1252,69% off,,,https://www.limeroad.com/black-cotton-yash-gallery-p17145488?imgIdx=3
        by Ved Kriti, New ,, ₹1499 ,₹ 930,38% off,,,https://www.limeroad.com/blue-cotton-ved-kriti-p17854932?imgIdx=3&src_id=fromsearch__0
        by Fabglobal,, offer Buy 2 Get 1 Free , ₹1299 ,₹ 999,23% off,,,https://www.limeroad.com/white-cotton-fabglobal-p17539838?imgIdx=3&src_id=fromsearch__0
        by Bawriattire, New ,, ₹2399 ,₹ 1056,56% off,,,https://www.limeroad.com/red-cotton-bawriattire-p17819619?imgIdx=3&src_id=fromsearch__0
        by Nehamta, New ,, ₹2098 ,₹ 643,69% off,,,https://www.limeroad.com/mustard-rayon-nehamta-p17829308?imgIdx=3&src_id=fromsearch__0
        by Saart Bunaai, New ,, ₹2199 ,₹ 849,61% off,,,https://www.limeroad.com/turquoise-cotton-blend-saart-bunaai-p17838127?imgIdx=3&src_id=fromsearch__0
        by Aurelia, New ,,,₹ 1199,,,,https://www.limeroad.com/blue-cotton-blend-aurelia-p17852360?imgIdx=3&src_id=fromsearch__0
        by Fabglobal,,, ₹1799 ,₹ 1349,25% off,,,https://www.limeroad.com/blue-cotton-fabglobal-p17539826?imgIdx=3&src_id=fromsearch__0
        by janasya, New , offer Buy 2 Get 1 Free , ₹1399 ,₹ 723,48% off,,,https://www.limeroad.com/maroon-crepe-janasya-p17845039?imgIdx=3&src_id=fromsearch__0
        by Yash Gallery,, offer Buy 2 Get 1 Free , ₹3299 ,₹ 889,73% off,,,https://www.limeroad.com/blue-cotton-yash-gallery-p17573634?imgIdx=3&src_id=fromsearch__0
        by Pinkmint,, offer Buy 2 Get 1 Free , ₹999 ,₹ 350,65% off,,,https://www.limeroad.com/yellow-crepe-pinkmint-p17611590?imgIdx=3&src_id=fromsearch__0
        by The Kurta Express,, offer Buy 2 Get 1 Free , ₹1399 ,₹ 563,60% off,,,https://www.limeroad.com/pink-cotton-the-kurta-express-p17495587?imgIdx=3&src_id=fromsearch__0
        by Yash Gallery,, offer Buy 2 Get 1 Free , ₹2199 ,₹ 1067,51% off,,,https://www.limeroad.com/mustard-cotton-yash-gallery-p14973976?imgIdx=3&src_id=fromsearch__0
        by Ksut,, offer Buy 2 Get 1 Free , ₹2399 ,₹ 1247,48% off,,,https://www.limeroad.com/grey-viscose-ksut-p16769996?imgIdx=3&src_id=fromsearch__0
        by Myshka,, offer Buy 2 Get 1 Free , ₹1299 ,₹ 673,48% off,,,https://www.limeroad.com/black-cotton-myshka-p16565684?imgIdx=3&src_id=fromsearch__0
        by Alena,,, ₹1999 ,₹ 900,55% off,,,https://www.limeroad.com/grey-chanderi-alena-p16846285?imgIdx=3&src_id=fromsearch__0
        by ADA,,,,₹ 1790,,,,https://www.limeroad.com/blue-cotton-kurta-ada-p16873305?imgIdx=3&src_id=fromsearch__0
        by Fabglobal,, offer Buy 2 Get 1 Free , ₹1145 ,₹ 859,25% off,,,https://www.limeroad.com/green-rayon-fabglobal-p17539839?imgIdx=3&src_id=fromsearch__0
        by 100 Dreams, New , offer Buy 2 Get 1 Free , ₹1999 ,₹ 1017,49% off,,,https://www.limeroad.com/pink-rayon-100-dreams-p17857830?imgIdx=3&src_id=fromsearch__0
        by Neshamakurti, New ,, ₹2299 ,₹ 899,61% off,,,https://www.limeroad.com/orange-cotton-neshamakurti-p17763828?imgIdx=3&src_id=fromsearch__0
        by Pankvi, New ,, ₹2599 ,₹ 1586,39% off,,,https://www.limeroad.com/black-rayon-pankvi-p17834770?imgIdx=3&src_id=fromsearch__0
        by Aurelia, New ,,,₹ 1199,,,,https://www.limeroad.com/green-viscose-aurelia-p17852355?imgIdx=3&src_id=fromsearch__0
        by 4u Fashion, New ,, ₹1499 ,₹ 775,48% off,,,https://www.limeroad.com/red-cotton-4u-fashion-p17854262?imgIdx=3&src_id=fromsearch__0
        by Neshamakurti, New ,, ₹2199 ,₹ 849,61% off,,,https://www.limeroad.com/turquoise-cotton-blend-neshamakurti-p17763901?imgIdx=3&src_id=fromsearch__0
        by Paislei, New ,, ₹1299 ,₹ 909,30% off,,,https://www.limeroad.com/brown-cotton-paislei-p17852168?imgIdx=3&src_id=fromsearch__0
        by Yash Gallery,,, ₹3199 ,₹ 899,72% off,,,https://www.limeroad.com/mustard-cotton-blend-yash-gallery-p16366463?imgIdx=3&src_id=fromsearch__0
        by Vahson,, offer Buy 2 Get 1 Free ,,₹ 1499,,,,https://www.limeroad.com/multi-cotton-vahson-p17101141?imgIdx=3&src_id=fromsearch__0
        by Yash Gallery,, offer Buy 2 Get 1 Free , ₹2199 ,₹ 769,65% off,,,https://www.limeroad.com/olive-rayon-yash-gallery-p17574186?imgIdx=3&src_id=fromsearch__0
        by W,,,,₹ 1799,,,,https://www.limeroad.com/yellow-viscose-w-p17627289?imgIdx=3&src_id=fromsearch__0
        by Ved Kriti, New ,, ₹1450 ,₹ 910,37% off,,,https://www.limeroad.com/peach-cotton-ved-kriti-p17854937?imgIdx=3&src_id=fromsearch__0
        by Pankvi,, offer Buy 2 Get 1 Free , ₹2399 ,₹ 1061,56% off,,,https://www.limeroad.com/teal-rayon-pankvi-p17785480?imgIdx=3&src_id=fromsearch__0
        by Pinkmint,, offer Buy 2 Get 1 Free , ₹2999 ,₹ 899,70% off,,,https://www.limeroad.com/olive-rayon-pinkmint-p17751004?imgIdx=3&src_id=fromsearch__0
