name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by Veradiva, New ,, ₹2699 ,₹ 1049,61% off,,,https://www.limeroad.com/brown-rayon-veradiva-p17850417?imgIdx=3
        by Aurelia, New ,,,₹ 1499,,,,https://www.limeroad.com/cream-viscose-aurelia-p17852362?imgIdx=3
        by PLUSS, New ,, ₹3000 ,₹ 1500,50% off,,,https://www.limeroad.com/yellow-rayon-pluss-p17823144?imgIdx=3
        by Ksut, New ,, ₹1799 ,₹ 828,54% off,,,https://www.limeroad.com/yellow-viscose-ksut-p17835617?imgIdx=3
        by 100 Dreams, New ,, ₹1999 ,₹ 925,54% off,,,https://www.limeroad.com/cream-rayon-100-dreams-p17857831?imgIdx=3
        by Miracolos By Ruchi, New ,, ₹2520 ,₹ 1260,50% off,,,https://www.limeroad.com/Green-Rayon-Miracolos-by-Ruchi-p17862352?imgIdx=3
        by Maaesa, New ,, ₹2299 ,₹ 879,62% off,,,https://www.limeroad.com/green-cotton-maaesa-p17883749?imgIdx=3
        by 100 Dreams, New ,, ₹1999 ,₹ 925,54% off,,,https://www.limeroad.com/peach-rayon-100-dreams-p17857832?imgIdx=3
        by Tissu, Best Price , offer Buy 2 Get 1 Free , ₹1499 ,₹ 959,36% off,,,https://www.limeroad.com/turquoise-rayon-tissu-p16138844?imgIdx=3&src_id=fromsearch__0
        by Fab Inn,,, ₹1299 ,₹ 364,72% off,,,https://www.limeroad.com/green-rayon-fab-inn-p17335824?imgIdx=3&src_id=fromsearch__0
        by Ishin,,, ₹3999 ,₹ 1279,68% off,,,https://www.limeroad.com/pink-cotton-ishin-p17611365?imgIdx=3&src_id=fromsearch__0
        by Tissu,, offer Buy 2 Get 1 Free , ₹999 ,₹ 611,39% off,,,https://www.limeroad.com/indigo-rayon-tissu-p17602250?imgIdx=3&src_id=fromsearch__0
        by RIGOGLIOSO,, offer Buy 2 Get 1 Free , ₹1090 ,₹ 763,30% off,,,https://www.limeroad.com/magenta-cotton-rigoglioso-p15082802?imgIdx=3&src_id=fromsearch__0
        by Mokshi, New ,, ₹2199 ,₹ 799,64% off,,,https://www.limeroad.com/pink-cotton-mokshi-p17737141?imgIdx=3&src_id=fromsearch__0
        by Maarvika,, offer Buy 2 Get 1 Free , ₹1699 ,₹ 749,56% off,,,https://www.limeroad.com/blue-rayon-maarvika-p17103779?imgIdx=3&src_id=fromsearch__0
        by Kipek,, offer Buy 2 Get 1 Free , ₹2099 ,₹ 979,53% off,,,https://www.limeroad.com/black-rayon-kipek-p16987197?imgIdx=3&src_id=fromsearch__0
        by JAIPUR ATTIRE,, offer Buy 2 Get 1 Free , ₹1599 ,₹ 714,55% off,,,https://www.limeroad.com/green-cotton-jaipur-attire-p17101979?imgIdx=3&src_id=fromsearch__0
        by Divena,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 999,50% off,,,https://www.limeroad.com/black-khadi-divena-p15916651?imgIdx=3&src_id=fromsearch__0
        by Kipek,,, ₹2699 ,₹ 1099,59% off,,,https://www.limeroad.com/green-rayon-kipek-p17594362?imgIdx=3&src_id=fromsearch__0
        by PLUSS,,, ₹1980 ,₹ 990,50% off,,,https://www.limeroad.com/blue-cotton-pluss-p17823122?imgIdx=3&src_id=fromsearch__0
        by Desi Belle,,, ₹1999 ,₹ 999,50% off,,,https://www.limeroad.com/blue-cotton-blend-desi-belle-p17201950?imgIdx=3&src_id=fromsearch__0
        by Fabbibaprints,,, ₹2799 ,₹ 1149,59% off,,,https://www.limeroad.com/red-rayon-fabbibaprints-p17727355?imgIdx=3&src_id=fromsearch__0
